Instances,feature_ Frac_Neg_Body,feature_ Frac_Pos_Body,feature_ Frac_Unary_Rules,feature_ Frac_Binary_Rules,feature_ Frac_Ternary_Rules,feature_ Frac_Integrity_Rules,feature_ Tight,feature_ Problem_Variables,feature_ Free_Problem_Variables,feature_ Assigned_Problem_Variables,feature_ Constraints,feature_ Constraints/Vars,feature_ Created_Bodies,feature_ Program_Atoms,feature_ SCCS,feature_ Nodes_in_Positive_BADG,feature_ Rules,feature_ Normal_Rules,feature_ Cardinality_Rules,feature_ Choice_Rules,feature_ Weight_Rules,feature_ Frac_Normal_Rules,feature_ Frac_Cardinality_Rules,feature_ Frac_Choice_Rules,feature_ Frac_Weight_Rules,feature_ Equivalences,feature_ AtomAtom_Equivalences,feature_ BodyBody_Equivalences,feature_ Other_Equivalences,feature_ Frac_AtomAtom_Equivalences,feature_ Frac_BodyBody_Equivalences,feature_ Frac_Other_Equivalences,feature_ Binary_Constraints,feature_ Ternary_Constraints,feature_ Other_Constraints,feature_ Frac_Binary_Constraints,feature_ Frac_Ternary_Constraints,feature_ Frac_Other_Constraints,feature_ Choices1,feature_ Conflicts/Choices1,feature_ Avg_Conflict_Levels1,feature_ Avg_LBD_Levels1,feature_ Learnt_from_Conflict1,feature_ Learnt_from_Loop1,feature_ Frac_Learnt_from_Conflict1,feature_ Frac_Learnt_from_Loop1,feature_ Literals_in_Conflict_Nogoods1,feature_ Literals_in_Loop_Nogoods1,feature_ Frac_Literals_in_Conflict_Nogoods1,feature_ Frac_Literals_in_Loop_Nogoods1,feature_ Removed_Nogoods1,feature_ Learnt_Binary1,feature_ Learnt_Ternary1,feature_ Learnt_Others1,feature_ Frac_Removed_Nogood1,feature_ Frac_Learnt_Binary1,feature_ Frac_Learnt_Ternary1,feature_ Frac_Learnt_Others1,feature_ Skipped_Levels_while_Backjumping1,feature_ Avg_Skipped_Levels_while_Backjumping1,feature_ Longest_Backjumping1,feature_ Running_Avg_Conflictlevel1,feature_ Running_Avg_LBD1,feature_ Choices2,feature_ Conflicts/Choices2,feature_ Avg_Conflict_Levels2,feature_ Avg_LBD_Levels2,feature_ Learnt_from_Conflict2,feature_ Learnt_from_Loop2,feature_ Frac_Learnt_from_Conflict2,feature_ Frac_Learnt_from_Loop2,feature_ Literals_in_Conflict_Nogoods2,feature_ Literals_in_Loop_Nogoods2,feature_ Frac_Literals_in_Conflict_Nogoods2,feature_ Frac_Literals_in_Loop_Nogoods2,feature_ Removed_Nogoods2,feature_ Learnt_Binary2,feature_ Learnt_Ternary2,feature_ Learnt_Others2,feature_ Frac_Removed_Nogood2,feature_ Frac_Learnt_Binary2,feature_ Frac_Learnt_Ternary2,feature_ Frac_Learnt_Others2,feature_ Skipped_Levels_while_Backjumping2,feature_ Avg_Skipped_Levels_while_Backjumping2,feature_ Longest_Backjumping2,feature_ Running_Avg_Conflictlevel2,feature_ Running_Avg_LBD2,feature_ Choices3,feature_ Conflicts/Choices3,feature_ Avg_Conflict_Levels3,feature_ Avg_LBD_Levels3,feature_ Learnt_from_Conflict3,feature_ Learnt_from_Loop3,feature_ Frac_Learnt_from_Conflict3,feature_ Frac_Learnt_from_Loop3,feature_ Literals_in_Conflict_Nogoods3,feature_ Literals_in_Loop_Nogoods3,feature_ Frac_Literals_in_Conflict_Nogoods3,feature_ Frac_Literals_in_Loop_Nogoods3,feature_ Removed_Nogoods3,feature_ Learnt_Binary3,feature_ Learnt_Ternary3,feature_ Learnt_Others3,feature_ Frac_Removed_Nogood3,feature_ Frac_Learnt_Binary3,feature_ Frac_Learnt_Ternary3,feature_ Frac_Learnt_Others3,feature_ Skipped_Levels_while_Backjumping3,feature_ Avg_Skipped_Levels_while_Backjumping3,feature_ Longest_Backjumping3,feature_ Running_Avg_Conflictlevel3,feature_ Running_Avg_LBD3,feature_ Choices4,feature_ Conflicts/Choices4,feature_ Avg_Conflict_Levels4,feature_ Avg_LBD_Levels4,feature_ Learnt_from_Conflict4,feature_ Learnt_from_Loop4,feature_ Frac_Learnt_from_Conflict4,feature_ Frac_Learnt_from_Loop4,feature_ Literals_in_Conflict_Nogoods4,feature_ Literals_in_Loop_Nogoods4,feature_ Frac_Literals_in_Conflict_Nogoods4,feature_ Frac_Literals_in_Loop_Nogoods4,feature_ Removed_Nogoods4,feature_ Learnt_Binary4,feature_ Learnt_Ternary4,feature_ Learnt_Others4,feature_ Frac_Removed_Nogood4,feature_ Frac_Learnt_Binary4,feature_ Frac_Learnt_Ternary4,feature_ Frac_Learnt_Others4,feature_ Skipped_Levels_while_Backjumping4,feature_ Avg_Skipped_Levels_while_Backjumping4,feature_ Longest_Backjumping4,feature_ Running_Avg_Conflictlevel4,feature_ Running_Avg_LBD4,algo_clasp/2.1.3/h10-n1,algo_clasp/2.1.3/h8-n1,algo_clasp/2.1.3/h1-n1,algo_clasp/2.1.3/h3-n1,algo_clasp/2.1.3/h11-n1,algo_clasp/2.1.3/h7-n1,algo_clasp/2.1.3/h6-n1,algo_clasp/2.1.3/h2-n1,algo_clasp/2.1.3/h9-n1,algo_clasp/2.1.3/h5-n1,algo_clasp/2.1.3/h4-n1
FolioSuite/ASP-Comp-2007-Lparse/SLparse/15-PuzzleCompetition/15-puzzle.init6.gz,0.0054,0.7602,0.0029,0.0249,0.9692,0.2315,1.0,41004.0,32355.0,8649.0,110728.0,2.7004,35537.0,10803.0,0.0,0.0,36254.0,36182.0,36.0,36.0,0.0,0.998,0.001,0.001,0.0,3621.0,697.0,125.0,2799.0,0.1925,0.0345,0.773,78668.0,31506.0,554.0,0.7105,0.2845,0.005,109.0,0.2936,17.9062,3.875,32.0,0.0,1.0,0.0,619.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0312,0.0,0.9688,86.0,2.6875,24.0,5.73,1.24,243.0,0.2716,25.0606,4.0152,66.0,0.0,1.0,0.0,1312.0,0.0,1.0,0.0,0.0,10.0,0.0,56.0,0.0,0.1515,0.0,0.8485,180.0,2.7273,24.0,16.54,2.65,495.0,0.198,22.602,3.449,98.0,0.0,1.0,0.0,1554.0,0.0,1.0,0.0,0.0,13.0,2.0,83.0,0.0,0.1327,0.0204,0.8469,432.0,4.4082,28.0,22.15,3.38,689.0,0.1887,19.1308,3.0538,130.0,0.0,1.0,0.0,1701.0,0.0,1.0,0.0,0.0,17.0,3.0,110.0,0.0,0.1308,0.0231,0.8462,626.0,4.8154,28.0,19.65,2.81,10.2036,13.8151,6.81307,21.7647,13.3282,13.6668,14.605,15.8848,20.6737,4.95828,12.9513
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721283013.dat.data.gz,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1.0,2683.0,342.0,2341.0,333.0,0.1241,2725.0,4699.0,0.0,0.0,5024.0,4456.0,280.0,288.0,0.0,0.8869,0.0557,0.0573,0.0,8706.0,2011.0,98.0,6597.0,0.231,0.0113,0.7578,3.0,2.0,328.0,0.009,0.006,0.985,100.0,0.32,22.7188,8.4062,32.0,0.0,1.0,0.0,802.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,82.0,2.5625,35.0,7.27,2.69,157.0,0.4076,15.125,7.125,64.0,0.0,1.0,0.0,1472.0,0.0,1.0,0.0,0.0,0.0,1.0,63.0,0.0,0.0,0.0156,0.9844,135.0,2.1094,35.0,9.68,4.56,208.0,0.4615,14.4271,8.0521,96.0,0.0,1.0,0.0,2500.0,0.0,1.0,0.0,0.0,0.0,1.0,95.0,0.0,0.0,0.0104,0.9896,176.0,1.8333,35.0,13.85,7.73,259.0,0.4942,13.0,7.8438,128.0,0.0,1.0,0.0,3183.0,0.0,1.0,0.0,92.0,0.0,2.0,126.0,0.7188,0.0,0.0156,0.9844,219.0,1.7109,35.0,10.14,7.77,2.11669,10.0987,13.7864,0.587867,2.66299,2.76454,6.71193,3.96362,1.06903,8.52247,13.7164
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721310106.dat.data.gz,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1.0,2683.0,342.0,2341.0,335.0,0.1249,2725.0,4699.0,0.0,0.0,5024.0,4456.0,280.0,288.0,0.0,0.8869,0.0557,0.0573,0.0,8706.0,2011.0,98.0,6597.0,0.231,0.0113,0.7578,1.0,4.0,330.0,0.003,0.0119,0.9851,71.0,0.4648,33.0909,12.6667,33.0,0.0,1.0,0.0,917.0,0.0,1.0,0.0,0.0,1.0,2.0,30.0,0.0,0.0303,0.0606,0.9091,42.0,1.2727,3.0,10.92,4.18,118.0,0.5593,21.697,10.4242,66.0,0.0,1.0,0.0,1905.0,0.0,1.0,0.0,0.0,1.0,2.0,63.0,0.0,0.0152,0.0303,0.9545,78.0,1.1818,3.0,14.32,6.88,169.0,0.5858,18.3737,9.9899,99.0,0.0,1.0,0.0,2942.0,0.0,1.0,0.0,0.0,2.0,2.0,95.0,0.0,0.0202,0.0202,0.9596,121.0,1.2222,6.0,18.19,9.89,216.0,0.6111,15.8333,9.25,132.0,0.0,1.0,0.0,3849.0,0.0,1.0,0.0,92.0,2.0,2.0,128.0,0.697,0.0152,0.0152,0.9697,163.0,1.2348,6.0,10.28,8.16,4.89018,0.422239,4.52116,11.6215,0.455161,0.646509,1.42023,1.07971,1.24226,5.48172,2.34864
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721326970.dat.data.gz,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1.0,2683.0,342.0,2341.0,335.0,0.1249,2725.0,4699.0,0.0,0.0,5024.0,4456.0,280.0,288.0,0.0,0.8869,0.0557,0.0573,0.0,8706.0,2011.0,98.0,6597.0,0.231,0.0113,0.7578,4.0,2.0,329.0,0.0119,0.006,0.9821,89.0,0.3596,36.3125,12.4375,32.0,0.0,1.0,0.0,911.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,55.0,1.7188,16.0,11.62,3.98,130.0,0.5,21.9385,9.7692,65.0,0.0,1.0,0.0,2263.0,0.0,1.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,1.0,92.0,1.4154,16.0,14.26,6.35,186.0,0.5323,17.8788,9.2222,99.0,0.0,1.0,0.0,3375.0,0.0,1.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,1.0,141.0,1.4242,16.0,17.7,9.13,238.0,0.5504,15.7557,8.8473,131.0,0.0,1.0,0.0,4226.0,0.0,1.0,0.0,92.0,1.0,1.0,129.0,0.7023,0.0076,0.0076,0.9847,185.0,1.4122,16.0,9.37,7.73,0.336458,2.67736,1.20702,2.41902,5.57703,30.9148,9.4262,4.13241,12.7916,4.811,3.95643
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BlockedN-QueensCompetition/156.48.1960.36.1721351180.dat.data.gz,0.4765,0.9809,0.4009,0.4678,0.0016,0.467,1.0,2683.0,342.0,2341.0,328.0,0.1223,2725.0,4699.0,0.0,0.0,5024.0,4456.0,280.0,288.0,0.0,0.8869,0.0557,0.0573,0.0,8706.0,2011.0,98.0,6597.0,0.231,0.0113,0.7578,0.0,3.0,325.0,0.0,0.0091,0.9909,84.0,0.381,40.375,16.25,32.0,0.0,1.0,0.0,953.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,46.0,1.4375,8.0,12.92,5.2,136.0,0.4706,25.9219,12.0781,64.0,0.0,1.0,0.0,1716.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,90.0,1.4062,8.0,16.59,7.73,190.0,0.5105,20.2577,10.5773,97.0,0.0,1.0,0.0,2351.0,0.0,1.0,0.0,0.0,0.0,2.0,95.0,0.0,0.0,0.0206,0.9794,136.0,1.4021,8.0,19.65,10.26,242.0,0.5331,17.876,9.9302,129.0,0.0,1.0,0.0,3228.0,0.0,1.0,0.0,90.0,0.0,3.0,126.0,0.6977,0.0,0.0233,0.9767,180.0,1.3953,8.0,11.3,8.23,0.866225,0.846435,568.806,7.9805,52.9594,296.987,0.87635,6.19636,100.132,7.26017,65.3656
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727042043_0.gph.gz,0.0093,0.9925,0.0013,0.0008,0.0161,0.9759,1.0,265457.0,2319.0,263138.0,263433.0,0.9924,265431.0,2887.0,0.0,0.0,269689.0,265597.0,2021.0,2071.0,0.0,0.9848,0.0075,0.0077,0.0,5172.0,296.0,90.0,4786.0,0.0572,0.0174,0.9254,4374.0,258754.0,305.0,0.0166,0.9822,0.0012,64.0,0.5,2.0,1.0,32.0,0.0,1.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,1.0,64.0,2.0,2.0,0.64,0.32,127.0,0.5039,1.9844,1.0,64.0,0.0,1.0,0.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,1.0,127.0,1.9844,2.0,1.27,0.64,749.0,0.1295,48.7526,2.2268,97.0,0.0,1.0,0.0,268.0,0.0,1.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,1.0,329.0,3.3918,32.0,47.29,2.16,1310.0,0.0985,126.5194,4.8295,129.0,0.0,1.0,0.0,919.0,0.0,1.0,0.0,0.0,0.0,0.0,129.0,0.0,0.0,0.0,1.0,691.0,5.3566,35.0,162.63,5.94,2.24715,3.42438,0.921189,6.69361,2.40212,3.20142,2.76243,2.19522,1.37939,2.46441,1.49835
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/104_rand_45_250_1727044175_0.gph.gz,0.0093,0.9923,0.0011,0.0008,0.0171,0.9756,1.0,265546.0,2365.0,263181.0,263526.0,0.9924,265476.0,2887.0,0.0,0.0,269776.0,265686.0,1975.0,2115.0,0.0,0.9848,0.0073,0.0078,0.0,5172.0,295.0,90.0,4787.0,0.057,0.0174,0.9256,4466.0,258759.0,301.0,0.0169,0.9819,0.0011,511.0,0.0626,44.1562,17.75,32.0,0.0,1.0,0.0,579.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0312,0.0,0.9688,448.0,14.0,48.0,14.13,5.68,596.0,0.1091,40.7231,17.0615,65.0,0.0,1.0,0.0,2012.0,0.0,1.0,0.0,0.0,1.0,0.0,64.0,0.0,0.0154,0.0,0.9846,504.0,7.7538,48.0,26.47,11.09,844.0,0.1149,55.4639,20.4742,97.0,0.0,1.0,0.0,3251.0,0.0,1.0,0.0,0.0,1.0,0.0,96.0,0.0,0.0103,0.0,0.9897,659.0,6.7938,48.0,53.8,19.86,974.0,0.1324,58.6512,21.6667,129.0,0.0,1.0,0.0,4786.0,0.0,1.0,0.0,0.0,1.0,0.0,128.0,0.0,0.0078,0.0,0.9922,720.0,5.5814,48.0,63.41,23.23,2.11196,3.04255,0.96069,6.83477,1.20877,1.4874,2.70212,2.22392,1.51488,2.50867,1.32979
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700137086_0.gph.gz,0.01,0.9923,0.0017,0.0011,0.016,0.9748,1.0,161851.0,1545.0,160306.0,160625.0,0.9924,161741.0,2007.0,0.0,0.0,164441.0,161851.0,1295.0,1295.0,0.0,0.9842,0.0079,0.0079,0.0,3442.0,285.0,70.0,3087.0,0.0828,0.0203,0.8969,2880.0,157500.0,245.0,0.0179,0.9805,0.0015,310.0,0.1032,50.125,13.4688,32.0,0.0,1.0,0.0,453.0,0.0,1.0,0.0,0.0,1.0,1.0,30.0,0.0,0.0312,0.0312,0.9375,244.0,7.625,36.0,16.04,4.31,383.0,0.1671,42.0469,15.4219,64.0,0.0,1.0,0.0,1476.0,0.0,1.0,0.0,0.0,2.0,1.0,61.0,0.0,0.0312,0.0156,0.9531,288.0,4.5,36.0,26.91,9.87,514.0,0.1868,52.4583,18.6771,96.0,0.0,1.0,0.0,2801.0,0.0,1.0,0.0,0.0,2.0,1.0,93.0,0.0,0.0208,0.0104,0.9688,352.0,3.6667,36.0,50.36,17.93,608.0,0.2105,51.5469,18.8984,128.0,0.0,1.0,0.0,3717.0,0.0,1.0,0.0,0.0,2.0,1.0,125.0,0.0,0.0156,0.0078,0.9766,404.0,3.1562,36.0,52.62,20.45,1.17907,1.87444,0.621695,4.44219,0.577556,0.874861,1.60632,1.26492,0.802559,1.57704,0.70517
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700139777_0.gph.gz,0.01,0.9923,0.0017,0.0011,0.016,0.9749,1.0,161850.0,1545.0,160305.0,160624.0,0.9924,161740.0,2007.0,0.0,0.0,164440.0,161852.0,1293.0,1295.0,0.0,0.9843,0.0079,0.0079,0.0,3440.0,285.0,70.0,3085.0,0.0828,0.0203,0.8968,2880.0,157501.0,243.0,0.0179,0.9806,0.0015,342.0,0.0936,44.3438,15.4375,32.0,0.0,1.0,0.0,509.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0312,0.0,0.9688,287.0,8.9688,36.0,14.19,4.94,425.0,0.1506,40.2031,15.0938,64.0,0.0,1.0,0.0,1587.0,0.0,1.0,0.0,0.0,1.0,0.0,63.0,0.0,0.0156,0.0,0.9844,344.0,5.375,36.0,25.73,9.66,609.0,0.1593,44.567,15.0928,97.0,0.0,1.0,0.0,2498.0,0.0,1.0,0.0,0.0,1.0,0.0,96.0,0.0,0.0103,0.0,0.9897,484.0,4.9897,36.0,43.23,14.64,782.0,0.1675,50.2519,16.4656,131.0,0.0,1.0,0.0,3620.0,0.0,1.0,0.0,0.0,1.0,0.0,130.0,0.0,0.0076,0.0,0.9924,583.0,4.4504,36.0,52.2,16.7,1.20203,1.89365,0.562918,4.45263,0.759358,0.94286,1.68976,1.21052,1.0231,1.55839,0.757343
FolioSuite/ASP-Comp-2007-Lparse/SLparse/BoundedSpanningTree/122_rand_35_250_1700165461_0.gph.gz,0.01,0.9923,0.0017,0.0011,0.016,0.9749,1.0,161848.0,1545.0,160303.0,160622.0,0.9924,161738.0,2007.0,0.0,0.0,164438.0,161856.0,1287.0,1295.0,0.0,0.9843,0.0078,0.0079,0.0,3436.0,285.0,70.0,3081.0,0.0829,0.0204,0.8967,2880.0,157500.0,242.0,0.0179,0.9806,0.0015,301.0,0.1063,41.4688,12.75,32.0,0.0,1.0,0.0,430.0,0.0,1.0,0.0,0.0,1.0,0.0,31.0,0.0,0.0312,0.0,0.9688,248.0,7.75,39.0,13.27,4.08,374.0,0.1711,37.75,13.9219,64.0,0.0,1.0,0.0,1575.0,0.0,1.0,0.0,0.0,1.0,0.0,63.0,0.0,0.0156,0.0,0.9844,295.0,4.6094,39.0,24.16,8.91,700.0,0.1371,57.5312,17.2083,96.0,0.0,1.0,0.0,2678.0,0.0,1.0,0.0,0.0,1.0,0.0,95.0,0.0,0.0104,0.0,0.9896,494.0,5.1458,39.0,55.23,16.52,978.0,0.1309,60.4688,19.2344,128.0,0.0,1.0,0.0,3908.0,0.0,1.0,0.0,0.0,1.0,0.0,127.0,0.0,0.0078,0.0,0.9922,710.0,5.5469,48.0,66.19,21.3,1.17674,2.19041,0.554154,4.33562,0.670323,1.02233,1.62577,1.17733,0.794109,1.57453,0.776033
