Instances,feature_ VariableCount,feature_ VPOPSMean,feature_ POPSCount,feature_ PSSMaximum,feature_ PSSMean,feature_ PSSStandardDeviation,feature_ VPOPSMaximum,feature_ VPOPSStandardDeviation,feature_ PatterndatabaselowerboundIndegreeMaximum,feature_ PatterndatabaselowerboundIndegreeMean,feature_ PatterndatabaselowerboundIndegreeStandardDeviation,feature_ PatterndatabaselowerboundLeafCount,feature_ PatterndatabaselowerboundNTCCount,feature_ PatterndatabaselowerboundNTCMax,feature_ PatterndatabaselowerboundNTCMean,feature_ PatterndatabaselowerboundNTCStandardDeviation,feature_ PatterndatabaselowerboundOutdegreeMaximum,feature_ PatterndatabaselowerboundOutdegreeMean,feature_ PatterndatabaselowerboundOutdegreeStandardDeviation,feature_ PatterndatabaselowerboundRootCount,feature_ PatterndatabaselowerboundTotalDegreeMaximum,feature_ PatterndatabaselowerboundTotalDegreeMean,feature_ PatterndatabaselowerboundTotalDegreeStandardDeviation,feature_ SimplelowerboundIndegreeMaximum,feature_ SimplelowerboundIndegreeMean,feature_ SimplelowerboundIndegreeStandardDeviation,feature_ SimplelowerboundLeafCount,feature_ SimplelowerboundNTCCount,feature_ SimplelowerboundNTCMax,feature_ SimplelowerboundNTCMean,feature_ SimplelowerboundNTCStandardDeviation,feature_ SimplelowerboundOutdegreeMaximum,feature_ SimplelowerboundOutdegreeMean,feature_ SimplelowerboundOutdegreeStandardDeviation,feature_ SimplelowerboundRootCount,feature_ SimplelowerboundTotalDegreeMaximum,feature_ SimplelowerboundTotalDegreeMean,feature_ SimplelowerboundTotalDegreeStandardDeviation,feature_ GreedyhillclimbingErrorbound,feature_ GreedyhillclimbingIndegreeMaximum,feature_ GreedyhillclimbingIndegreeMean,feature_ GreedyhillclimbingIndegreeStandardDeviation,feature_ GreedyhillclimbingLeafCount,feature_ GreedyhillclimbingOutdegreeMaximum,feature_ GreedyhillclimbingOutdegreeMean,feature_ GreedyhillclimbingOutdegreeStandardDeviation,feature_ GreedyhillclimbingRootCount,feature_ GreedyhillclimbingTotalDegreeMaximum,feature_ GreedyhillclimbingTotalDegreeMean,feature_ GreedyhillclimbingTotalDegreeStandardDeviation,feature_ AnytimewindowA*Errorbound,feature_ AnytimewindowA*IndegreeMaximum,feature_ AnytimewindowA*IndegreeMean,feature_ AnytimewindowA*IndegreeStandardDeviation,feature_ AnytimewindowA*LeafCount,feature_ AnytimewindowA*OutdegreeMaximum,feature_ AnytimewindowA*OutdegreeMean,feature_ AnytimewindowA*OutdegreeStandardDeviation,feature_ AnytimewindowA*RootCount,feature_ AnytimewindowA*TotalDegreeMaximum,feature_ AnytimewindowA*TotalDegreeMean,feature_ AnytimewindowA*TotalDegreeStandardDeviation,feature_ GOBNILPErrorbound,feature_ GOBNILPIndegreeMaximum,feature_ GOBNILPIndegreeMean,feature_ GOBNILPIndegreeStandardDeviation,feature_ GOBNILPLeafCount,feature_ GOBNILPOutdegreeMaximum,feature_ GOBNILPOutdegreeMean,feature_ GOBNILPOutdegreeStandardDeviation,feature_ GOBNILPRootCount,feature_ GOBNILPTotalDegreeMaximum,feature_ GOBNILPTotalDegreeMean,feature_ GOBNILPTotalDegreeStandardDeviation,feature_ CPBayesErrorbound,feature_ CPBayesIndegreeMaximum,feature_ CPBayesIndegreeMean,feature_ CPBayesIndegreeStandardDeviation,feature_ CPBayesLeafCount,feature_ CPBayesOutdegreeMaximum,feature_ CPBayesOutdegreeMean,feature_ CPBayesOutdegreeStandardDeviation,feature_ CPBayesRootCount,feature_ CPBayesTotalDegreeMaximum,feature_ CPBayesTotalDegreeMean,feature_ CPBayesTotalDegreeStandardDeviation,algo_astar-ec,algo_astar-ed3,algo_astar-comp,algo_cpbayes,algo_ilp-141,algo_ilp-141-nc,algo_ilp-162,algo_ilp-162-nc
abscisic_bdeu-0.1-2,12.57,2.0,1.93,0.35,7.0,14.0,1.93,2.43,1.0,16.0,3.85,2.33,3.9,2.0,1.93,0.35,13.0,30.0,1.93,4.66,1.0,31.0,3.85,4.49,4.89,2.0,1.93,0.35,14.0,23.0,1.93,3.71,1.0,25.0,3.85,3.69,14.91,2.0,1.93,0.35,12.0,25.0,1.93,3.9,1.0,27.0,3.85,3.89,28627.0,2.0,1.94,0.24,2.0,2.0,0.0,13.0,4.0,9.0,5.0,3.16,27.0,2.0,4.2,0.0,29.0,4.0,4.2,2.0,2.0,0.0,10.0,5.0,11.0,4.8,3.83,27.0,2.0,4.15,0.0,29.0,4.0,4.15,821.0,698.22,84.91,41.0,NaN,NaN,51.17,115.09,1564.47,1210.84,1468.74,1270.6
abscisic_bdeu-1-2,12.41,2.0,1.93,0.35,7.0,15.0,1.93,2.5,1.0,17.0,3.85,2.43,1.9,2.0,1.93,0.35,14.0,29.0,1.93,4.54,1.0,30.0,3.85,4.35,5.08,2.0,1.93,0.35,15.0,29.0,1.93,4.54,1.0,31.0,3.85,4.51,14.93,2.0,1.93,0.35,11.0,26.0,1.93,4.0,1.0,28.0,3.85,4.0,31398.0,2.0,1.95,0.23,2.0,2.0,0.0,13.0,4.0,9.0,5.0,3.16,26.0,2.0,4.06,0.0,28.0,4.0,4.06,2.0,2.0,0.0,11.0,5.0,11.0,4.8,3.83,26.0,2.0,4.03,0.0,28.0,4.0,4.03,821.0,765.8,56.54,41.0,NaN,NaN,62.67,107.62,1492.15,1618.28,1556.19,1824.99
abscisic_bdeu-10-2,13.16,2.0,1.93,0.35,6.0,12.0,1.93,2.08,1.0,14.0,3.85,1.98,-1.0,2.0,2.0,0.0,8.0,22.0,2.0,3.4,0.0,24.0,4.0,3.4,5.54,2.0,1.93,0.35,15.0,23.0,1.93,3.7,1.0,25.0,3.85,3.67,97.02,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,33008.0,2.0,1.95,0.23,2.0,2.0,0.0,12.0,4.0,9.0,5.25,2.99,23.0,2.0,3.61,0.0,25.0,4.0,3.61,2.0,2.0,0.0,8.0,6.0,11.0,4.67,3.44,22.0,2.0,3.4,0.0,24.0,4.0,3.4,821.0,805.07,22.38,41.0,NaN,NaN,62.24,46.5,1365.57,1673.04,1354.81,2034.13
abscisic_bdeu-100-2,11.77,2.0,1.93,0.35,7.0,9.0,1.93,1.72,1.0,11.0,3.85,1.7,3.7,2.0,1.93,0.35,13.0,17.0,1.93,2.99,1.0,19.0,3.85,2.87,5.84,2.0,1.93,0.35,13.0,16.0,1.93,2.89,1.0,18.0,3.85,2.88,94.66,0.0,0.0,0.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,33647.0,2.0,1.95,0.23,2.0,2.0,0.0,7.0,4.0,14.0,7.75,5.06,13.0,2.0,2.21,0.0,15.0,4.0,2.21,2.0,2.0,0.0,4.0,5.0,14.0,7.0,5.39,12.0,2.0,1.99,0.0,14.0,4.0,1.99,821.0,820.66,0.94,41.0,NaN,NaN,46.13,NaN,3803.8,4191.2,NaN,NaN
abscisic_bdeu-100-3,16.05,3.0,2.85,0.57,1.0,10.0,2.85,2.02,1.0,13.0,5.71,1.81,-1.0,3.0,3.0,0.0,1.0,11.0,3.0,1.99,0.0,14.0,6.0,1.99,-1.0,3.0,3.0,0.0,1.0,11.0,3.0,1.99,0.0,14.0,6.0,1.99,61.49,2.0,0.63,0.62,28.0,6.0,0.63,1.2,18.0,7.0,1.27,1.47,433688.0,3.0,2.92,0.29,3.0,3.0,0.0,2.0,3.0,24.0,13.0,10.54,12.0,3.0,2.17,0.0,15.0,6.0,2.17,3.0,3.0,0.0,1.0,5.0,14.0,8.0,5.66,11.0,3.0,1.99,0.0,14.0,6.0,1.99,10701.0,10577.76,209.97,41.0,NaN,NaN,1011.05,NaN,NaN,NaN,NaN,NaN
abscisic_bic-2,12.4,2.0,1.93,0.35,7.0,15.0,1.93,2.49,1.0,17.0,3.85,2.41,3.0,2.0,1.93,0.35,12.0,29.0,1.93,4.51,1.0,30.0,3.85,4.33,4.89,2.0,1.93,0.35,14.0,30.0,1.93,4.73,1.0,31.0,3.85,4.59,15.18,2.0,1.93,0.35,12.0,24.0,1.93,3.76,1.0,26.0,3.85,3.75,30836.0,2.0,1.94,0.24,2.0,2.0,0.0,13.0,4.0,9.0,5.25,2.99,25.0,2.0,3.91,0.0,27.0,4.0,3.91,2.0,2.0,0.0,9.0,6.0,11.0,4.67,3.44,24.0,2.0,3.7,0.0,26.0,4.0,3.7,821.0,752.1,62.84,41.0,NaN,NaN,78.04,104.26,1560.42,1621.08,1424.11,1280.33
alarm_10000_bdeu-0.1-2,32.71,2.0,1.22,0.85,12.0,5.0,1.22,1.25,10.0,6.0,2.43,1.34,7.5,2.0,1.19,0.88,15.0,5.0,1.19,1.33,11.0,6.0,2.38,1.32,0.72,2.0,1.38,0.72,14.0,5.0,1.38,1.48,5.0,6.0,2.76,1.61,36.49,2.0,1.43,0.69,16.0,5.0,1.43,1.63,4.0,7.0,2.86,1.69,2365.0,2.0,1.78,0.45,2.0,1.7,0.57,9.0,7.0,6.0,3.43,1.81,6.0,1.7,1.53,2.0,8.0,3.41,1.85,2.0,1.78,0.48,7.0,9.0,6.0,3.22,1.48,7.0,1.78,1.57,1.0,9.0,3.57,1.79,151.0,63.92,48.43,37.0,NaN,NaN,89.68,1298.79,46.71,30.18,20.76,26.16
alarm_10000_bdeu-0.1-3,38.6,3.0,1.24,1.01,11.0,5.0,1.24,1.19,12.0,6.0,2.49,1.37,0.7,3.0,1.19,0.97,15.0,5.0,1.19,1.29,12.0,6.0,2.38,1.32,3.98,3.0,1.46,0.84,9.0,6.0,1.46,1.54,6.0,7.0,2.92,1.66,42.56,3.0,1.59,0.86,10.0,5.0,1.59,1.5,4.0,8.0,3.19,1.75,4837.0,3.0,2.4,0.68,3.0,2.05,0.88,8.0,6.0,6.0,4.17,1.72,7.0,2.05,1.82,2.0,10.0,4.11,2.44,3.0,2.3,0.85,3.0,7.0,15.0,4.86,4.71,8.0,2.3,1.87,1.0,11.0,4.59,2.45,372.0,130.73,118.63,37.0,NaN,NaN,257.58,249.79,71.14,77.96,58.61,60.44
alarm_10000_bdeu-0.1-4,39.42,3.0,1.24,1.01,12.0,5.0,1.24,1.21,12.0,6.0,2.49,1.37,0.7,3.0,1.22,0.95,16.0,5.0,1.22,1.38,11.0,6.0,2.43,1.3,3.54,3.0,1.38,0.83,15.0,5.0,1.38,1.52,7.0,6.0,2.76,1.55,43.64,4.0,1.68,0.97,11.0,7.0,1.68,1.89,4.0,9.0,3.35,2.1,5919.0,4.0,2.7,0.87,4.0,2.11,0.99,8.0,5.0,9.0,5.0,2.74,7.0,2.11,1.79,2.0,10.0,4.22,2.5,4.0,2.62,1.19,1.0,4.0,18.0,9.0,7.39,8.0,2.62,1.93,1.0,12.0,5.24,2.92,490.0,159.97,153.06,37.0,NaN,NaN,478.2,462.61,91.9,100.35,78.24,54.76
alarm_10000_bdeu-0.1-5,39.44,3.0,1.24,1.01,12.0,5.0,1.24,1.21,12.0,6.0,2.49,1.37,0.7,3.0,1.22,0.95,16.0,5.0,1.22,1.38,11.0,6.0,2.43,1.3,4.26,4.0,1.43,0.96,7.0,6.0,1.43,1.37,7.0,7.0,2.86,1.67,43.26,3.0,1.49,0.9,11.0,5.0,1.49,1.39,6.0,7.0,2.97,1.62,6168.0,5.0,2.79,0.97,5.0,2.14,1.06,8.0,5.0,9.0,5.0,2.74,7.0,2.14,1.81,2.0,11.0,4.27,2.58,5.0,2.7,1.31,1.0,3.0,18.0,12.0,6.0,8.0,2.7,1.93,1.0,13.0,5.41,3.08,506.0,166.7,160.94,37.0,NaN,NaN,470.72,521.04,101.46,94.04,61.87,57.31
alarm_10000_bdeu-1-2,33.33,2.0,1.22,0.85,13.0,5.0,1.22,1.25,10.0,5.0,2.43,1.32,7.8,2.0,1.22,0.85,16.0,5.0,1.22,1.4,10.0,5.0,2.43,1.28,0.83,2.0,1.38,0.79,16.0,5.0,1.38,1.55,7.0,7.0,2.76,1.64,37.15,2.0,1.35,0.75,14.0,5.0,1.35,1.49,6.0,6.0,2.7,1.45,2736.0,2.0,1.8,0.43,2.0,1.7,0.57,10.0,7.0,6.0,3.43,1.81,6.0,1.7,1.53,2.0,8.0,3.41,1.83,2.0,1.78,0.48,7.0,9.0,6.0,3.22,1.48,7.0,1.78,1.57,1.0,9.0,3.57,1.79,171.0,73.95,55.47,37.0,NaN,NaN,191.05,1622.81,48.29,43.51,38.52,43.44
alarm_10000_bdeu-1-3,40.42,3.0,1.24,1.01,12.0,5.0,1.24,1.21,12.0,6.0,2.49,1.37,0.7,3.0,1.22,0.95,16.0,5.0,1.22,1.38,11.0,6.0,2.43,1.3,5.69,3.0,1.46,0.9,13.0,6.0,1.46,1.54,6.0,6.0,2.92,1.75,44.24,3.0,1.78,0.98,9.0,5.0,1.78,1.62,5.0,8.0,3.57,1.86,6473.0,3.0,2.49,0.65,3.0,2.08,0.89,8.0,6.0,6.0,4.17,1.72,7.0,2.08,1.89,2.0,10.0,4.16,2.51,3.0,2.32,0.85,3.0,6.0,17.0,5.67,5.75,8.0,2.32,1.86,1.0,11.0,4.65,2.45,473.0,174.95,160.78,37.0,NaN,NaN,515.9,639.29,621.0,428.42,146.53,187.42
alarm_10000_bdeu-1-4,40.96,3.0,1.24,1.01,12.0,5.0,1.24,1.21,12.0,6.0,2.49,1.37,0.7,3.0,1.19,0.97,15.0,5.0,1.19,1.29,12.0,6.0,2.38,1.32,5.27,3.0,1.49,0.84,15.0,8.0,1.49,1.77,5.0,9.0,2.97,1.79,44.76,4.0,1.49,1.15,11.0,5.0,1.49,1.48,10.0,7.0,2.97,1.72,8445.0,4.0,2.85,0.86,4.0,2.19,1.05,7.0,5.0,9.0,5.2,2.49,7.0,2.19,1.84,2.0,10.0,4.38,2.56,4.0,2.65,1.18,2.0,3.0,17.0,11.67,5.51,8.0,2.65,1.92,1.0,12.0,5.3,2.92,715.0,228.24,225.19,37.0,NaN,NaN,556.85,1390.55,610.19,698.65,211.98,284.5
alarm_10000_bdeu-1-5,40.99,3.0,1.24,1.01,12.0,5.0,1.24,1.21,12.0,6.0,2.49,1.37,0.7,3.0,1.22,0.95,16.0,5.0,1.22,1.38,11.0,6.0,2.43,1.3,5.33,4.0,1.51,0.9,14.0,7.0,1.51,1.64,5.0,8.0,3.03,1.79,44.05,3.0,1.49,0.9,14.0,7.0,1.49,1.74,6.0,9.0,2.97,1.8,8838.0,5.0,2.94,0.95,5.0,2.22,1.11,7.0,5.0,9.0,5.2,2.49,7.0,2.22,1.86,2.0,11.0,4.43,2.64,5.0,2.7,1.27,2.0,3.0,17.0,11.67,5.51,8.0,2.7,1.98,1.0,13.0,5.41,3.08,740.0,238.86,237.42,37.0,NaN,NaN,630.46,1604.29,362.72,583.73,196.81,217.56
alarm_10000_bdeu-10-2,34.07,2.0,1.51,0.73,12.0,5.0,1.51,1.41,5.0,6.0,3.03,1.36,4.1,2.0,1.54,0.73,11.0,5.0,1.54,1.43,5.0,6.0,3.08,1.28,2.63,2.0,1.62,0.59,14.0,6.0,1.62,1.77,2.0,8.0,3.24,1.72,38.33,2.0,1.46,0.77,10.0,5.0,1.46,1.5,6.0,7.0,2.92,1.48,3420.0,2.0,1.84,0.4,2.0,1.86,0.35,8.0,7.0,6.0,3.43,1.81,6.0,1.86,1.48,0.0,8.0,3.73,1.61,2.0,1.89,0.31,6.0,9.0,6.0,3.22,1.48,7.0,1.89,1.58,0.0,9.0,3.78,1.67,208.0,92.43,62.96,37.0,NaN,NaN,615.44,NaN,113.46,133.41,128.73,183.75
