Instances,feature_ stacks,feature_ tiers,feature_ stacktierratio,feature_ containerdensity,feature_ emptystackpct,feature_ overstowingstackpct,feature_ overstowing2contstackpct,feature_ groupsamemin,feature_ groupsamemax,feature_ groupsamemean,feature_ groupsamestdev,feature_ topgoodmin,feature_ topgoodmax,feature_ topgoodmean,feature_ topgoodstdev,feature_ overstowagepct,feature_ bflb,feature_ leftdensity,feature_ tierweightedgroups,feature_ avgl1topleftlggroup,feature_ contemptygrtestack,feature_ pctbottompctontop,algo_astar-symmulgt-transmul,algo_astar-symmullt-transmul,algo_idastar-symmulgt-transmul,algo_idastar-symmullt-transmul
BF10_cpmp_16_8_77_16_58_13,16.0,8.0,0.5,0.601562,0.1875,0.625,0.909091,0.0,6.0,4.52941,1.37702,2.0,12.0,8.0,3.4641,0.453125,58.0,0.677778,0.401784,0.49375,0.289062,0.0625,NaN,NaN,311.863,NaN
BF10_cpmp_16_8_77_16_58_3,16.0,8.0,0.5,0.601562,0.1875,0.625,1.0,0.0,8.0,4.52941,1.57621,3.0,15.0,6.9,3.61801,0.453125,58.0,0.531944,0.392541,0.65625,0.296875,0.0,NaN,NaN,78.121,600.402
BF10_cpmp_16_8_77_16_58_8,16.0,8.0,0.5,0.601562,0.25,0.625,1.0,0.0,6.0,4.52941,1.33362,2.0,12.0,6.1,3.36006,0.453125,58.0,0.555556,0.375117,0.6875,0.304688,0.0625,NaN,NaN,0.012,60.72
BF11_cpmp_16_8_77_31_47_10,16.0,8.0,0.5,0.601562,0.0,0.75,0.8,0.0,5.0,2.40625,0.896499,2.0,26.0,11.8333,7.32386,0.367188,49.0,0.377778,0.441853,0.53125,0.0,0.0625,NaN,92.986,2031.039,141.857
BF11_cpmp_16_8_77_31_47_11,16.0,8.0,0.5,0.601562,0.0,0.9375,0.9375,0.0,5.0,2.40625,1.34302,2.0,23.0,10.8667,6.05383,0.367188,49.0,0.513889,0.438422,0.8125,0.0,0.0,NaN,NaN,422.53,NaN
BF11_cpmp_16_8_77_31_47_16,16.0,8.0,0.5,0.601562,0.0,0.875,0.875,0.0,5.0,2.40625,0.963696,2.0,17.0,10.2857,4.39852,0.367188,51.0,0.4,0.481308,0.65625,0.0,0.0,182.019,NaN,66.988,249.488
BF11_cpmp_16_8_77_31_47_6,16.0,8.0,0.5,0.601562,0.0,1.0,1.0,0.0,7.0,2.40625,1.19529,2.0,25.0,12.5,6.99107,0.367188,51.0,0.266667,0.475875,0.359375,0.0,0.0,NaN,NaN,NaN,1121.786
BF11_cpmp_16_8_77_31_47_7,16.0,8.0,0.5,0.601562,0.0,0.9375,0.9375,0.0,5.0,2.40625,1.08568,2.0,26.0,11.7333,6.9519,0.367188,49.0,0.505556,0.499464,0.625,0.0,0.125,2.28,NaN,14.481,758.815
BF12_cpmp_16_8_77_31_58_14,16.0,8.0,0.5,0.601562,0.125,0.75,1.0,0.0,6.0,2.40625,1.08568,3.0,29.0,14.1667,7.74417,0.453125,58.0,0.443056,0.407667,0.510417,0.226562,0.0625,NaN,NaN,2816.652,1246.814
BF17_cpmp_20_5_60_12_36_1,20.0,5.0,0.25,0.6,0.1,0.55,0.785714,0.0,7.0,4.61538,1.54613,2.0,12.0,6.36364,3.11223,0.36,36.0,0.581295,0.449188,0.666667,0.17,0.05,0.052,0.332,0.004,0.076
BF17_cpmp_20_5_60_12_36_10,20.0,5.0,0.25,0.6,0.15,0.6,1.0,0.0,8.0,4.61538,1.68881,2.0,11.0,6.0,2.48328,0.36,36.0,0.513669,0.441239,0.613333,0.15,0.05,NaN,NaN,0.004,0.032
