Instances,feature_ stats_varcount,feature_ stats_var_bool,feature_ stats_var_discrete,feature_ stats_var_bound,feature_ stats_var_sparsebound,feature_ stats_dom_0,feature_ stats_dom_25,feature_ stats_dom_50,feature_ stats_dom_75,feature_ stats_dom_100,feature_ stats_dom_mean,feature_ stats_dom_not2_2_ratio,feature_ stats_discrete_bool_ratio,feature_ stats_branchingvars,feature_ stats_auxvars,feature_ stats_auxvar_branching_ratio,feature_ stats_conscount,feature_ stats_arity_0,feature_ stats_arity_25,feature_ stats_arity_50,feature_ stats_arity_75,feature_ stats_arity_100,feature_ stats_arity_mean,feature_ stats_arity_mean_normalised,feature_ stats_cts_per_var_mean,feature_ stats_cts_per_var_mean_normalised,feature_ stats_alldiff_count,feature_ stats_alldiff_proportion,feature_ stats_sums_count,feature_ stats_sums_proportion,feature_ stats_or_atleastk_count,feature_ stats_or_atleastk_proportion,feature_ stats_ternary_count,feature_ stats_ternary_proportion,feature_ stats_binary_count,feature_ stats_binary_proportion,feature_ stats_reify_count,feature_ stats_reify_proportion,feature_ stats_table_count,feature_ stats_table_proportion,feature_ stats_lex_count,feature_ stats_lex_proportion,feature_ stats_unary_count,feature_ stats_unary_proportion,feature_ stats_nullary_count,feature_ stats_nullary_proportion,feature_ stats_element_count,feature_ stats_element_proportion,feature_ stats_minmax_count,feature_ stats_minmax_proportion,feature_ stats_occurrence_count,feature_ stats_occurrence_proportion,feature_ stats_multi_shared_vars,feature_ stats_edge_density,feature_ stats_Local_Variance,feature_ standard_deviation_of_node_degree,feature_ normalised_standard_deviation_of_node_degree,feature_ clustering_coefficient,feature_ minimum_degree,feature_ normalised_minimum_degree,feature_ maximum_degree,feature_ normalised_maximum_degree,feature_ median_degree,feature_ normalised_median_degree,feature_ mean_degree,feature_ normalised_mean_degree,feature_ width_of_ordering,feature_ normalised_width_of_ordering,feature_ width_of_graph,feature_ normalised_width_of_graph,feature_ SAC_literals,feature_ normalised_SAC_literals,feature_ stats_tightness_0,feature_ stats_tightness_25,feature_ stats_tightness_50,feature_ stats_tightness_75,feature_ stats_tightness_100,feature_ stats_tightness_mean,feature_ stats_tightness_mean_normalised,feature_ stats_literal_tightness_0,feature_ stats_literal_tightness_25,feature_ stats_literal_tightness_50,feature_ stats_literal_tightness_75,feature_ stats_literal_tightness_100,feature_ stats_literal_tightness_mean,feature_ stats_literal_tightness_coeff_of_variation,algo_standard,algo_learning
1-fullins-3-3.xml.watchless.minion.gz,30.0,0.0,30.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,30.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,0.066667,6.666667,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229885,0.364781,324.0,324.0,324.0,324.0,324.0,324.0,3.24,2.054804667656325,0.06849348892187751,0.09182780182780183,4.0,0.1333333333333333,11.0,0.3666666666666666,6.0,0.2,6.666666666666667,0.2222222222222222,11.0,0.3666666666666666,5.0,0.1666666666666667,0.0,0.0,32.0,32.0,33.0,35.0,35.0,33.333333,0.037417,0.025995,0.030995
1-fullins-3-4.xml.watchless.minion.gz,30.0,0.0,30.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,30.0,0.0,0.0,100.0,2.0,2.0,2.0,2.0,2.0,2.0,0.066667,6.666667,0.066667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.229885,0.364781,263.0,263.0,263.0,263.0,263.0,263.0,2.63,2.054804667656325,0.06849348892187751,0.09182780182780183,4.0,0.1333333333333333,11.0,0.3666666666666666,6.0,0.2,6.666666666666667,0.2222222222222222,11.0,0.3666666666666666,5.0,0.1666666666666667,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.167974,0.185972
1-fullins-4-4.xml.watchless.minion.gz,93.0,0.0,93.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,93.0,0.0,0.0,593.0,2.0,2.0,2.0,2.0,2.0,2.0,0.021505,12.752688,0.021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138616,0.236605,263.0,263.0,263.0,263.0,263.0,263.0,0.443508,5.523470768716972,0.0593921588034083,0.03905599822976483,6.0,0.06451612903225806,32.0,0.3440860215053764,11.0,0.1182795698924731,12.75268817204301,0.1371256792692797,32.0,0.3440860215053764,9.0,0.0967741935483871,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.036994,0.059991
1-fullins-4-5.xml.watchless.minion.gz,93.0,0.0,93.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,93.0,0.0,0.0,593.0,2.0,2.0,2.0,2.0,2.0,2.0,0.021505,12.752688,0.021505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138616,0.236605,184.0,184.0,184.0,184.0,184.0,184.0,0.310287,5.523470768716972,0.0593921588034083,0.03905599822976483,6.0,0.06451612903225806,32.0,0.3440860215053764,11.0,0.1182795698924731,12.75268817204301,0.1371256792692797,32.0,0.3440860215053764,9.0,0.0967741935483871,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,0.171973,0.193971
1-fullins-5-4.xml.watchless.minion.gz,282.0,0.0,282.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,282.0,0.0,0.0,3247.0,2.0,2.0,2.0,2.0,2.0,2.0,0.007092,23.028369,0.007092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081951,0.147531,263.0,263.0,263.0,263.0,263.0,263.0,0.080998,13.20054977493152,0.04681046019479263,0.01668639543938761,8.0,0.02836879432624113,95.0,0.3368794326241135,20.0,0.07092198581560284,23.02836879432624,0.08166088224938384,95.0,0.3368794326241135,15.0,0.05319148936170213,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,0.080988,0.096985
1-fullins-5-5.xml.watchless.minion.gz,282.0,0.0,282.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,282.0,0.0,0.0,3247.0,2.0,2.0,2.0,2.0,2.0,2.0,0.007092,23.028369,0.007092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081951,0.147531,184.0,184.0,184.0,184.0,184.0,184.0,0.056668,13.20054977493152,0.04681046019479263,0.01668639543938761,8.0,0.02836879432624113,95.0,0.3368794326241135,20.0,0.07092198581560284,23.02836879432624,0.08166088224938384,95.0,0.3368794326241135,15.0,0.05319148936170213,0.0,0.0,16.0,17.0,21.0,23.0,23.0,20.0,0.148324,6.285043,887.100994
1-fullins-5-6.xml.watchless.minion.gz,282.0,0.0,282.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,282.0,0.0,0.0,3247.0,2.0,2.0,2.0,2.0,2.0,2.0,0.007092,23.028369,0.007092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081951,0.147531,169.0,169.0,169.0,169.0,169.0,169.0,0.052048,13.20054977493152,0.04681046019479263,0.01668639543938761,8.0,0.02836879432624113,95.0,0.3368794326241135,20.0,0.07092198581560284,23.02836879432624,0.08166088224938384,95.0,0.3368794326241135,15.0,0.05319148936170213,0.0,0.0,13.0,14.0,18.0,19.0,20.0,16.666667,0.153623,0.19997,0.226965
1-insertions-4-3.xml.watchless.minion.gz,67.0,0.0,67.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,67.0,0.0,0.0,232.0,2.0,2.0,2.0,2.0,2.0,2.0,0.029851,6.925373,0.029851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10493,0.352067,324.0,324.0,324.0,324.0,324.0,324.0,1.396552,2.689467754234893,0.04014130976469991,0.0,4.0,0.05970149253731343,22.0,0.3283582089552239,6.0,0.08955223880597014,6.925373134328358,0.1033637781243038,22.0,0.3283582089552239,5.0,0.07462686567164178,0.0,0.0,32.0,32.0,33.0,35.0,35.0,33.333333,0.037417,0.027994,0.043993
1-insertions-4-4.xml.watchless.minion.gz,67.0,0.0,67.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,67.0,0.0,0.0,232.0,2.0,2.0,2.0,2.0,2.0,2.0,0.029851,6.925373,0.029851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10493,0.352067,263.0,263.0,263.0,263.0,263.0,263.0,1.133621,2.689467754234893,0.04014130976469991,0.0,4.0,0.05970149253731343,22.0,0.3283582089552239,6.0,0.08955223880597014,6.925373134328358,0.1033637781243038,22.0,0.3283582089552239,5.0,0.07462686567164178,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,NaN,NaN
1-insertions-5-4.xml.watchless.minion.gz,202.0,0.0,202.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,202.0,0.0,0.0,1227.0,2.0,2.0,2.0,2.0,2.0,2.0,0.009901,12.148515,0.009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06044,0.243809,263.0,263.0,263.0,263.0,263.0,263.0,0.214344,6.657663102947888,0.03295872823241528,0.0,5.0,0.02475247524752475,67.0,0.3316831683168317,10.0,0.04950495049504951,12.14851485148515,0.0601411626311146,67.0,0.3316831683168317,8.0,0.0396039603960396,0.0,0.0,20.0,26.0,27.0,27.0,27.0,25.0,0.116619,NaN,NaN
