Instances,feature_ cheap.pattern.time,feature_ cheap.pattern.vertices,feature_ cheap.pattern.edges,feature_ cheap.pattern.loops,feature_ cheap.pattern.meandeg,feature_ cheap.pattern.maxdeg,feature_ cheap.pattern.degisfixed,feature_ cheap.pattern.density,feature_ cheap.target.time,feature_ cheap.target.vertices,feature_ cheap.target.edges,feature_ cheap.target.loops,feature_ cheap.target.meandeg,feature_ cheap.target.maxdeg,feature_ cheap.target.degisfixed,feature_ cheap.target.density,feature_ distance.pattern.time,feature_ distance.pattern.isconnected,feature_ distance.pattern.meandistance,feature_ distance.pattern.maxdistance,feature_ distance.pattern.proportiondistancege2,feature_ distance.pattern.proportiondistancege3,feature_ distance.pattern.proportiondistancege4,feature_ distance.target.time,feature_ distance.target.isconnected,feature_ distance.target.meandistance,feature_ distance.target.maxdistance,feature_ distance.target.proportiondistancege2,feature_ distance.target.proportiondistancege3,feature_ distance.target.proportiondistancege4,feature_ lad.values.removed,feature_ lad.values.removed.percent,feature_ lad.values.removed.min,feature_ lad.values.removed.max,feature_ lad.time,algo_lad,algo_supplementallad,algo_vf2,algo_glasgow1,algo_glasgow2,algo_glasgow3,algo_glasgow4
A.01,0.0,180.0,497.0,0.0,5.52222,8.0,0.0,0.03085,0.0,200.0,612.0,0.0,6.12,8.0,0.0,0.030754,2.0,1.0,3.25357,5.0,0.963765,0.829383,0.415988,3.0,1.0,3.14462,5.0,0.9644,0.81675,0.34545,15877.0,44.102778,0.0,98.0,0.0,11.0,8.0,1817.0,5.0,13.0,43.0,119.0
A.02,0.0,180.0,491.0,0.0,5.45556,8.0,0.0,0.030478,0.0,200.0,601.0,0.0,6.01,8.0,0.0,0.030201,2.0,1.0,3.27083,5.0,0.964136,0.833333,0.428395,3.0,1.0,3.17457,5.0,0.96495,0.82225,0.36615,15798.0,43.883333,0.0,96.5,0.0,12.0,9.0,533.0,5.0,14.0,38.0,110.0
A.03,0.0,180.0,503.0,0.0,5.58889,8.0,0.0,0.031223,0.0,200.0,609.0,0.0,6.09,8.0,0.0,0.030603,2.0,1.0,3.21986,5.0,0.963395,0.825062,0.396358,3.0,1.0,3.15266,5.0,0.96455,0.81745,0.3515,16690.0,46.361111,0.0,97.5,0.0,18.0,10.0,20842.0,5.0,18.0,39.0,130.0
A.04,0.0,180.0,496.0,0.0,5.51111,8.0,0.0,0.030788,0.0,200.0,611.0,0.0,6.11,8.0,0.0,0.030704,2.0,1.0,3.24053,5.0,0.963827,0.82821,0.411667,3.0,1.0,3.14085,5.0,0.96445,0.81575,0.34385,15956.0,44.322222,0.0,98.0,0.0,12.0,8.0,90.0,6.0,14.0,46.0,157.0
A.05,0.0,180.0,491.0,0.0,5.45556,8.0,0.0,0.030478,0.0,200.0,604.0,0.0,6.04,8.0,0.0,0.030352,2.0,1.0,3.24438,6.0,0.964136,0.829938,0.412222,3.0,1.0,3.14693,5.0,0.9648,0.8177,0.3467,16816.0,46.711111,0.0,98.0,0.0,10.0,9.0,10962.0,6.0,12.0,35.0,103.0
A.06,0.0,180.0,483.0,0.0,5.36667,8.0,0.0,0.029981,0.0,200.0,604.0,0.0,6.04,8.0,0.0,0.030352,2.0,1.0,3.29212,6.0,0.96463,0.835802,0.438333,3.0,1.0,3.16141,5.0,0.9648,0.8193,0.3568,14868.0,41.3,0.0,91.0,0.0,28.0,11.0,5579.0,5.0,14.0,38.0,120.0
A.07,0.0,180.0,488.0,0.0,5.42222,8.0,0.0,0.030292,0.0,200.0,592.0,0.0,5.92,8.0,0.0,0.029749,2.0,1.0,3.25798,6.0,0.964321,0.831667,0.420062,3.0,1.0,3.17884,5.0,0.9654,0.82445,0.3692,19021.0,52.836111,0.0,99.0,0.0,9.0,10.0,3240.0,4.0,12.0,32.0,123.0
A.08,0.0,180.0,491.0,0.0,5.45556,8.0,0.0,0.030478,0.0,200.0,597.0,0.0,5.97,8.0,0.0,0.03,2.0,1.0,3.2712,6.0,0.964136,0.832778,0.429259,3.0,1.0,3.18171,5.0,0.96515,0.8246,0.37145,19316.0,53.655556,0.0,98.5,0.0,11.0,9.0,2115.0,6.0,12.0,31.0,144.0
A.09,0.0,180.0,483.0,0.0,5.36667,8.0,0.0,0.029981,0.0,200.0,596.0,0.0,5.96,8.0,0.0,0.02995,2.0,1.0,3.29013,6.0,0.96463,0.836049,0.43821,3.0,1.0,3.18005,5.0,0.9652,0.82375,0.3691,17655.0,49.041667,0.0,99.0,0.0,11.0,8.0,70286.0,6.0,12.0,34.0,99.0
A.10,0.0,180.0,493.0,0.0,5.47778,8.0,0.0,0.030602,0.0,200.0,612.0,0.0,6.12,8.0,0.0,0.030754,2.0,1.0,3.245,5.0,0.964012,0.828951,0.41216,3.0,1.0,3.12663,5.0,0.9644,0.8144,0.3325,15995.0,44.430556,0.0,98.5,0.0,14.0,8.0,15699.0,5.0,15.0,37.0,110.0
A.11,0.0,180.0,489.0,0.0,5.43333,8.0,0.0,0.030354,0.0,200.0,599.0,0.0,5.99,8.0,0.0,0.030101,2.0,1.0,3.26561,6.0,0.964259,0.831481,0.423025,3.0,1.0,3.16764,5.0,0.96505,0.8215,0.3616,17331.0,48.141667,0.0,99.5,0.0,12.0,8.0,2104.0,6.0,13.0,35.0,103.0
A.12,0.0,180.0,487.0,0.0,5.41111,8.0,0.0,0.03023,0.0,200.0,600.0,0.0,6.0,8.0,0.0,0.030151,2.0,1.0,3.28299,6.0,0.964383,0.83321,0.431975,3.0,1.0,3.17583,5.0,0.965,0.822,0.36655,16985.0,47.180556,0.0,98.5,0.0,10.0,15.0,1146.0,6.0,13.0,35.0,104.0
A.13,0.0,180.0,484.0,0.0,5.37778,8.0,0.0,0.030044,0.0,200.0,595.0,0.0,5.95,8.0,0.0,0.0299,2.0,1.0,3.28405,5.0,0.964568,0.836111,0.434877,3.0,1.0,3.16879,5.0,0.96525,0.8241,0.36025,16739.0,46.497222,0.0,99.0,0.0,10.0,7.0,9367.0,5.0,15.0,37.0,97.0
A.14,0.0,180.0,497.0,0.0,5.52222,8.0,0.0,0.03085,0.0,200.0,617.0,0.0,6.17,8.0,0.0,0.031005,2.0,1.0,3.21924,5.0,0.963765,0.826728,0.396235,3.0,1.0,3.11533,5.0,0.96415,0.81115,0.3251,14774.0,41.038889,0.0,95.5,0.0,42.0,15.0,NaN,6.0,15.0,46.0,136.0
A.15,0.0,180.0,479.0,0.0,5.32222,8.0,0.0,0.029733,0.0,200.0,596.0,0.0,5.96,8.0,0.0,0.02995,2.0,1.0,3.29243,5.0,0.964877,0.838025,0.441111,3.0,1.0,3.17035,5.0,0.9652,0.82285,0.36275,15150.0,42.083333,0.0,95.0,0.0,19.0,10.0,1356620.0,7.0,15.0,36.0,111.0
A.16,0.0,180.0,486.0,0.0,5.4,8.0,0.0,0.030168,0.0,200.0,610.0,0.0,6.1,8.0,0.0,0.030653,2.0,1.0,3.28957,5.0,0.964444,0.835802,0.438951,3.0,1.0,3.14744,5.0,0.9645,0.8174,0.3484,13299.0,36.941667,0.0,96.5,0.0,18.0,9.0,585300.0,5.0,15.0,42.0,123.0
