Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_CCEHC2akms,algo_ahms-1.70,algo_LMHS-2016,algo_Optiriss6,algo_WPM3-2015-co,algo_WMaxSatz09,algo_maxino16-dis,algo_Naps-1.02-ms,algo_mscg2015b,algo_mscg2015a,algo_maxhs-b,algo_Open-WBO16,algo_QMaxSAT16UC,algo_maxino16-c10,algo_WMaxSatz+,algo_CCLS2akms,algo_QMaxSAT14,algo_ahms-ls-1.70,algo_Open-WBO15
10tree110p.wcnf,6642.0,25589.0,0.00821,1.0,0.0,1.0,1.0,0.25956,0.00039,1.09721,0.00012,0.00262,0.0025,0.00039,0.37063,0.00015,0.0009,0.00075,0.43103,0.2394,0.0,0.75,0.75,0.40416,0.65519,0.0,1.0,1.0,0.00993,0.67185,0.78334,0.00024,0.0,4e-05,0.00137,0.00133,0.74571,NaN,NaN,3.38,10.72,8.29,421.39,3.77,12.44,3.55,1.37,7.7,4.7,7.99,3.72,408.65,NaN,8.36,NaN,5.44
10tree115p.wcnf,4564.0,16586.0,0.01266,1.0,0.0,1.0,1.0,0.27517,0.00055,1.14373,0.00024,0.00416,0.00392,0.00055,0.31898,0.00022,0.00088,0.00066,0.43826,0.21183,0.25,0.66667,0.41667,0.4124,0.66114,0.0,1.0,1.0,0.01266,0.65833,0.81647,0.00034,0.0,0.00012,0.00205,0.00193,0.73767,NaN,217.87,2.76,13.17,3.43,113.28,1.8,20.08,1.32,0.9,4.06,2.28,6.89,2.9,113.16,NaN,13.26,146.53,3.09
10tree120p.wcnf,6708.0,25809.0,0.00814,1.0,0.0,1.0,1.0,0.25991,0.00038,1.09619,0.00012,0.0026,0.00248,0.00038,0.37097,0.00015,0.00089,0.00075,0.43056,0.24039,0.0,0.75,0.75,0.40348,0.65718,0.0,1.0,1.0,0.00984,0.67635,0.78647,0.00024,0.0,4e-05,0.00136,0.00132,0.74745,NaN,680.19,13.6,164.72,17.21,771.37,21.13,74.85,12.19,4.88,19.54,20.84,27.34,12.16,771.53,NaN,19.07,651.92,25.61
10tree125p.wcnf,4604.0,16706.0,0.01257,1.0,0.0,1.0,1.0,0.27559,0.00054,1.14241,0.00024,0.00413,0.00389,0.00054,0.31865,0.00022,0.00087,0.00065,0.43786,0.21227,0.25,0.66667,0.41667,0.41179,0.66273,0.0,1.0,1.0,0.01257,0.66198,0.81839,0.00034,0.0,0.00012,0.00204,0.00192,0.73896,NaN,526.91,6.0,96.71,9.44,490.49,8.01,68.86,3.2,3.38,26.71,18.65,39.05,8.28,495.05,NaN,22.96,684.12,34.51
10tree130p.wcnf,6744.0,25929.0,0.0081,1.0,0.0,1.0,1.0,0.26009,0.00038,1.09546,0.00012,0.00258,0.00247,0.00038,0.37121,0.00015,0.00089,0.00074,0.43026,0.2406,0.0,0.75,0.75,0.40312,0.65826,0.0,1.0,1.0,0.0098,0.67878,0.78815,0.00023,0.0,4e-05,0.00135,0.00131,0.74839,NaN,NaN,34.89,892.48,97.12,NaN,126.62,269.73,25.09,88.93,116.49,160.2,262.41,123.03,NaN,NaN,156.3,NaN,204.0
10tree210p.wcnf,4572.0,16610.0,0.01264,1.0,0.0,1.0,1.0,0.27526,0.00055,1.14431,0.00024,0.00415,0.00391,0.00055,0.31892,0.00022,0.00087,0.00066,0.43832,0.21264,0.25,0.66667,0.41667,0.41228,0.66143,0.0,1.0,1.0,0.01264,0.65906,0.81686,0.00034,0.0,0.00012,0.00205,0.00193,0.73793,NaN,70.82,1.39,2.23,0.67,117.54,0.77,7.33,0.69,0.39,2.38,1.44,3.64,0.73,116.26,NaN,2.29,51.58,1.28
10tree215p.wcnf,6738.0,25909.0,0.00811,1.0,0.0,1.0,1.0,0.26006,0.00038,1.09638,0.00012,0.00259,0.00247,0.00038,0.37128,0.00015,0.00089,0.00074,0.4305,0.2419,0.0,0.75,0.75,0.40318,0.65814,0.0,1.0,1.0,0.0098,0.67837,0.78787,0.00023,0.0,4e-05,0.00135,0.00131,0.74823,NaN,310.76,5.64,62.6,9.51,436.86,11.7,32.1,8.45,6.21,15.16,11.65,14.17,7.13,414.96,NaN,16.25,222.52,16.15
10tree220p.wcnf,4648.0,16838.0,0.01247,1.0,0.0,1.0,1.0,0.27604,0.00054,1.14261,0.00024,0.0041,0.00386,0.00054,0.31837,0.00022,0.00086,0.00065,0.43777,0.21447,0.25,0.66667,0.41667,0.41112,0.66455,0.0,1.0,1.0,0.01247,0.66593,0.82047,0.00034,0.0,0.00012,0.00202,0.0019,0.74035,NaN,221.94,4.38,47.23,7.79,256.11,5.88,29.35,2.47,1.74,8.27,6.1,17.15,4.38,262.67,NaN,15.74,215.08,8.68
10tree225p.wcnf,6804.0,26129.0,0.00804,1.0,0.0,1.0,1.0,0.2604,0.00038,1.09531,0.00011,0.00256,0.00245,0.00038,0.37166,0.00015,0.00088,0.00073,0.43005,0.24289,0.0,0.75,0.75,0.40252,0.66002,0.0,1.0,1.0,0.00972,0.68277,0.79092,0.00023,0.0,4e-05,0.00134,0.0013,0.74993,NaN,1462.15,19.02,489.01,53.83,NaN,61.68,132.37,21.34,35.23,81.19,90.95,78.65,43.39,NaN,NaN,68.88,1175.09,92.76
10tree230p.wcnf,4668.0,16898.0,0.01243,1.0,0.0,1.0,1.0,0.27625,0.00054,1.14174,0.00024,0.00408,0.00385,0.00054,0.31815,0.00021,0.00086,0.00064,0.43752,0.21439,0.25,0.66667,0.41667,0.41082,0.66532,0.0,1.0,1.0,0.01243,0.66771,0.8214,0.00033,0.0,0.00012,0.00201,0.00189,0.74098,NaN,1085.8,17.32,245.44,18.41,1145.15,31.75,108.17,13.36,24.4,40.5,64.72,63.43,27.38,1108.68,NaN,45.23,918.81,68.33
