Instances,feature_ f_1,feature_ f_2,feature_ f_3,feature_ f_4,feature_ f_5,feature_ f_6,feature_ f_7,feature_ f_8,feature_ f_9,feature_ f_10,feature_ f_11,feature_ f_12,feature_ f_13,feature_ f_14,feature_ f_15,feature_ f_16,feature_ f_17,feature_ f_18,feature_ f_19,feature_ f_20,feature_ f_21,feature_ f_22,feature_ f_23,feature_ f_24,feature_ f_25,feature_ f_26,feature_ f_27,feature_ f_28,feature_ f_29,feature_ f_30,feature_ f_31,feature_ f_32,feature_ f_33,feature_ f_34,feature_ f_35,feature_ f_36,feature_ f_37,algo_maxino16-c10,algo_CCEHC2akms,algo_mscg2015b,algo_Optiriss6,algo_mscg2015a,algo_LMHS-2016,algo_ahms-ls-1.70,algo_Open-WBO16,algo_WMaxSatz+,algo_WMaxSatz09,algo_maxino16-dis,algo_ahms-1.70,algo_WPM3-2015-co,algo_QMaxSAT14,algo_CCLS2akms,algo_Naps-1.02-ms,algo_QMaxSAT16UC,algo_maxhs-b
103c9978-5408-11df-9bc1-00163e7a6f5e_l1.wcnf,4531.0,25216.0,0.10093,2512.89233,7112.23389,8.0,85972.0,0.17969,0.0005,3.73835,8e-05,0.07384,0.07376,0.0005,0.42602,0.00022,0.01104,0.01081,0.48718,0.39332,0.02326,1.0,0.97674,0.56048,0.47979,0.0,1.0,1.0,0.19349,0.59014,0.98386,0.00021,0.0,4e-05,0.0144,0.01436,0.56409,0.27,NaN,0.94,14.67,0.47,0.3,NaN,0.62,NaN,NaN,0.44,NaN,3.34,70.62,NaN,NaN,60.42,0.2
1401.wcsp.dir.wcnf,1127.0,15507.0,0.03147,1301.57178,817.69055,1.0,2000.0,0.07268,0.00194,1.00158,6e-05,0.01354,0.01348,0.00194,0.22462,0.00089,0.00355,0.00266,0.34313,1.06916,0.0,1.0,1.0,0.28354,1.18513,0.0,1.0,1.0,0.03147,0.79841,0.98626,0.00169,0.0,0.0,0.01348,0.01348,0.87715,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1775.64,1646.99,NaN,NaN,1498.26,NaN
1401.wcsp.log.wcnf,701.0,15294.0,0.03191,1301.57178,817.69055,1.0,2000.0,0.04583,0.00529,0.8433,7e-05,0.02517,0.02511,0.00529,0.29466,0.00143,0.00856,0.00713,0.73911,0.26001,0.0,0.99242,0.99242,0.70839,0.32158,0.0,1.0,1.0,0.01798,0.1307,0.39532,7e-05,0.0,7e-05,7e-05,0.0,0.03191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1403.wcsp.dir.wcnf,1643.0,19862.0,0.03348,955.49622,906.01575,1.0,2000.0,0.08272,0.00134,1.04282,5e-05,0.01057,0.01052,0.00134,0.23085,0.00061,0.00243,0.00183,0.31893,1.09715,0.0,1.0,1.0,0.25799,1.29767,0.0,1.0,1.0,0.03348,0.78854,0.98359,0.00117,0.0,0.0,0.01052,0.01052,0.88501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389.17,NaN,NaN
1403.wcsp.log.wcnf,991.0,19536.0,0.03404,955.49622,906.01575,1.0,2000.0,0.05073,0.00382,0.82011,5e-05,0.01971,0.01966,0.00382,0.29958,0.00101,0.00605,0.00505,0.71996,0.29008,0.0,0.99242,0.99242,0.70089,0.32997,0.0,1.0,1.0,0.01735,0.125,0.36625,5e-05,0.0,5e-05,5e-05,0.0,0.03404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1405.wcsp.dir.wcnf,2295.0,30401.0,0.02812,743.43506,892.10138,1.0,2000.0,0.07549,0.00094,0.94334,3e-05,0.00691,0.00687,0.00094,0.21779,0.00044,0.00174,0.00131,0.28393,1.17723,0.0,1.0,1.0,0.20116,1.54265,0.0,1.0,1.0,0.02812,0.82961,0.98421,0.00085,0.0,0.0,0.00687,0.00687,0.91596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1405.wcsp.log.wcnf,1335.0,29921.0,0.02858,743.43506,892.10138,1.0,2000.0,0.04462,0.00288,0.70704,3e-05,0.01287,0.01283,0.00288,0.26114,0.00075,0.00449,0.00375,0.71406,0.26708,0.0,0.99242,0.99242,0.69236,0.33915,0.0,1.0,1.0,0.01253,0.09161,0.28983,3e-05,0.0,3e-05,3e-05,0.0,0.02858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1407.wcsp.dir.wcnf,3004.0,37639.0,0.02808,601.57806,853.77515,1.0,2000.0,0.07981,0.00072,0.95187,3e-05,0.00563,0.00561,0.00072,0.22019,0.00033,0.00133,0.001,0.26629,1.2027,0.0,1.0,1.0,0.18135,1.66517,0.0,1.0,1.0,0.02808,0.82667,0.98276,0.00066,0.0,0.0,0.00561,0.00561,0.9234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1407.wcsp.log.wcnf,1706.0,36990.0,0.02858,601.57806,853.77515,1.0,2000.0,0.04612,0.00228,0.68164,3e-05,0.01041,0.01038,0.00228,0.25706,0.00059,0.00352,0.00293,0.70949,0.259,0.0,0.99242,0.99242,0.68855,0.34326,0.0,1.0,1.0,0.01103,0.08386,0.26253,3e-05,0.0,3e-05,3e-05,0.0,0.02858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1502.wcsp.dir.wcnf,515.0,636.0,0.32862,426.79425,708.56213,1.0,2000.0,0.80975,0.00396,0.52666,0.00157,0.01415,0.01258,0.00396,0.49424,0.00194,0.00777,0.00583,0.46056,0.40315,0.0,1.0,1.0,0.28066,1.49733,0.0,1.0,1.0,0.32862,0.79403,0.83962,0.00244,0.0,0.0,0.01415,0.01415,0.76887,0.0,0.95,0.01,0.01,0.0,0.05,0.06,0.0,0.06,0.06,0.0,1.15,0.01,0.06,0.87,1.3,0.06,0.01
1502.wcsp.log.wcnf,311.0,534.0,0.39139,426.79425,708.56213,1.0,2000.0,0.5824,0.00912,0.63859,0.00187,0.02809,0.02622,0.00912,0.47866,0.00322,0.01929,0.01608,0.5063,0.39244,0.0,0.88889,0.88889,0.44719,0.88893,0.0,1.0,1.0,0.20037,0.47566,0.58614,0.00187,0.0,0.00187,0.00187,0.0,0.39139,0.0,0.55,0.01,0.02,0.0,0.05,0.25,0.0,NaN,NaN,0.0,0.87,0.0,0.07,0.51,1.57,0.07,0.01
1504.wcsp.dir.wcnf,1577.0,6917.0,0.08747,471.97354,752.11377,1.0,2000.0,0.22799,0.00135,0.8343,0.00014,0.00998,0.00983,0.00135,0.29058,0.00063,0.00254,0.0019,0.32728,0.92528,0.0,1.0,1.0,0.23695,1.54214,0.0,1.0,1.0,0.08747,0.82565,0.95316,0.00111,0.0,0.0,0.00998,0.00998,0.85254,3.09,NaN,0.76,15.7,1.06,NaN,NaN,8.07,NaN,NaN,2.08,NaN,1.53,5.5,NaN,54.85,4.45,NaN
1504.wcsp.log.wcnf,929.0,6593.0,0.09176,471.97354,752.11377,1.0,2000.0,0.14091,0.00391,0.61657,0.00015,0.01062,0.01047,0.00391,0.33025,0.00108,0.00646,0.00538,0.6903,0.27845,0.0,0.98551,0.98551,0.6615,0.44347,0.0,1.0,1.0,0.04262,0.19475,0.36038,0.00015,0.0,0.00015,0.00015,0.0,0.09176,10.07,NaN,2.97,586.84,1.91,NaN,NaN,63.31,NaN,NaN,3.73,NaN,11.58,11.07,NaN,117.1,11.0,NaN
1506.wcsp.dir.wcnf,2620.0,25308.0,0.03714,556.17871,823.34717,1.0,2000.0,0.10352,0.00084,0.98189,4e-05,0.00838,0.00834,0.00084,0.23931,0.00038,0.00153,0.00115,0.27751,1.15365,0.0,1.0,1.0,0.19117,1.62148,0.0,1.0,1.0,0.03714,0.7892,0.97787,0.00075,0.0,0.0,0.00834,0.00834,0.91461,NaN,NaN,1493.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,847.14,256.21,NaN,NaN,383.98,NaN
1506.wcsp.log.wcnf,1500.0,24748.0,0.03798,556.17871,823.34717,1.0,2000.0,0.06061,0.00262,0.69127,4e-05,0.01382,0.01378,0.00262,0.27962,0.00067,0.004,0.00333,0.71041,0.26332,0.0,0.99242,0.99242,0.68715,0.35333,0.0,1.0,1.0,0.01535,0.0956,0.27788,4e-05,0.0,4e-05,4e-05,0.0,0.03798,NaN,NaN,NaN,NaN,1695.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1203.53,NaN,NaN,1425.44,NaN
1aabfc32-d491-11df-9a24-00163e3d3b7c_l2.wcnf,11827.0,68299.0,0.11297,3116.11304,11625.45117,4.0,392344.0,0.17317,0.00022,5.43743,1e-05,0.0752,0.07518,0.00022,0.47129,8e-05,0.00786,0.00778,0.42418,0.52459,0.01351,1.0,0.98649,0.52256,0.54807,0.0,1.0,1.0,0.15769,0.459,0.87309,6e-05,0.0,1e-05,0.0048,0.00479,0.45807,3.67,NaN,21.21,221.96,9.07,2.26,NaN,8.94,NaN,NaN,6.31,NaN,23.09,NaN,NaN,NaN,NaN,2.63
26f3d4cc-d470-11df-9e6c-00163e3d3b7c_l2.wcnf,11302.0,63379.0,0.11403,2868.34326,10323.33984,4.0,255300.0,0.17832,0.00021,5.48971,2e-05,0.07626,0.07624,0.00022,0.45444,9e-05,0.00779,0.0077,0.42363,0.51259,0.01724,1.0,0.98276,0.51783,0.53561,0.0,1.0,1.0,0.1621,0.48401,0.95028,7e-05,0.0,2e-05,0.00677,0.00675,0.4833,2.62,NaN,17.21,378.19,7.78,1.79,NaN,7.7,NaN,NaN,4.24,NaN,21.8,NaN,NaN,NaN,NaN,0.38
28.wcsp.dir.wcnf,404.0,7180.0,0.03203,1418.07825,732.72321,1.0,2000.0,0.05627,0.00511,0.73664,0.00014,0.01643,0.0163,0.00511,0.18247,0.00248,0.0099,0.00743,0.47385,0.90442,0.0,1.0,1.0,0.45046,0.80401,0.0,1.0,1.0,0.03203,0.90975,0.99192,0.00362,0.0,0.0,0.01128,0.01128,0.7461,NaN,NaN,901.61,NaN,1144.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,356.53,421.84,NaN,572.7,492.14,539.61
28.wcsp.log.wcnf,288.0,7122.0,0.03229,1418.07825,732.72321,1.0,2000.0,0.04044,0.01083,0.69093,0.00014,0.02598,0.02584,0.01083,0.25086,0.00347,0.01736,0.01389,0.80344,0.26081,0.0,0.99153,0.99153,0.75107,0.31765,0.0,1.0,1.0,0.02415,0.20121,0.65838,0.00014,0.0,0.00014,0.00014,0.0,0.03229,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1655.7,NaN,1184.47,1617.75,NaN
29.wcsp.dir.wcnf,139.0,711.0,0.11533,245.01219,428.80453,1.0,1000.0,0.1955,0.01394,0.72693,0.00141,0.03938,0.03797,0.01394,0.24112,0.00719,0.02878,0.02158,0.47521,0.79508,0.0,1.0,1.0,0.38889,1.01704,0.0,1.0,1.0,0.11533,0.97328,0.97328,0.0103,1.01721,0.0,0.03516,0.03516,0.77356,0.0,0.42,0.01,0.07,0.0,1.19,0.04,0.01,0.04,0.04,0.0,1.16,0.02,0.12,0.44,0.13,0.11,0.12
