Instances,feature_ EXIST_VARS,feature_ FORALL_VARS,feature_ TOTAL_VARS,feature_ CLAUSES,feature_ LITERALS,feature_ EXIST_SET,feature_ FORALL_SET,feature_ TOTAL_SET,feature_ UNARY_CLAUSES,feature_ BINARY_CLAUSES,feature_ TERNARY_MORE_CLAUSES,feature_ POS_HORN,feature_ NEG_HORN,feature_ EXIST_LIT_PER_CLAUSE,feature_ FORALL_LIT_PER_CLAUSE,feature_ EXIST_VARS_PER_SET,feature_ FORALL_POS_LITS_PER_CLAUSE,feature_ FORALL_NEG_LITS_PER_CLAUSE,feature_ OCCS_POS_NO_PER_VAR,feature_ OCCS_FORALL_NO_PER_VAR,feature_ OCCS_FORALL_POS_NO_PER_VAR,feature_ W_OCCS_POS_NO_PER_VAR,feature_ W_OCCS_FORALL_NO_PER_VAR,feature_ W_OCCS_FORALL_POS_NO_PER_VAR,feature_ W_PRODUCTS,feature_ LITN_LIT,feature_ LITEP_LIT,feature_ LITEN_LITE,feature_ LITEN_LITN,feature_ LITFN_LIT,feature_ LITFP_LITFN,feature_ OCCP_OCCN,feature_ OCCE_OCC,feature_ OCCEN_OCC,feature_ OCCFP_OCCF,feature_ OCCEN_OCCE,feature_ OCCEN_OCCN,feature_ OCCFP_OCCFN,feature_ TERMORE_CLAUSE,feature_ NEG_HORN_CLAUSE,feature_ WOCCN_WOCC,feature_ WOCCEP_WOCC,feature_ WOCCFN_WOCC,feature_ WOCCEP_WOCCE,feature_ WOCCEP_WOCCP,feature_ WOCCFN_WOCCN,algo_bcghostq,algo_brareqs,algo_cbdepqbf,algo_cghostq,algo_depqbf,algo_dual_ooq13,algo_ghostq,algo_hiqqer1,algo_hiqqer3,algo_ooq13,algo_pre_dual_ooq13,algo_rareqs,algo_sqube,algo_xbdepqbf
applications/bomb/p10-1.pddl_planlen=11,639.0,10.0,649.0,1806.0,4084.0,2.0,1.0,3.0,407.0,926.0,473.0,1454.0,759.0,2.222591,0.03876,319.5,0.022148,0.016611,1.947612,7.0,4.0,4.699538,14.0,8.0,35.989045,0.6905,0.299706,0.695067,0.989362,0.007346,1.333333,0.448227,0.998241,0.693845,0.571429,0.695067,1.004845,1.333333,0.261905,0.420266,0.616642,0.379145,0.489442,0.37999,0.989009,0.793722,0.677132,0.037482,0.403563,0.67161,0.293189,0.196216,0.626214,0.106958,0.114645,0.147493,0.23418,0.065274,0.413557,0.296115
applications/bomb/p10-1.pddl_planlen=12,694.0,10.0,704.0,1970.0,4464.0,2.0,1.0,3.0,440.0,1011.0,519.0,1583.0,825.0,2.230457,0.035533,347.0,0.020305,0.015228,1.964489,7.0,4.0,4.74858,14.0,8.0,36.485591,0.690188,0.300851,0.694356,0.990263,0.00672,1.333333,0.44888,0.998502,0.693316,0.571429,0.694356,1.004532,1.333333,0.263452,0.418782,0.616012,0.3802,0.485183,0.380925,0.990134,0.787619,0.665176,0.073058,1.22672,0.650708,0.984176,0.694754,0.83309,0.234665,0.233566,0.550923,0.719897,0.054156,0.69024,1.0075
applications/bomb/p10-1.pddl_planlen=17,969.0,10.0,979.0,2790.0,6364.0,2.0,1.0,3.0,605.0,1436.0,749.0,2228.0,1155.0,2.255914,0.02509,484.5,0.014337,0.010753,2.020429,7.0,4.0,4.911134,14.0,8.0,38.122807,0.689189,0.304525,0.692088,0.99316,0.004714,1.333333,0.45098,0.999207,0.691539,0.571429,0.692088,1.003409,1.333333,0.268459,0.413978,0.614001,0.383493,0.47158,0.383891,0.993509,0.768044,11.1468,307.696,NaN,11.0327,NaN,239.681,69.9072,NaN,NaN,NaN,NaN,0.984833,NaN,NaN
applications/bomb/p10-1.pddl_planlen=18,1024.0,10.0,1034.0,2954.0,6744.0,2.0,1.0,3.0,638.0,1521.0,795.0,2357.0,1221.0,2.259309,0.023697,512.0,0.013541,0.010156,2.028046,7.0,4.0,4.933269,14.0,8.0,38.344727,0.689057,0.305012,0.691789,0.993544,0.004448,1.333333,0.451259,0.999285,0.691294,0.571429,0.691789,1.003247,1.333333,0.269127,0.413338,0.613736,0.383919,0.469786,0.38428,0.993929,0.765453,5.47204,863.343,NaN,5.47065,NaN,56.659,68.8007,NaN,NaN,NaN,NaN,0.707481,711.85,NaN
applications/bomb/p10-1.pddl_planlen=21,1189.0,10.0,1199.0,3446.0,7884.0,2.0,1.0,3.0,737.0,1776.0,933.0,2744.0,1419.0,2.267557,0.020313,594.5,0.011608,0.008706,2.046706,7.0,4.0,4.98749,14.0,8.0,38.8873,0.688737,0.30619,0.691067,0.994475,0.003805,1.333333,0.451934,0.999457,0.690692,0.571429,0.691067,1.002839,1.333333,0.270749,0.411782,0.613095,0.384939,0.46545,0.385218,0.99492,0.759181,0.708117,0.028719,0.041822,0.68048,0.085032,0.246616,0.619029,0.110453,0.264541,0.052878,0.039837,0.66334,8.66053,0.08433
applications/bomb/p10-1.pddl_planlen=23,1299.0,10.0,1309.0,3774.0,8644.0,2.0,1.0,3.0,803.0,1946.0,1025.0,3002.0,1551.0,2.27186,0.018548,649.5,0.010599,0.007949,2.056532,7.0,4.0,5.016043,14.0,8.0,39.17244,0.68857,0.306802,0.690693,0.99496,0.003471,1.333333,0.452285,0.999538,0.690374,0.571429,0.690693,1.002619,1.333333,0.271595,0.41097,0.612762,0.385464,0.463199,0.385704,0.99542,0.755919,0.754019,0.030304,0.04768,0.735344,0.091769,0.283118,0.685749,0.12502,0.296548,0.058734,0.042192,0.711824,8.04276,0.093329
applications/bomb/p10-1.pddl_planlen=24,1354.0,10.0,1364.0,3938.0,9024.0,2.0,1.0,3.0,836.0,2031.0,1071.0,3131.0,1617.0,2.273743,0.017776,677.0,0.010157,0.007618,2.06085,7.0,4.0,5.028592,14.0,8.0,39.297637,0.688497,0.30707,0.690529,0.995171,0.003324,1.333333,0.452438,0.999571,0.690233,0.571429,0.690529,1.002521,1.333333,0.271965,0.410615,0.612617,0.385692,0.462216,0.385916,0.995636,0.754494,0.773917,0.031531,0.045962,0.74841,0.179362,0.297107,0.697562,0.108092,0.310072,0.061271,0.049225,0.734952,13.6322,0.073486
applications/bomb/p10-1.pddl_planlen=25,1409.0,10.0,1419.0,4102.0,9404.0,2.0,1.0,3.0,869.0,2116.0,1117.0,3260.0,1683.0,2.275475,0.017065,704.5,0.009751,0.007314,2.064834,7.0,4.0,5.040169,14.0,8.0,39.413059,0.68843,0.307316,0.690379,0.995366,0.00319,1.333333,0.45258,0.999601,0.690104,0.571429,0.690379,1.00243,1.333333,0.272306,0.410288,0.612484,0.385901,0.461313,0.386111,0.995832,0.753185,0.806592,0.032481,0.047497,0.763749,0.091628,0.311685,0.734607,0.102487,0.358768,0.062718,0.050767,0.76916,0.553413,0.078512
applications/bomb/p10-1.pddl_planlen=26,1464.0,10.0,1474.0,4266.0,9784.0,2.0,1.0,3.0,902.0,2201.0,1163.0,3389.0,1749.0,2.277075,0.016409,732.0,0.009376,0.007032,2.068521,7.0,4.0,5.050882,14.0,8.0,39.519809,0.688369,0.307543,0.690241,0.995546,0.003066,1.333333,0.45271,0.999627,0.689984,0.571429,0.690241,1.002346,1.333333,0.272621,0.409986,0.612361,0.386093,0.460481,0.38629,0.996012,0.751977,0.848444,0.033494,0.040741,0.824978,0.192916,0.35514,0.767943,0.13431,0.390043,0.064997,0.049405,0.791035,0.666244,0.082539
applications/bomb/p10-1.pddl_planlen=28,1574.0,10.0,1584.0,4594.0,10544.0,2.0,1.0,3.0,968.0,2371.0,1255.0,3647.0,1881.0,2.27993,0.015237,787.0,0.008707,0.00653,2.075126,7.0,4.0,5.070076,14.0,8.0,39.710928,0.688259,0.307948,0.689994,0.995866,0.002845,1.333333,0.452942,0.999672,0.689768,0.571429,0.689994,1.002193,1.333333,0.273182,0.409447,0.612141,0.386435,0.458997,0.386609,0.996329,0.749822,0.914806,0.028315,0.051666,0.885499,0.205656,0.393028,0.821203,0.123974,0.415801,0.071068,0.054545,0.857955,0.093262,0.091588
