Instances,feature_ nvarsOrig,feature_ nclausesOrig,feature_ nvars,feature_ nclauses,feature_ reducedVars,feature_ reducedClauses,feature_ Prefeaturetime,feature_ varsclausesratio,feature_ POSNEGRATIOCLAUSEmean,feature_ POSNEGRATIOCLAUSEcoeffvariation,feature_ POSNEGRATIOCLAUSEmin,feature_ POSNEGRATIOCLAUSEmax,feature_ POSNEGRATIOCLAUSEentropy,feature_ VCGCLAUSEmean,feature_ VCGCLAUSEcoeffvariation,feature_ VCGCLAUSEmin,feature_ VCGCLAUSEmax,feature_ VCGCLAUSEentropy,feature_ UNARY,feature_ BINARY+,feature_ TRINARY+,feature_ Basicfeaturetime,feature_ VCGVARmean,feature_ VCGVARcoeffvariation,feature_ VCGVARmin,feature_ VCGVARmax,feature_ VCGVARentropy,feature_ POSNEGRATIOVARmean,feature_ POSNEGRATIOVARstdev,feature_ POSNEGRATIOVARmin,feature_ POSNEGRATIOVARmax,feature_ POSNEGRATIOVARentropy,feature_ HORNYVARmean,feature_ HORNYVARcoeffvariation,feature_ HORNYVARmin,feature_ HORNYVARmax,feature_ HORNYVARentropy,feature_ hornclausesfraction,feature_ VGmean,feature_ VGcoeffvariation,feature_ VGmin,feature_ VGmax,feature_ KLBfeaturetime,feature_ CGmean,feature_ CGcoeffvariation,feature_ CGmin,feature_ CGmax,feature_ CGentropy,feature_ clustercoeffmean,feature_ clustercoeffcoeffvariation,feature_ clustercoeffmin,feature_ clustercoeffmax,feature_ clustercoeffentropy,feature_ CGfeaturetime,algo_abcdSAT,algo_minisat_BCD,algo_or-tools,algo_GlueMiniSat_2.2.10,algo_CCAglucose2015,algo_multi-sat-g2_0,algo_multi-sat-g2_2,algo_ratselfax_cnf_215_final,algo_BreakIDGlucose2,algo_Lingeling_sr15bal,algo_Lingeling_sr15baq,algo_GlueMiniSat_2.2.10-5,algo_glucose-default,algo_glueminisat-Actmini,algo_riss_505_2,algo_riss_505_1,algo_Glucose_nbSatRsltn,algo_Nigma-1.2.86,algo_Nigma-1.2.87,algo_Glucose_nbSat,algo_COMiniSatPS_Main_Sequence,algo_COMiniSatPS_Subdwarf,algo_satUZK-seq,algo_ADS-cryptominisat,algo_ADS-cryptominisat-autotune,algo_ADS-dccaSatToRiss,algo_ADS-glucose-adapt,algo_ADS-glucose-community-switching
002-80-12.cnf,13408.0,478488.0,12701.0,307271.0,0.055664908,0.557218221,0.6,0.041334848,0.375447991,0.589576128,0.0,1.0,2.190191543,0.000453158,0.201277531,0.000157468,0.001574679,1.444064777,0.0,0.001158586,0.038073883,0.04,0.000453158,0.43993018,5.2071e-05,0.000881958,3.717319408,0.117466706,0.0684204,0.0,0.672727273,2.813879478,7.3751e-05,0.497450974,6.509e-06,0.000188758,3.281792079,0.193614106,6.3609e-05,0.419276748,1.6272e-05,0.000123669,0.24,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,1086.12,731.567,NaN,1576.35,1639.37,1698.39,1052.07,NaN,1373.62,790.257,1554.35,1490.4,1360.67,1917.03,1362.82,2079.42,1352.83,806.516,810.294,1091.73,971.402,1225.75,NaN,1289.13,1687.65,NaN,933.653,3427.35
002-80-4.cnf,13408.0,478480.0,12703.0,307362.0,0.055498701,0.556731151,0.66,0.041329117,0.375392467,0.589368533,0.0,1.0,2.190122854,0.000453143,0.201203907,0.000157443,0.001574431,1.443771955,0.0,0.001102934,0.037948738,0.04,0.000453143,0.439697914,4.5549e-05,0.000881697,3.714047469,0.11744557,0.068528818,0.0,0.672727273,2.814368285,7.3699e-05,0.497643504,3.253e-06,0.000188703,3.283719684,0.193481953,6.3536e-05,0.417922517,1.6267e-05,0.000120379,0.32,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,220.398,177.983,1531.45,537.844,785.019,163.038,380.0,NaN,264.601,60.4204,220.372,527.708,267.098,255.586,478.258,707.299,357.411,221.466,230.05,71.4564,385.859,183.004,912.591,140.619,231.455,3100.81,267.726,730.35
002-80-8.cnf,13408.0,478484.0,12702.0,307158.0,0.055581798,0.557778082,0.62,0.04135331,0.375457131,0.589527845,0.0,1.0,2.190413172,0.000453105,0.2012753,0.000157456,0.001574555,1.444209512,0.0,0.001126456,0.038061844,0.02,0.000453105,0.440278166,2.6045e-05,0.000882282,3.723821403,0.117427008,0.068495791,0.0,0.672727273,2.813957379,7.3727e-05,0.497987747,3.256e-06,0.000188828,3.285256094,0.193574642,6.3608e-05,0.419094572,1.6278e-05,0.000130226,0.26,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,663.563,366.564,1003.06,353.525,1362.03,335.871,986.058,NaN,972.322,462.759,548.7,363.613,978.887,855.776,1062.93,804.399,421.806,761.698,788.779,537.684,571.203,447.743,1673.26,266.705,566.291,3285.17,770.371,1635.85
003-80-8.cnf,13408.0,478484.0,12700.0,307161.0,0.055748031,0.557762867,0.66,0.041346395,0.37547051,0.589531393,0.0,1.0,2.18998863,0.000453171,0.201237775,0.00015748,0.001574803,1.443919389,0.0,0.001103656,0.03804845,0.04,0.000453171,0.440173917,2.6045e-05,0.000882273,3.719604253,0.117440869,0.068640282,0.0,0.672727273,2.815424822,7.3721e-05,0.497679442,3.256e-06,0.000188826,3.284511103,0.193530429,6.3564e-05,0.418147955,1.6278e-05,0.000130225,0.28,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,715.135,422.083,NaN,1104.57,881.517,991.574,955.552,NaN,792.846,416.677,535.594,1167.25,780.548,743.884,1203.0,255.747,202.232,665.486,637.521,461.683,604.945,398.747,NaN,270.865,551.778,NaN,711.673,1418.98
004-80-8.cnf,13408.0,478484.0,12706.0,307403.0,0.055249488,0.556536533,0.64,0.041333364,0.375440424,0.589434573,0.0,1.0,2.190435338,0.000453034,0.201327418,0.000157406,0.001574059,1.444316231,0.0,0.001135317,0.037998979,0.04,0.000453034,0.439993836,2.6024e-05,0.000881579,3.719650623,0.117515262,0.068585346,0.0,0.672727273,2.814011938,7.3701e-05,0.497830122,3.253e-06,0.000188677,3.282513836,0.193540727,6.3681e-05,0.420668611,1.6265e-05,0.000139882,0.28,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,307.364,182.657,2015.32,1057.58,847.73,584.195,911.888,NaN,876.277,587.367,284.896,1038.02,906.085,958.246,820.802,1072.17,883.984,487.816,480.939,967.681,358.823,159.109,2526.41,142.652,580.824,3157.99,775.12,1858.53
005-80-12.cnf,13408.0,478488.0,12701.0,307265.0,0.055664908,0.557248629,0.6,0.041335655,0.375467782,0.589605958,0.0,1.0,2.189775839,0.000453151,0.201208404,0.000157468,0.001102275,1.443605422,0.0,0.001129318,0.038061608,0.04,0.000453151,0.439955426,3.9054e-05,0.000881975,3.714489086,0.117450989,0.068599409,0.0,0.672727273,2.813350324,7.3724e-05,0.497324673,6.509e-06,0.000188762,3.281839884,0.193543033,6.3503e-05,0.418343534,1.6273e-05,0.000139944,0.24,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,1037.03,672.896,NaN,2069.7,1807.42,1923.91,1386.38,NaN,2339.88,501.396,799.515,2064.65,2366.64,900.885,1756.94,1142.3,964.681,983.672,857.151,1192.93,1117.21,977.733,NaN,336.558,1188.44,NaN,1164.93,2267.63
007-80-12.cnf,13408.0,478488.0,12703.0,307309.0,0.055498701,0.557025665,0.64,0.041336245,0.375449933,0.589590458,0.0,1.0,2.190145409,0.000453077,0.201257257,0.000157443,0.001259545,1.443975418,0.0,0.001148681,0.038078937,0.04,0.000453077,0.44003828,3.2541e-05,0.000881849,3.716499791,0.117482351,0.068491552,0.0,0.672727273,2.813337407,7.3722e-05,0.497440406,6.508e-06,0.000188735,3.282735022,0.193599927,6.359e-05,0.418147865,1.627e-05,0.000123654,0.28,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,904.608,413.272,NaN,1633.28,1832.1,1951.18,727.518,NaN,1328.71,1738.8,789.794,1661.91,1298.74,1033.03,1533.78,1610.65,297.531,1083.96,1036.53,876.898,1169.63,580.578,NaN,506.221,711.181,NaN,942.498,3500.12
007-80-8.cnf,13408.0,478484.0,12704.0,307387.0,0.055415617,0.556617554,0.58,0.041329009,0.375392507,0.589415475,0.0,1.0,2.190268412,0.0004531,0.201278898,0.000157431,0.001574307,1.444233682,0.0,0.001148389,0.037978184,0.02,0.0004531,0.43980893,4.5545e-05,0.000881625,3.716710686,0.117477912,0.06870241,0.0,0.714285714,2.812406799,7.3703e-05,0.497554673,6.506e-06,0.000188687,3.28188523,0.193521522,6.361e-05,0.419637157,1.6266e-05,0.000130129,0.26,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,752.39,239.376,NaN,1042.13,1408.19,795.073,931.97,NaN,836.869,489.378,276.947,NaN,835.611,811.357,913.606,659.778,687.333,787.531,792.751,886.933,1053.71,638.859,1791.61,104.28,482.547,3014.82,563.392,1820.79
008-80-12.cnf,13408.0,478488.0,12701.0,307077.0,0.055664908,0.558202014,0.6,0.041360962,0.375427191,0.589560927,0.0,1.0,2.190297792,0.000453092,0.201326111,0.000157468,0.001181009,1.444576627,0.0,0.001133266,0.038195632,0.04,0.000453092,0.440515267,3.2565e-05,0.000882515,3.726860046,0.117396328,0.068523692,0.0,0.672727273,2.81907294,7.374e-05,0.497307309,6.513e-06,0.000188878,3.280526651,0.19361919,6.3672e-05,0.418404573,1.6283e-05,0.000123747,0.26,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,1005.66,465.337,NaN,1324.74,1510.72,1510.29,1411.35,NaN,934.618,1715.41,993.507,1347.23,965.765,949.035,1333.14,1927.23,2525.34,896.719,903.382,1321.84,778.809,1211.02,NaN,584.16,1080.68,NaN,996.817,3101.09
008-80-4.cnf,13408.0,478480.0,12703.0,307376.0,0.055498701,0.556660247,0.58,0.041327234,0.375466743,0.589475103,0.0,1.0,2.190533099,0.00045317,0.20133845,0.000157443,0.001574431,1.444309361,0.0,0.00109963,0.037937249,0.04,0.00045317,0.439762102,5.2054e-05,0.000881656,3.717702136,0.117475237,0.068448923,0.0,0.672727273,2.812320999,7.3713e-05,0.497689167,3.253e-06,0.000188694,3.28084143,0.193495914,6.3749e-05,0.423749303,1.6267e-05,0.000159414,0.24,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,20.02,184.056,152.296,1992.18,663.651,777.572,288.614,188.611,NaN,354.805,267.539,272.811,608.58,374.102,397.185,578.349,590.255,125.864,75.0265,68.9679,200.247,240.751,172.041,911.937,208.407,220.787,3121.14,77.9901,774.121
