Instances,feature_ nvarsOrig,feature_ nclausesOrig,feature_ nvars,feature_ nclauses,feature_ reducedVars,feature_ reducedClauses,feature_ vars.clauses.ratio,feature_ POSNEG.RATIO.CLAUSE.mean,feature_ POSNEG.RATIO.CLAUSE.coeff.variation,feature_ POSNEG.RATIO.CLAUSE.min,feature_ POSNEG.RATIO.CLAUSE.max,feature_ POSNEG.RATIO.CLAUSE.entropy,feature_ VCG.CLAUSE.mean,feature_ VCG.CLAUSE.coeff.variation,feature_ VCG.CLAUSE.min,feature_ VCG.CLAUSE.max,feature_ VCG.CLAUSE.entropy,feature_ UNARY,feature_ BINARY.,feature_ TRINARY.,feature_ VCG.VAR.mean,feature_ VCG.VAR.coeff.variation,feature_ VCG.VAR.min,feature_ VCG.VAR.max,feature_ VCG.VAR.entropy,feature_ POSNEG.RATIO.VAR.mean,feature_ POSNEG.RATIO.VAR.stdev,feature_ POSNEG.RATIO.VAR.min,feature_ POSNEG.RATIO.VAR.max,feature_ POSNEG.RATIO.VAR.entropy,feature_ HORNY.VAR.mean,feature_ HORNY.VAR.coeff.variation,feature_ HORNY.VAR.min,feature_ HORNY.VAR.max,feature_ HORNY.VAR.entropy,feature_ horn.clauses.fraction,feature_ VG.mean,feature_ VG.coeff.variation,feature_ VG.min,feature_ VG.max,feature_ CG.mean,feature_ CG.coeff.variation,feature_ CG.min,feature_ CG.max,feature_ CG.entropy,feature_ cluster.coeff.mean,feature_ cluster.coeff.coeff.variation,feature_ cluster.coeff.min,feature_ cluster.coeff.max,feature_ cluster.coeff.entropy,algo_abcdsat_r18,algo_CaDiCaL,algo_Candy,algo_cms55-main-all4fixed,algo_COMiniSatPS_Pulsar_drup,algo_expGlucose,algo_expMC_LRB_VSIDS_Switch,algo_expMC_LRB_VSIDS_Switch_2500,algo_expMC_VSIDS_LRB_Switch_2500,algo_GHackCOMSPS_drup,algo_glu_mix,algo_Glucose_Hack_Kiel_fastBVE,algo_glucose-3.0_PADC_10,algo_glucose-3.0_PADC_3,algo_glucose3.0,algo_glucose4.2.1,algo_gluHack,algo_inIDGlucose,algo_Lingeling,algo_Maple_CM,algo_Maple_CM_Dist,algo_Maple_CM_ordUIP,algo_Maple_CM_ordUIP+,algo_Maple_LCM_M1,algo_Maple_LCM_Scavel_200_fix2,algo_Maple_LCM_Scavel_fix2,algo_Maple_LCM+BCrestart,algo_Maple_LCM+BCrestart_M1,algo_MapleCOMSPS_CHB_VSIDS_drup,algo_MapleCOMSPS_LRB_VSIDS_2_fix,algo_MapleCOMSPS_LRB_VSIDS_drup,algo_MapleLCMDistChronoBT,algo_Minisat-v2.2.0-106-ge2dd095,algo_Riss7.1-fix,algo_smallsat,algo_Sparrow2Riss-2018-fixfix,algo_YalSAT
sat/10-3-13.cnf.bz2,29772.0,922204.0,25844.0,902609.0,0.151988856,0.021709289,0.028632553,0.3591254,0.477360674,0.0,1.0,0.38316621,0.00011339,0.267347292,7.7387e-05,0.001006036,0.328468871,0.0,0.095114274,0.998514307,0.00011339,1.696284972,1.108e-06,0.001651878,2.476046355,0.13996099,0.172669043,0.0,1.0,1.769651174,0.000110294,1.736683245,0.0,0.001641907,2.238015638,0.98181937,0.000136684,2.316128099,6.647e-06,0.002459537,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,641.1024051,NaN,NaN,2709.617786,NaN,NaN,NaN,1799.760677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2581.476053,NaN,NaN,NaN,NaN,3451.663835,NaN,NaN,NaN,NaN,1456.184481,NaN,NaN
sat/10-4-10.cnf.bz2,80316.0,2670467.0,68908.0,2627367.0,0.165554072,0.016404256,0.026227017,0.349916445,0.441865218,0.0,1.0,0.346316541,4.2583e-05,0.259162922,2.9024e-05,0.000507924,0.294091202,0.0,0.083219817,0.999279507,4.2583e-05,2.469653538,3.81e-07,0.001247256,2.374566438,0.104325187,0.158067397,0.0,1.0,1.607597894,4.1523e-05,2.529826353,0.0,0.001246495,2.152316417,0.981466997,5.3155e-05,3.420234261,9.135e-06,0.001982213,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sat/1mod8.rules.7-7.cnf.bz2,146804.0,957859.0,129317.0,935370.0,0.13522584,0.024042892,0.138252242,0.289773012,0.865942125,0.0,1.0,0.916420741,2.0598e-05,0.200785818,1.5466e-05,6.9596e-05,0.735445087,0.0,0.358661278,0.985377979,2.0598e-05,3.49444602,6.415e-06,0.001278638,2.231275116,0.145301557,0.124902158,0.0,0.8,2.357331918,1.2998e-05,3.451133669,3.207e-06,0.000778302,1.963549817,0.679825096,2.1976e-05,3.619572515,5.345e-06,0.00154912,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
sat/20180321_110704973_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.511309524,0.576785068,0.333333333,1.0,0.580216017,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0.0,0.090909091,0.6393633,0.004729353,0.27129343,0.001785714,0.008035714,1.742100956,0.504464286,0.01875,0.061167774,0.017857143,0.021428571,0.014072066,0.046666511,0.013392857,0.016071429,1.058035797,0.119550945,0.042808721,0.105263158,0.125,0.750891527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,511.6816471,NaN,NaN,1001.539583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.483798981
sat/20180321_110706599_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.502380952,0.577324333,0.333333333,1.0,0.566224853,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.059285236,0.008928571,0.010714286,0.87285658,0.032954545,0.04370201,0.0,0.090909091,0.654843055,0.004762835,0.270692739,0.001785714,0.008928571,1.772900173,0.508035714,0.01875,0.059285236,0.017857143,0.021428571,0.014065689,0.047304468,0.013392857,0.016071429,1.065249586,0.119607728,0.043323711,0.105263158,0.125,0.75800848,NaN,NaN,NaN,NaN,NaN,638.2424459,NaN,NaN,67.71198201,NaN,NaN,NaN,1108.219597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3215.741081,446.2493038,1204.635284,NaN,2598.642113,NaN,NaN,449.742533,NaN,NaN,NaN,0.023483038
sat/20180321_110707239_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.514880952,0.576384929,0.333333333,1.0,0.585554139,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.058805186,0.008928571,0.010714286,0.868934372,0.033522727,0.043860545,0.0,0.090909091,0.658287057,0.004662388,0.296914502,0.000892857,0.008035714,1.845943735,0.497321429,0.01875,0.058805186,0.017857143,0.021428571,0.014064094,0.047877305,0.013392857,0.016071429,1.072769948,0.119625964,0.043822005,0.105263158,0.125,0.760437579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1142.011101,NaN,NaN,NaN,NaN,1555.532447,NaN,NaN,NaN,59.49991202
sat/20180321_140823961_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.49047619,0.576914739,0.333333333,1.0,0.546089317,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.0,0.090909091,0.630581028,0.0046875,0.301169301,0.000892857,0.008035714,1.859517213,0.5,0.01875,0.062087642,0.017857143,0.021428571,0.014075255,0.047111898,0.013392857,0.016071429,1.066454848,0.119530021,0.043257421,0.105263158,0.125,0.746100818,4434.477546,NaN,NaN,2552.888174,112.5460429,NaN,NaN,NaN,NaN,NaN,2956.25714,NaN,242.1208498,NaN,NaN,822.5826962,NaN,NaN,NaN,NaN,NaN,2646.601171,NaN,NaN,NaN,4199.900892,103.379791,NaN,NaN,NaN,NaN,NaN,3126.153836,NaN,NaN,NaN,0.072888851
sat/20180321_140824282_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.500595238,0.577348637,0.333333333,1.0,0.563313924,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.06023386,0.008928571,0.010714286,0.879904293,0.031818182,0.043360873,0.0,0.090909091,0.647446639,0.004503348,0.285035826,0.000892857,0.008035714,1.773645064,0.480357143,0.01875,0.06023386,0.017857143,0.021428571,0.014068878,0.047139793,0.013392857,0.016071429,1.064584538,0.119580968,0.043233434,0.105263158,0.125,0.750854886,NaN,NaN,NaN,NaN,415.330045,NaN,NaN,NaN,NaN,NaN,4581.321195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,110.5374339,NaN,108.9470279,97.73952889,NaN,NaN,NaN,NaN,NaN,NaN,2272.009743,NaN,NaN,NaN,NaN,NaN,NaN,0.212473154
sat/20180321_140826713_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.507738095,0.577082007,0.333333333,1.0,0.574731235,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004637277,0.274829662,0.000892857,0.008035714,1.763489352,0.494642857,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.047521805,0.013392857,0.016071429,1.071860237,0.119520807,0.043545811,0.105263158,0.125,0.758701575,1543.033786,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2878.572556,NaN,NaN,576.670754,NaN,NaN,NaN,NaN,3899.733683,1923.646809,NaN,NaN,NaN,NaN,NaN,3290.965131,NaN,NaN,NaN,0.051163912
sat/20180321_140827428_p_cnf_320_1120.cnf.bz2,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.486904762,0.57651443,0.333333333,1.0,0.539707521,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062542503,0.008928571,0.010714286,0.893042896,0.028977273,0.042362899,0.0,0.090909091,0.62592365,0.004662388,0.273194131,0.000892857,0.008035714,1.764271536,0.497321429,0.01875,0.062542503,0.017857143,0.021428571,0.014076849,0.048642385,0.013392857,0.016071429,1.086327148,0.119531288,0.044459608,0.105263158,0.125,0.77374382,NaN,NaN,NaN,NaN,NaN,4701.411631,NaN,NaN,3699.326569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1368.547285,NaN,1688.074489,1344.891623,NaN,NaN,NaN,140.8694041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.026908159
