Instances,feature_ DIAMETERmean,feature_ DIAMETERcoeffvariation,feature_ DIAMETERmin,feature_ DIAMETERmax,feature_ DIAMETERentropy,feature_ LOBJOISlobjoismeandepthovervars,feature_ LOBJOISlobjoislognumnodesovervars,feature_ BASEnvarsOrig,feature_ BASEnclausesOrig,feature_ BASEnvars,feature_ BASEnclauses,feature_ BASEreducedVars,feature_ BASEreducedClauses,feature_ BASEvarsclausesratio,feature_ BASEPOSNEGRATIOCLAUSEmean,feature_ BASEPOSNEGRATIOCLAUSEcoeffvariation,feature_ BASEPOSNEGRATIOCLAUSEmin,feature_ BASEPOSNEGRATIOCLAUSEmax,feature_ BASEPOSNEGRATIOCLAUSEentropy,feature_ BASEVCGCLAUSEmean,feature_ BASEVCGCLAUSEcoeffvariation,feature_ BASEVCGCLAUSEmin,feature_ BASEVCGCLAUSEmax,feature_ BASEVCGCLAUSEentropy,feature_ BASEUNARY,feature_ BASEBINARY+,feature_ BASETRINARY+,feature_ BASEVCGVARmean,feature_ BASEVCGVARcoeffvariation,feature_ BASEVCGVARmin,feature_ BASEVCGVARmax,feature_ BASEVCGVARentropy,feature_ BASEPOSNEGRATIOVARmean,feature_ BASEPOSNEGRATIOVARstdev,feature_ BASEPOSNEGRATIOVARmin,feature_ BASEPOSNEGRATIOVARmax,feature_ BASEPOSNEGRATIOVARentropy,feature_ BASEHORNYVARmean,feature_ BASEHORNYVARcoeffvariation,feature_ BASEHORNYVARmin,feature_ BASEHORNYVARmax,feature_ BASEHORNYVARentropy,feature_ BASEhornclausesfraction,feature_ BASEVGmean,feature_ BASEVGcoeffvariation,feature_ BASEVGmin,feature_ BASEVGmax,feature_ BASECGmean,feature_ BASECGcoeffvariation,feature_ BASECGmin,feature_ BASECGmax,feature_ BASECGentropy,feature_ BASEclustercoeffmean,feature_ BASEclustercoeffcoeffvariation,feature_ BASEclustercoeffmin,feature_ BASEclustercoeffmax,feature_ BASEclustercoeffentropy,feature_ UNITvarsreduceddepth1,feature_ UNITvarsreduceddepth4,feature_ UNITvarsreduceddepth16,feature_ UNITvarsreduceddepth64,feature_ UNITvarsreduceddepth256,feature_ SPbiasmean,feature_ SPbiascoeffvariation,feature_ SPbiasmin,feature_ SPbiasmax,feature_ SPbiasq90,feature_ SPbiasq10,feature_ SPbiasq75,feature_ SPbiasq25,feature_ SPbiasq50,feature_ SPunconstraintmean,feature_ SPunconstraintcoeffvariation,feature_ SPunconstraintmin,feature_ SPunconstraintmax,feature_ SPunconstraintq90,feature_ SPunconstraintq10,feature_ SPunconstraintq75,feature_ SPunconstraintq25,feature_ SPunconstraintq50,feature_ LSsaps_BestSolution_Mean,feature_ LSsaps_BestSolution_CoeffVariance,feature_ LSsaps_FirstLocalMinStep_Mean,feature_ LSsaps_FirstLocalMinStep_CoeffVariance,feature_ LSsaps_FirstLocalMinStep_Median,feature_ LSsaps_FirstLocalMinStep_Q.10,feature_ LSsaps_FirstLocalMinStep_Q.90,feature_ LSsaps_BestAvgImprovement_Mean,feature_ LSsaps_BestAvgImprovement_CoeffVariance,feature_ LSsaps_FirstLocalMinRatio_Mean,feature_ LSsaps_FirstLocalMinRatio_CoeffVariance,feature_ LSgsat_BestSolution_Mean,feature_ LSgsat_BestSolution_CoeffVariance,feature_ LSgsat_FirstLocalMinStep_Mean,feature_ LSgsat_FirstLocalMinStep_CoeffVariance,feature_ LSgsat_FirstLocalMinStep_Median,feature_ LSgsat_FirstLocalMinStep_Q.10,feature_ LSgsat_FirstLocalMinStep_Q.90,feature_ LSgsat_BestAvgImprovement_Mean,feature_ LSgsat_BestAvgImprovement_CoeffVariance,feature_ LSgsat_FirstLocalMinRatio_Mean,feature_ LSgsat_FirstLocalMinRatio_CoeffVariance,feature_ LP_OBJ,feature_ LPSLackmean,feature_ LPSLackcoeffvariation,feature_ LPSLackmin,feature_ LPSLackmax,feature_ LPlpIntRatio,algo_CTSat+default,algo_CTSat_noproof+default,algo_CaDiCaL-sc2020+default,algo_DurianSat+default,algo_ExMapleLCMDistChronoBT+PADC_DL,algo_ExMapleLCMDistChronoBT+PADC_DL_OVAU_Exp,algo_ExMapleLCMDistChronoBT+PADC_DL_OVAU_Lin,algo_ExMapleLCMDistChronoBT+PSIDS_DL,algo_GlucoseEsbpSel+default,algo_Kissat-sc2020-default+default,algo_Kissat-sc2020-sat+default,algo_Kissat-sc2020-unsat+default,algo_MLCMDCHRONOBT-DL-V2.2SCAVELRFV+default,algo_MLCMDChronoBT-DL-Scavel+default,algo_Maple-LCM-Dist-alluip-trail+default,algo_MapleCOMSPS_LRB_VSIDS_2+LRB_VSIDS_2_init,algo_MapleCOMSPS_LRB_VSIDS_2+default_drup,algo_MapleLCMDistChronoBT-DL-Scavel01+default,algo_MapleLCMDistChronoBT-DL-Scavel02+default,algo_MapleLCMDistChronoBT-DL-f2trc+default,algo_MapleLCMDistChronoBT-DL-v3+default,algo_MapleLCMDistChronoBT-f2trc+default,algo_MapleLCMDistChronoBT-f2trc-s+default,algo_Maple_CM+dist+default,algo_Maple_CM+dist+sattime2s+-+default,algo_Maple_CM+dist+simp2--+default,algo_Maple_CMused+dist+default,algo_Maple_mix+default,algo_Maple_simp+default,algo_ParaFROST+default,algo_ParaFROST_ALL+default,algo_ParaFROST_CBT+default,algo_ParaFROST_HRE+default,algo_PauSat+default,algo_PauSat_noproof+default,algo_PauSat_noproof+noproof,algo_Relaxed_LCMDCBDL+default,algo_Relaxed_LCMDCBDL_newTech+default,algo_Relaxed_LCMDCBDL_noTimePara+default,algo_Riss+NOUNSAT_proof-fixed,algo_Riss+default_proof,algo_Riss-nolimit+NOLIMIT,algo_SLIME+default,algo_SLIME+default-no-drup,algo_Top16-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Top24-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Top36-Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_Undominated-LC-MapleLCMDiscChronoBT-DL+default,algo_abcdsat_n20+default,algo_cadical-alluip+default,algo_cadical-alluip-trail+default,algo_cadical-trail+default,algo_cryptominisat-ccnr+default,algo_cryptominisat-ccnr-lsids+default,algo_cryptominisat-ccnr-lsids-nolimits+default,algo_cryptominisat-ccnr-nolimits+default,algo_cryptominisat-walksat+default,algo_cryptominisat-walksat-nolimits+default,algo_exp_L_MLD_CBT_DL+default,algo_exp_V_LGB_MLD_CBT_DL+default,algo_exp_V_L_MLD_CBT_DL+default,algo_exp_V_MLD_CBT_DL+default,algo_glucose-3.0-inprocess+default,algo_glucose3.0+proofs,algo_mergesat+default,algo_optsat_m20+default,algo_upGlucose-3.0_PADC+default
009-80-8.cnf,9.593128391,0.051208587,9.0,10.0,0.675699676,0.073765932,0.169789167,13408.0,478484.0,12701.0,307256.0,0.055664908,0.557281225,0.041336866,0.375397478,0.589363625,0.0,1.0,2.189575783,0.000453159,0.201165995,0.000157468,0.001338477,1.443282025,0.0,0.001106569,0.038010649,0.000453159,0.439840424,5.2074e-05,0.000882001,3.714764592,0.117447919,0.0685981,0.0,0.672727273,2.814535831,7.3736e-05,0.497023385,6.509e-06,0.000188768,3.279493095,0.193571484,6.3461e-05,0.416978102,1.6273e-05,0.000107402,-1.0,0.0,-1.0,0.0,-512.0,-1.0,0.0,-1.0,0.0,0.0,7.8734e-05,0.000157468,0.00039367,0.001181009,0.002125817,0.192553819,0.567042933,2.1239e-05,0.86418786,0.327840643,0.064546998,0.275007107,0.106977368,0.168464749,0.010984423,1.385441791,2.3807e-05,0.216225797,0.02808607,4.9654e-05,0.013842828,0.000622435,0.0071533,940.166666667,0.470680123,1930.0,0.315465952,2104.0,2037.0,2127.0,1.050733876,0.726998123,0.905466673,0.173270731,853.846153846,0.35361866,1947.07692308,0.300776023,2105.0,2061.0,2138.0,0.380074046,2.122295255,0.890664065,0.133873411,-512.0,0.0,0.0,0.0,0.0,0.0,599.774,586.031,2597.58,411.037,643.21,297.273,998.299,402.925,801.6,365.578,1823.14,957.231,800.903,387.634,663.579,234.733,55.0479,953.268,105.971,650.115,754.827,883.452,622.263,311.493,725.008,605.158,640.075,859.203,596.955,3420.18,NaN,1642.15,NaN,NaN,NaN,NaN,781.582,633.404,754.726,1020.82,1307.65,1013.94,361.515,448.431,1752.01,1756.85,1758.38,666.358,521.294,1197.24,1198.07,1333.1,238.386,2227.49,1213.3,986.383,1558.64,3032.7,710.866,675.969,711.937,386.214,842.147,1018.85,339.623,614.444,572.259
01-integer-programming-20-30-40.cnf,27.590163934,0.033061029,27.0,30.0,0.989545054,0.003423778,0.067033741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,0.0,0.026164601,0.150371873,0.300754014,0.799974477,1.738e-06,0.99388555,0.653049084,0.034704727,0.501057007,0.086727145,0.242981371,0.053297571,0.295569633,0.0,0.118103429,0.076203423,0.03815482,0.055963328,0.044807871,0.05340573,316705.0,0.0,0.0,0.0,0.0,0.0,0.0,4.08776699,0.0,31.087877636,0.0,211921.0,0.0,0.0,0.0,0.0,0.0,0.0,3.01159308,0.0,2.816896578,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1732.65,NaN,NaN,NaN,NaN,NaN,NaN,2455.28,1446.7,3882.07,4833.23,NaN,NaN,1156.87,NaN,NaN,NaN,1792.32,NaN,2714.89,4584.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1310.72,NaN,NaN,NaN,4750.64,NaN,NaN,NaN,NaN,NaN,NaN,2210.74,2215.07,1154.36,4061.36,NaN,1534.24,1401.51,NaN,1372.26,NaN,NaN,NaN,NaN,NaN,NaN,2890.72,4640.78,NaN
01-integer-programming-5-10-100.cnf,18.539432177,0.11142531,15.0,23.0,2.057304853,0.005769039,0.071083668,93547.0,362222.0,38511.0,163419.0,1.42909818,1.216523171,0.235658032,0.348112113,0.806076531,0.0,1.0,1.293450942,7.9054e-05,0.249776333,5.1933e-05,0.002596661,1.063457559,0.0,0.236539203,0.722474131,7.9054e-05,0.337781287,3.6715e-05,0.000422228,2.216853595,0.071277204,0.089373968,0.0,0.454545455,1.601282771,4.0058e-05,0.411782094,1.2238e-05,0.000422228,1.567321785,0.556428567,3.4911e-05,1.084693491,1.8358e-05,0.000813859,0.000101537,0.549587906,3.0596e-05,0.015757042,3.109986145,0.403490218,0.217557089,0.000785141,0.690909091,3.299528032,0.000103866,0.000129833,0.008750747,0.051024383,0.157773104,0.250119809,0.946891734,3.9e-08,0.856338921,0.635093394,0.009825996,0.482107865,0.044413035,0.125140561,0.039125201,0.30893897,0.0,0.106626745,0.053624677,0.025295808,0.046906691,0.029812817,0.038351195,1200.0,0.0,7651.0,0.0,7651.0,7651.0,7651.0,0.418459185,0.0,0.739609203,0.0,3201.8,0.635977956,7626.0,0.013062123,7650.0,7506.0,7689.0,0.563829782,1.437842562,0.818917141,0.120254363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
170055892.cnf,4.0,0.0,4.0,4.0,0.0,0.41175198,0.64628829,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.496428571,0.577290502,0.333333333,1.0,0.556372822,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061167774,0.008928571,0.010714286,0.885916109,0.030681818,0.042987001,0.0,0.090909091,0.6393633,0.004628906,0.268080768,0.000892857,0.008928571,1.73145337,0.49375,0.01875,0.061167774,0.017857143,0.021428571,0.014072066,0.047126387,0.013392857,0.016071429,1.065625475,0.119555552,0.043256172,0.105263158,0.125,0.747032922,0.0,0.0,0.015625,0.35625,0.35625,0.097779462,0.869334991,0.000279714,0.296479747,0.228206856,0.012176643,0.178056097,0.026348727,0.062490782,0.076374184,0.135715638,0.048137101,0.099418816,0.088580567,0.062189399,0.084411441,0.068878384,0.077561977,14.192672817,0.2484084,63.292686188,0.089067503,63.0,56.0,71.0,0.814340497,0.20573248,0.823458702,0.051912433,10.783238958,0.251736967,63.343374858,0.089503986,63.0,56.0,71.0,0.342776859,0.391148153,0.801220011,0.051602249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.894889,0.2435,3.18835,401.373,438.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2371.35,NaN,0.013339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107.808,281.305,279.456,NaN,NaN,NaN,4835.21,NaN,NaN,NaN,NaN,NaN,NaN,54.3518,51.4649,30.0261,18.5622,18.2636,17.3532,17.461,18.1986,17.485,NaN,NaN,NaN,431.101,NaN,NaN,NaN,NaN,NaN
170058143.cnf,4.0,0.0,4.0,4.0,0.0,0.409542444,0.654645114,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.506547619,0.577157309,0.333333333,1.0,0.572870054,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.060702613,0.008928571,0.010714286,0.883037985,0.03125,0.04317808,0.0,0.090909091,0.643491553,0.004746094,0.283968874,0.000892857,0.008928571,1.824229492,0.50625,0.01875,0.060702613,0.017857143,0.021428571,0.014070472,0.046169902,0.013392857,0.016071429,1.051515667,0.119559545,0.042467366,0.105263158,0.125,0.73445031,0.0,0.0,0.00625,0.434375,0.434375,0.099733885,0.845671719,0.000323261,0.288908402,0.229658724,0.010626112,0.180743264,0.027631312,0.068266263,0.076311541,0.13079327,0.049913621,0.096532284,0.088586924,0.063422401,0.084204058,0.069088505,0.077342782,14.299410609,0.261711107,63.321938441,0.089068325,63.0,56.0,71.0,0.816343325,0.208750132,0.823805474,0.053213892,10.918014867,0.252150055,63.353082641,0.088999613,63.0,56.0,70.0,0.342761617,0.388553152,0.801845753,0.050826299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.50047,9.79743,14.931,NaN,2480.78,NaN,NaN,NaN,NaN,531.163,NaN,NaN,1769.91,3301.69,NaN,0.101084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,198.489,350.553,383.727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2268.79,89.0858,86.3395,29.4461,18.5272,18.5616,17.2696,17.2793,17.9245,64.4573,2429.47,NaN,2423.78,2449.08,4502.78,NaN,NaN,NaN,NaN
170058440.cnf,4.0,0.0,4.0,4.0,0.0,0.409820829,0.655551628,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.49047619,0.576914739,0.333333333,1.0,0.546089317,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.0,0.090909091,0.630581028,0.004779576,0.261924661,0.000892857,0.008035714,1.752266576,0.509821429,0.01875,0.062087642,0.017857143,0.021428571,0.014075255,0.047188097,0.013392857,0.016071429,1.067465235,0.119530981,0.043365616,0.105263158,0.125,0.740427811,0.0,0.0,0.003125,0.26875,0.26875,0.091621945,0.888263155,0.00072409,0.288900246,0.216214288,0.010082072,0.170702902,0.024749376,0.055593649,0.076139832,0.134604688,0.048792772,0.097196306,0.088203012,0.061891208,0.08409239,0.068937217,0.077552055,14.216025138,0.253991598,63.325608798,0.088868475,63.0,56.0,71.0,0.813450762,0.206925899,0.823315544,0.051888794,10.841575297,0.317456985,63.339002014,0.090871076,63.0,56.0,71.0,0.340027409,0.388105573,0.801233635,0.052460975,NaN,NaN,NaN,NaN,NaN,NaN,2973.93,2972.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1650.44,401.878,355.464,499.833,76.3474,68.6061,NaN,1002.61,2728.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2992.73,NaN,2993.81,NaN,NaN,NaN,NaN,642.406,391.012,778.606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1909.36,1883.27,168.783,66.343,67.1001,NaN,NaN,1425.87,NaN,NaN,NaN,NaN,78.4703,NaN,NaN,NaN,NaN,NaN
170059081.cnf,4.0,0.0,4.0,4.0,0.0,0.40862705,0.654658883,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.494642857,0.577214812,0.333333333,1.0,0.553333563,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.061629424,0.008928571,0.010714286,0.888541462,0.030113636,0.042787524,0.0,0.090909091,0.635060336,0.004612165,0.305364951,0.000892857,0.008035714,1.867029088,0.491964286,0.01875,0.061629424,0.017857143,0.021428571,0.014073661,0.04677482,0.013392857,0.016071429,1.061022131,0.119539504,0.042952553,0.105263158,0.125,0.745138652,0.0,0.0,0.01875,0.271875,0.271875,0.09708219,0.856966485,0.000358005,0.296597256,0.233192911,0.010613702,0.178737274,0.027239342,0.064043231,0.07626353,0.133654436,0.048409786,0.097523582,0.088562113,0.062472845,0.083774466,0.068287233,0.078422663,14.227381586,0.24866988,63.333422033,0.088428065,63.0,56.0,71.0,0.814766224,0.206990871,0.823463227,0.052261604,10.832228117,0.257653157,63.442086649,0.088085877,63.0,56.0,71.0,0.341465071,0.388714736,0.802307032,0.050460112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3764.3,1523.53,NaN,NaN,NaN,0.271568,1.74712,0.268258,146.392,1482.51,1919.14,NaN,NaN,NaN,243.157,NaN,3066.18,NaN,NaN,491.85,0.119182,425.466,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.4824,318.891,288.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2243.27,32.198,31.9717,1.72491,18.8831,18.6997,321.043,320.011,19.3325,66.8346,NaN,NaN,NaN,1503.91,NaN,NaN,NaN,1695.28,NaN
170059722.cnf,4.0,0.0,4.0,4.0,0.0,0.410437156,0.669726882,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.491666667,0.577018459,0.333333333,1.0,0.548181056,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062994079,0.008928571,0.010714286,0.894922515,0.028409091,0.042137491,0.0,0.090909091,0.621086375,0.004779576,0.285816054,0.001785714,0.008928571,1.821279827,0.509821429,0.01875,0.062994079,0.017857143,0.021428571,0.014078444,0.047852768,0.013392857,0.016071429,1.07744689,0.119511439,0.043866641,0.105263158,0.125,0.756842381,0.0,0.0,0.0125,0.259375,0.259375,0.092016441,0.863517234,0.000260192,0.282521415,0.217836327,0.011584005,0.168007352,0.02655854,0.059641167,0.076094397,0.137776121,0.047923904,0.098153252,0.088117914,0.062030909,0.084548693,0.068376219,0.077946412,14.52202473,0.247848496,63.144770737,0.08974676,63.0,56.0,70.0,0.820244675,0.207560735,0.824897995,0.062146799,11.027353545,0.273085059,63.209482562,0.091114775,63.0,56.0,70.0,0.339725337,0.404586966,0.801792108,0.066475666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,650.948,125.385,911.105,NaN,NaN,NaN,911.769,338.988,462.48,NaN,1351.01,NaN,NaN,NaN,40.8685,NaN,3221.34,NaN,NaN,NaN,3390.98,2.67493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.712,NaN,1064.24,NaN,NaN,NaN,3020.83,NaN,NaN,NaN,NaN,2712.85,NaN,206.657,199.708,4515.57,NaN,NaN,1205.61,1206.03,2008.32,961.714,NaN,NaN,NaN,1338.28,NaN,NaN,NaN,4934.56,NaN
170104584.cnf,4.0,0.0,4.0,4.0,0.0,0.408872494,0.637854729,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.500595238,0.577348637,0.333333333,1.0,0.563313924,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.06023386,0.008928571,0.010714286,0.879904293,0.031818182,0.043360873,0.0,0.090909091,0.647446639,0.004595424,0.279474481,0.000892857,0.008035714,1.778882882,0.490178571,0.01875,0.06023386,0.017857143,0.021428571,0.014068878,0.047368096,0.013392857,0.016071429,1.067723353,0.119583502,0.043495969,0.105263158,0.125,0.742789139,0.0,0.0,0.0125,0.184375,0.184375,0.098956648,0.834052978,0.000499338,0.293561616,0.224908284,0.009071725,0.177408765,0.025880911,0.067106573,0.076350119,0.136396846,0.048487776,0.098019939,0.089779175,0.062569886,0.084235266,0.068974742,0.077124088,14.202850732,0.247773599,63.273855088,0.088854276,63.0,56.0,71.0,0.811317279,0.210535362,0.82263932,0.052420329,10.828313915,0.256303575,63.334139371,0.088753087,63.0,56.0,71.0,0.341539317,0.385151439,0.801382952,0.050658048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,886.12,NaN,4262.99,NaN,NaN,NaN,NaN,3028.99,339.893,1960.28,NaN,NaN,NaN,1614.2,3036.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3203.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,938.168,NaN,NaN,NaN,1934.32,NaN,NaN,NaN,NaN,NaN
170105432.cnf,4.0,0.0,4.0,4.0,0.0,0.410355115,0.660887197,320.0,1120.0,320.0,1120.0,0.0,0.0,0.285714286,0.50297619,0.577309838,0.333333333,1.0,0.567186726,0.009375,0.0,0.009375,0.009375,0.0,0.0,0.0,1.0,0.009375,0.062087642,0.008928571,0.010714286,0.890916406,0.029545455,0.042579532,0.0,0.090909091,0.630581028,0.004804688,0.264744679,0.001785714,0.008928571,1.766451102,0.5125,0.01875,0.062087642,0.017857143,0.021428571,0.014075255,0.046575011,0.013392857,0.016071429,1.058754537,0.11952503,0.042803467,0.105263158,0.125,0.740860058,0.0,0.0,0.025,0.33125,0.33125,0.094209323,0.918246863,0.000209411,0.330823251,0.234392647,0.010705317,0.175585475,0.025462884,0.055082363,0.076240922,0.131695741,0.049848345,0.098914875,0.088219701,0.061557666,0.084594035,0.068532477,0.078023047,14.089474388,0.247790644,63.501404306,0.089910599,63.0,56.0,71.0,0.81939496,0.205875816,0.824445918,0.052397857,10.812160695,0.248470791,63.551574376,0.08877578,64.0,56.0,71.0,0.342904855,0.390447711,0.802679118,0.04998605,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,127.817,3.03718,138.193,NaN,1241.11,449.267,NaN,NaN,NaN,1365.09,NaN,3917.14,3268.4,NaN,NaN,3.66135,NaN,NaN,1991.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,200.121,318.776,798.385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,282.629,286.081,29.6698,510.954,509.002,17.5459,17.6639,710.824,323.856,NaN,NaN,NaN,1239.19,NaN,NaN,NaN,NaN,NaN
