,CV
0,10
1,5
2,6
3,10
4,9
5,5
6,10
7,8
8,4
9,9
10,9
11,6
12,10
13,8
14,8
15,10
16,2
17,3
18,6
19,7
20,1
21,7
22,7
23,4
24,1
25,8
26,1
27,3
28,4
29,3
30,5
31,2
32,8
33,3
34,4
35,2
36,3
37,3
38,5
39,3
40,7
41,1
42,6
43,2
44,9
45,4
46,4
47,3
48,6
49,1
50,1
51,3
52,9
53,9
54,7
55,3
56,2
57,9
58,5
59,7
60,4
61,3
62,5
63,5
64,3
65,9
66,1
67,8
68,9
69,10
70,5
71,2
72,6
73,2
74,9
75,1
76,7
77,8
78,8
79,3
80,7
81,4
82,2
83,2
84,5
85,5
86,7
87,6
88,10
89,3
90,2
91,4
92,3
93,4
94,9
95,7
96,1
97,5
98,4
99,7
100,9
101,6
102,9
103,1
104,4
105,6
106,2
107,5
108,5
109,7
110,10
111,6
112,9
113,5
114,1
115,9
116,8
117,8
118,2
119,3
120,1
121,10
122,6
123,3
124,8
125,2
126,2
127,7
128,6
129,1
130,5
131,8
132,4
133,7
134,3
135,3
136,1
137,7
138,9
139,10
140,10
141,8
142,3
143,10
144,7
145,8
146,7
147,1
148,4
149,5
150,7
151,2
152,5
153,9
154,10
155,9
156,6
157,4
158,7
159,3
160,9
161,9
162,8
163,8
164,8
165,5
166,3
167,8
168,9
169,9
170,7
171,3
172,6
173,10
174,6
175,5
176,5
177,1
178,9
179,7
180,1
181,10
182,8
183,10
184,4
185,5
186,8
187,1
188,5
189,9
190,9
191,1
192,9
193,8
194,6
195,10
196,2
197,10
198,2
199,2
200,9
201,4
202,10
203,3
204,7
205,2
206,6
207,1
208,10
209,6
210,8
211,1
212,9
213,7
214,10
215,8
216,6
217,3
218,9
219,3
220,7
221,1
222,8
223,10
224,10
225,5
226,2
227,10
228,2
229,2
230,9
231,4
232,5
233,2
234,8
235,7
236,1
237,10
238,6
239,6
240,6
241,6
242,8
243,1
244,6
245,2
246,10
247,1
248,7
249,10
250,7
251,9
252,4
253,3
254,9
255,3
256,1
257,3
258,4
259,4
260,9
261,5
262,8
263,10
264,7
265,2
266,10
267,5
268,6
269,9
270,9
271,7
272,2
273,2
274,7
275,9
276,8
277,9
278,8
279,3
280,5
281,5
282,2
283,6
284,5
285,2
286,7
287,3
288,3
289,1
290,4
291,4
292,4
293,9
294,4
295,1
296,3
297,2
298,8
299,6
300,9
301,10
302,7
303,9
304,3
305,3
306,10
307,8
308,1
309,10
310,3
311,8
312,3
313,9
314,9
315,9
316,6
317,4
318,3
319,4
320,5
321,9
322,1
