,CV
0,10
1,5
2,6
3,10
4,9
5,5
6,10
7,8
8,9
9,9
10,6
11,10
12,8
13,10
14,9
15,6
16,1
17,2
18,7
19,7
20,1
21,7
22,2
23,8
24,1
25,2
26,1
27,4
28,1
29,5
30,4
31,3
32,8
33,2
34,3
35,5
36,2
37,2
38,4
39,3
40,7
41,1
42,3
43,3
44,6
45,2
46,9
47,2
48,6
49,1
50,1
51,4
52,4
53,1
54,9
55,9
56,3
57,9
58,3
59,2
60,9
61,5
62,2
63,7
64,1
65,3
66,1
67,5
68,4
69,5
70,10
71,9
72,10
73,9
74,3
75,1
76,5
77,6
78,8
79,7
80,8
81,3
82,9
83,5
84,5
85,5
86,2
87,2
88,3
89,7
90,7
91,6
92,9
93,10
94,2
95,4
96,1
97,4
98,3
99,5
100,3
101,7
102,7
103,1
104,4
105,9
106,9
107,7
108,5
109,4
110,2
111,6
112,10
113,1
114,1
115,9
116,6
117,8
118,3
119,5
120,1
121,8
122,10
123,8
124,2
125,8
126,6
127,7
128,3
129,10
130,2
131,2
132,6
133,3
134,5
135,7
136,1
137,7
138,10
139,4
140,9
141,8
142,3
143,8
144,4
145,8
146,7
147,1
148,10
149,7
150,7
151,9
152,4
153,9
154,5
155,2
156,9
157,7
158,6
159,9
160,8
161,4
162,9
163,8
164,10
165,9
166,3
167,10
168,5
169,10
170,7
171,9
172,9
173,3
174,7
175,6
176,8
177,1
178,5
179,3
180,5
181,4
182,9
183,7
184,8
185,10
186,1
187,1
188,8
189,5
190,10
191,1
192,8
193,9
194,10
195,6
196,10
197,9
198,7
199,6
200,10
201,8
202,1
203,2
204,2
205,3
206,4
207,1
208,9
209,6
210,7
211,1
212,3
213,1
214,10
215,8
216,10
217,7
218,6
219,8
220,10
221,1
222,9
223,10
224,10
225,3
226,8
227,3
228,3
229,7
230,2
231,3
232,2
233,5
234,1
235,10
236,1
237,8
238,5
239,4
240,9
241,6
242,6
243,7
244,6
245,5
246,9
247,6
248,7
249,9
250,10
251,10
252,1
253,8
254,9
255,7
256,1
257,2
258,2
259,9
260,3
261,5
262,3
263,9
264,9
265,2
266,4
267,2
268,7
269,7
270,5
271,9
272,8
273,9
274,8
275,3
276,7
277,10
278,8
279,3
280,9
281,10
282,5
283,7
284,10
285,5
286,2
287,1
288,9
289,2
290,5
291,6
292,5
293,8
294,4
295,1
296,9
297,8
298,4
299,9
300,9
301,10
302,3
303,9
304,8
305,6
306,7
307,9
308,1
309,3
310,10
311,9
312,4
313,7
314,10
315,7
316,3
317,10
318,2
319,9
320,3
321,5
322,5
