,CV
0,10
1,1
2,10
3,8
4,9
5,4
6,5
7,8
8,6
9,7
10,4
11,5
12,3
13,1
14,10
15,2
16,9
17,6
18,2
19,5
20,1
21,3
22,1
23,9
24,6
25,6
26,2
27,8
28,8
29,3
30,7
31,8
32,1
33,8
34,8
35,5
36,2
37,2
38,6
39,1
40,8
41,10
42,3
43,6
44,10
45,2
46,7
47,7
48,4
49,10
50,5
51,8
52,7
53,8
54,5
55,8
56,2
57,9
58,6
59,1
60,9
61,10
62,5
63,2
64,3
65,2
66,2
67,3
68,9
69,8
70,9
71,10
72,6
73,3
74,4
75,3
76,3
77,5
78,6
79,2
80,6
81,7
82,10
83,4
84,6
85,8
86,10
87,7
88,1
89,9
90,6
91,5
92,9
93,7
94,7
95,5
96,1
97,2
98,4
99,7
100,9
101,4
102,10
103,1
104,7
105,1
106,8
107,2
108,5
109,6
110,9
111,6
112,8
113,10
114,10
115,8
116,10
117,6
118,5
119,8
120,1
121,3
122,9
123,6
124,10
125,1
126,10
127,9
128,2
129,1
130,4
131,9
132,5
133,2
134,7
135,8
136,3
137,8
138,8
139,2
140,6
141,5
142,4
143,9
144,4
145,1
146,5
147,6
148,7
149,10
150,10
151,7
152,10
153,5
154,9
155,7
156,3
157,10
158,4
159,9
160,9
161,6
162,6
163,1
164,1
165,4
166,4
167,9
168,8
169,4
170,7
171,1
172,8
173,4
174,2
175,9
176,9
177,9
178,7
179,10
180,3
181,4
182,2
183,6
184,9
185,8
186,3
187,5
188,5
189,3
190,8
191,9
192,8
193,4
194,10
195,5
196,4
197,2
198,7
199,2
200,2
201,9
202,1
203,1
204,9
205,3
206,9
207,3
208,7
209,8
210,5
211,6
212,7
213,9
214,4
215,3
216,3
217,3
218,3
219,4
220,5
221,9
222,8
223,2
224,2
225,10
226,10
227,2
228,7
229,1
230,7
231,4
232,5
233,4
234,5
235,1
236,2
237,6
238,5
239,7
240,4
241,5
242,7
243,2
244,6
245,8
246,1
247,9
248,2
249,2
250,10
251,1
252,7
253,2
254,6
255,8
256,4
257,2
258,8
259,2
260,10
261,7
262,5
263,8
264,5
265,2
266,6
267,1
268,1
269,10
270,10
271,7
272,6
273,3
274,1
275,9
276,2
277,3
278,6
279,5
280,2
281,6
282,10
283,8
284,6
285,1
286,1
287,8
288,4
289,3
290,4
291,8
292,3
293,7
294,10
295,1
296,4
297,2
298,2
299,1
300,6
301,1
302,7
303,7
304,6
305,1
306,7
307,10
308,4
309,9
310,8
311,4
312,8
313,6
314,10
315,6
316,10
317,5
318,5
319,9
320,3
321,8
322,3
323,4
324,5
325,4
326,8
327,8
328,9
329,9
330,10
331,8
332,1
333,7
334,3
335,6
336,6
337,10
338,5
339,3
340,3
341,1
342,5
343,10
344,6
345,8
346,6
347,1
348,4
349,10
350,7
351,7
352,4
353,7
354,8
355,9
356,5
357,1
358,3
359,10
360,4
361,4
362,9
363,5
364,8
365,5
366,4
367,5
368,6
369,3
370,4
371,7
372,9
373,5
374,8
375,3
376,10
377,1
378,8
379,3
380,9
381,8
382,9
383,10
384,7
385,9
386,5
387,1
388,3
389,3
390,6
391,2
392,1
393,9
394,4
395,8
396,9
397,9
398,1
399,7
400,3
401,8
402,9
403,5
404,7
405,7
406,3
407,8
408,10
409,2
410,1
411,2
412,10
413,10
414,9
415,5
416,4
417,5
418,4
419,3
420,5
421,5
422,3
423,2
424,3
425,1
426,2
427,6
428,7
429,4
430,4
431,3
432,6
433,7
434,10
435,7
436,1
437,5
438,3
439,9
440,6
441,1
442,3
443,2
444,10
445,1
446,7
447,9
448,5
449,7
450,1
451,7
452,4
453,3
454,6
455,1
456,4
457,6
458,3
459,6
460,5
461,6
462,2
463,4
464,4
465,1
466,2
467,2
468,9
469,8
470,2
471,7
472,8
473,1
474,3
475,7
476,5
477,1
478,6
479,7
480,8
481,3
482,2
483,1
484,7
485,3
486,9
487,8
488,3
489,4
490,10
491,4
492,7
493,6
494,5
495,9
496,6
497,4
498,2
499,6
500,7
501,2
502,4
503,4
504,3
505,2
506,3
507,6
508,2
509,4
510,1
511,9
512,10
513,10
514,9
515,5
516,2
517,5
518,5
519,6
520,10
521,7
522,5
523,4
524,3
525,2
526,10
