,CV
0,10
1,2
2,3
3,5
4,6
5,3
6,7
7,8
8,10
9,1
10,10
11,7
12,8
13,6
14,6
15,10
16,7
17,9
18,9
19,8
20,4
21,5
22,2
23,2
24,1
25,8
26,2
27,10
28,4
29,8
30,5
31,8
32,4
33,5
34,4
35,5
36,4
37,8
38,6
39,8
40,6
41,3
42,1
43,5
44,6
45,10
46,5
47,5
48,3
49,6
50,8
51,7
52,4
53,9
54,1
55,7
56,6
57,3
58,1
59,2
60,5
61,6
62,5
63,9
64,4
65,4
66,1
67,6
68,10
69,3
70,3
71,4
72,2
73,5
74,8
75,9
76,8
77,4
78,3
79,9
80,5
81,3
82,6
83,10
84,5
85,4
86,6
87,1
88,4
89,10
90,7
91,10
92,1
93,5
94,6
95,2
96,7
97,7
98,10
99,4
100,2
101,8
102,10
103,3
104,2
105,9
106,7
107,6
108,8
109,8
110,9
111,6
112,9
113,3
114,6
115,5
116,5
117,6
118,8
119,7
120,1
121,7
122,6
123,7
124,5
125,4
126,8
127,3
128,10
129,7
130,6
131,3
132,3
133,1
134,9
135,8
136,4
137,7
138,9
139,3
140,6
141,5
142,9
143,2
144,9
145,2
146,9
147,5
148,10
149,4
150,3
151,4
152,7
153,5
154,10
155,10
156,8
157,3
158,4
159,9
160,8
161,7
162,2
163,7
164,5
165,8
166,6
167,9
168,4
169,9
170,8
171,5
172,5
173,6
174,3
175,10
176,4
177,9
178,8
179,1
180,7
181,5
182,1
183,7
184,9
185,3
186,6
187,8
188,5
189,8
190,4
191,2
192,9
193,10
194,5
195,10
196,5
197,8
198,9
199,6
200,9
201,5
202,9
203,7
204,10
205,7
206,10
207,8
208,9
209,10
210,1
211,8
212,10
213,5
214,9
215,8
216,10
217,2
218,3
219,9
220,6
221,7
222,8
223,9
224,3
225,4
226,2
227,10
228,7
229,6
230,10
231,7
232,3
233,10
234,7
235,3
236,7
237,4
238,3
239,9
240,10
241,3
242,9
243,8
244,4
245,1
246,2
247,10
248,7
249,1
250,6
251,2
252,1
253,6
254,3
255,1
256,1
257,8
258,4
259,4
260,9
261,10
262,1
263,9
264,4
265,8
266,4
267,5
268,2
269,4
270,3
271,2
272,10
273,3
274,1
275,2
276,2
277,5
278,9
279,9
280,4
281,7
282,2
283,4
284,8
285,1
286,2
287,7
288,10
289,5
290,5
291,1
292,3
293,7
294,10
295,1
296,2
297,2
298,1
299,4
300,7
301,3
302,2
303,9
304,10
305,4
306,3
307,2
308,9
309,6
310,9
311,1
312,2
313,8
314,10
315,8
316,2
317,6
318,4
319,3
320,4
321,9
322,8
323,2
324,5
325,8
326,5
327,8
328,5
329,1
330,5
331,7
332,9
333,9
334,3
335,4
336,4
337,1
338,7
339,10
340,3
341,1
342,9
343,1
344,6
345,4
346,3
347,10
348,6
349,6
350,4
351,1
352,8
353,6
354,4
355,10
356,7
357,9
358,3
359,10
360,2
361,8
362,5
363,5
364,3
365,1
366,1
367,8
368,3
369,1
370,9
371,2
372,10
373,10
374,10
375,8
376,5
377,1
378,10
379,5
380,2
381,7
382,10
383,9
384,5
385,8
386,8
387,7
388,1
389,10
390,6
391,2
392,6
393,5
394,4
395,5
396,4
397,9
398,4
399,8
400,6
401,2
402,5
403,4
404,2
405,5
406,6
407,1
408,10
409,10
410,9
411,1
412,1
413,9
414,3
415,2
416,3
417,2
418,10
419,9
420,1
421,2
422,1
423,7
424,10
425,8
426,6
427,7
428,5
429,7
430,7
431,6
432,5
433,3
434,2
435,1
436,6
437,3
438,5
439,9
440,5
441,7
442,2
443,10
444,9
445,8
446,10
447,8
448,3
449,9
450,3
451,3
452,9
453,6
454,5
455,3
456,1
457,4
458,2
459,4
460,9
461,9
462,10
463,5
464,6
465,10
466,3
467,1
468,1
469,8
470,3
471,6
472,4
473,7
474,3
475,9
476,8
477,8
478,10
479,2
480,4
481,3
482,9
483,6
484,1
485,3
486,6
487,7
488,1
489,7
490,3
491,7
492,5
493,9
494,1
495,5
496,7
497,6
498,1
499,7
500,1
501,10
502,5
503,1
504,4
505,3
506,2
507,4
508,6
509,9
510,8
511,6
512,8
513,4
514,6
515,9
516,4
517,8
518,10
519,5
520,4
521,4
522,7
523,1
524,4
525,2
526,4
527,10
528,2
529,8
530,2
531,9
532,8
533,10
534,6
535,4
536,7
537,3
538,1
539,5
540,6
541,7
542,10
543,1
544,6
545,3
546,1
547,2
548,3
549,2
550,10
551,1
552,2
553,9
554,7
555,8
556,5
557,9
558,9
559,4
560,1
561,6
562,3
563,8
564,6
565,5
566,9
567,5
568,1
569,8
570,3
571,8
572,4
573,6
574,3
575,1
576,3
577,4
578,10
579,6
580,9
581,2
582,3
583,3
584,10
585,10
586,3
587,2
588,6
589,5
590,9
591,1
592,4
593,7
594,5
595,3
596,5
597,10
598,1
599,10
600,10
601,6
602,10
603,6
604,2
605,3
606,1
607,3
608,3
609,10
610,4
611,3
612,5
613,3
614,7
615,9
616,2
617,7
618,9
619,1
620,1
621,10
622,1
623,6
624,7
625,5
626,5
627,10
628,4
629,2
630,6
631,7
632,4
633,1
634,3
635,10
636,5
637,1
638,5
639,5
640,6
641,7
642,9
643,3
644,10
645,4
646,7
647,9
648,4
649,3
650,5
651,9
652,7
653,3
654,5
655,7
656,8
657,5
658,8
659,2
660,8
661,6
662,6
663,1
664,7
665,5
666,5
667,9
668,7
669,2
670,4
671,1
672,4
673,8
674,1
675,8
676,7
677,6
678,5
679,6
680,6
681,2
682,4
683,7
684,2
685,10
686,10
687,3
688,3
689,6
690,9
691,9
692,5
693,3
694,7
695,9
696,1
697,7
698,4
699,4
700,4
701,1
702,8
703,3
704,9
705,4
706,6
707,8
708,2
709,6
710,2
711,10
712,3
713,4
714,1
715,2
716,1
717,8
718,9
719,3
720,7
721,6
722,5
723,7
724,6
725,10
726,2
727,2
728,2
729,5
730,4
731,4
732,5
733,1
734,2
735,1
736,6
737,10
