,CV
0,10
1,3
2,4
3,5
4,1
5,2
6,3
7,2
8,1
9,7
10,2
11,3
12,2
13,5
14,3
15,1
16,8
17,3
18,2
19,9
20,1
21,5
22,1
23,7
24,6
25,3
26,7
27,7
28,10
29,2
30,1
31,6
32,3
33,1
34,1
35,1
36,10
37,4
38,10
39,2
40,3
41,1
42,3
43,1
44,6
45,8
46,2
47,1
48,2
49,9
50,4
51,3
52,10
53,2
54,8
55,5
56,2
57,4
58,10
59,1
60,1
61,3
62,5
63,9
64,1
65,5
66,1
67,5
68,4
69,4
70,10
71,4
72,6
73,6
74,1
75,3
76,2
77,6
78,5
79,10
80,3
81,2
82,6
83,2
84,5
85,9
86,5
87,1
88,9
89,4
90,7
91,3
92,2
93,6
94,4
95,8
96,4
97,3
98,7
99,3
100,9
101,1
102,10
103,3
104,10
105,5
106,2
107,7
108,8
109,9
110,4
111,4
112,8
113,1
114,5
115,4
116,8
117,4
118,10
119,8
120,1
121,1
122,1
123,10
124,2
125,6
126,1
127,2
128,6
129,3
130,4
131,1
132,10
133,7
134,5
135,8
136,3
137,9
138,2
139,2
140,8
141,5
142,6
143,5
144,7
145,8
146,2
147,2
148,4
149,1
150,1
151,7
152,3
153,2
154,8
155,3
156,6
157,8
158,2
159,10
160,9
161,1
162,3
163,6
164,10
165,10
166,9
167,7
168,8
169,10
170,8
171,6
172,3
173,3
174,3
175,5
176,10
177,4
178,2
179,7
180,5
181,1
182,8
183,9
184,4
185,8
186,1
187,7
188,2
189,7
190,10
191,5
192,9
193,9
194,4
195,9
196,8
197,9
198,7
199,5
200,9
201,1
202,4
203,1
204,8
205,7
206,7
207,1
208,8
209,5
210,7
211,6
212,9
213,1
214,9
215,2
216,7
217,3
218,8
219,1
220,6
221,8
222,8
223,8
224,6
225,10
226,8
227,9
228,1
229,5
230,8
231,9
232,1
233,4
234,8
235,9
236,7
237,1
238,10
239,2
240,1
241,5
242,8
243,10
244,4
245,1
246,1
247,10
248,7
249,8
250,5
251,10
252,8
253,7
254,8
255,1
256,1
257,4
258,4
259,9
260,9
261,9
262,2
263,9
264,9
265,5
266,3
267,6
268,1
269,7
270,9
271,8
272,2
273,10
274,7
275,2
276,3
277,10
278,6
279,5
280,7
281,2
282,9
283,10
284,2
285,5
286,4
287,2
288,10
289,2
290,2
291,7
292,6
293,3
294,7
295,2
296,5
297,6
298,8
299,2
300,1
301,1
302,2
303,9
304,2
305,3
306,5
307,4
308,10
309,9
310,1
311,8
312,7
313,9
314,4
315,2
316,2
317,3
318,3
319,7
320,2
321,3
322,3
323,9
324,10
325,8
326,10
327,10
328,4
329,6
330,3
331,8
332,5
333,7
334,5
335,3
336,5
337,6
338,9
339,3
340,9
341,1
342,3
343,9
344,2
345,8
346,10
347,3
348,2
349,2
350,3
351,10
352,7
353,4
354,5
355,5
356,10
357,8
358,8
359,1
360,10
361,9
362,5
363,4
364,6
365,9
366,4
367,4
368,3
369,4
370,10
371,8
372,1
373,8
374,5
375,9
376,5
377,3
378,9
379,8
380,7
381,4
382,10
383,2
384,4
385,10
386,5
387,4
388,2
389,7
390,8
391,1
392,2
393,10
394,6
395,10
396,8
397,2
398,5
399,3
400,4
401,1
402,6
403,3
404,7
405,10
406,8
407,6
408,10
409,7
410,9
411,2
412,5
413,10
414,6
415,8
416,10
417,5
418,8
419,10
420,1
421,4
422,4
423,9
424,1
425,6
426,1
427,2
428,6
429,10
430,9
431,8
432,4
433,10
434,6
435,6
436,5
437,10
438,10
439,9
440,3
441,8
442,4
443,3
444,7
445,2
446,2
447,6
448,5
449,3
450,3
451,6
452,6
453,5
454,4
455,4
456,1
457,2
458,1
459,5
460,4
461,3
462,6
463,5
464,5
465,10
466,2
467,7
468,5
469,6
470,10
471,5
472,3
473,10
474,1
475,9
476,2
477,4
478,2
479,10
480,8
481,10
482,9
483,10
484,5
485,3
486,5
487,10
488,1
489,3
490,2
491,10
492,1
493,1
494,9
495,5
496,6
497,7
498,1
499,4
500,10
501,9
502,4
503,6
504,10
505,8
506,9
507,1
508,7
509,2
510,7
511,9
512,9
513,3
514,8
515,7
516,4
517,3
518,4
519,2
520,10
521,3
522,7
523,10
524,4
525,1
526,3
527,5
528,3
529,5
530,6
531,10
532,7
533,3
534,9
535,6
536,8
537,2
538,7
539,4
540,2
541,4
542,1
543,1
544,1
545,6
546,2
547,9
548,4
549,2
550,3
551,4
552,3
553,9
554,6
555,6
556,2
557,7
558,9
559,2
560,5
561,10
562,7
563,4
564,10
565,1
566,2
567,3
568,3
569,1
570,2
571,6
572,9
573,1
574,9
575,9
576,7
577,10
578,9
579,5
580,8
581,4
582,9
583,4
584,5
585,8
586,8
587,6
588,6
589,8
590,8
591,4
592,9
593,2
594,6
595,2
596,1
597,9
598,3
599,1
600,4
601,3
602,9
603,5
604,5
605,7
606,3
607,1
608,5
609,5
610,1
611,4
612,7
613,7
614,8
615,6
616,3
617,7
618,3
619,1
620,6
621,4
622,3
623,8
624,10
625,3
626,9
627,5
628,6
