,CV
0,7
1,8
2,1
3,3
4,5
5,7
6,9
7,4
8,5
9,1
10,8
11,2
12,3
13,7
14,9
15,4
16,9
17,6
18,9
19,1
20,10
21,9
22,2
23,8
24,9
25,10
26,5
27,9
28,10
29,6
30,6
31,8
32,6
33,3
34,1
35,7
36,7
37,1
38,10
39,4
40,7
41,10
42,2
43,7
44,7
45,6
46,2
47,10
48,2
49,5
50,3
51,3
52,4
53,10
54,2
55,6
56,5
57,6
58,6
59,8
60,4
61,4
62,8
63,1
64,1
65,10
66,7
67,8
68,4
69,8
70,9
71,5
72,1
73,2
74,2
75,8
76,5
77,3
78,10
79,9
80,1
81,2
82,5
83,3
84,4
85,6
86,1
87,7
88,3
89,4
90,4
91,3
92,3
93,5
94,9
95,2
96,10
97,8
98,5
99,6
