,CV
0,9
1,10
2,5
3,6
4,5
5,2
6,3
7,7
8,8
9,1
10,9
11,8
12,1
13,8
14,3
15,6
16,4
17,5
18,4
19,6
20,5
21,3
22,3
23,9
24,2
25,10
26,3
27,4
28,6
29,7
30,7
31,5
32,9
33,10
34,2
35,7
36,8
37,6
38,10
39,1
40,1
41,6
42,8
43,2
44,1
45,3
46,2
47,7
48,9
49,1
50,2
51,7
52,4
53,10
54,4
55,9
56,10
57,4
58,5
59,3
60,8
61,3
62,8
63,8
64,10
65,3
66,1
67,5
68,9
69,4
70,6
71,10
72,6
73,6
74,1
75,10
76,6
77,2
78,5
79,5
80,10
81,9
82,9
83,4
84,3
85,6
86,2
87,6
88,10
89,3
90,7
91,3
92,8
93,3
94,3
95,8
96,4
97,4
98,1
99,6
100,2
101,4
102,7
103,1
104,1
105,8
106,3
107,7
108,3
109,7
110,5
111,4
112,7
113,3
114,2
115,9
116,9
117,5
118,2
119,7
120,8
121,7
122,2
123,2
124,1
125,6
126,2
127,2
128,9
129,7
130,3
131,4
132,1
133,4
134,2
135,6
136,5
137,10
138,2
139,3
140,6
141,8
142,9
143,10
144,7
145,1
146,5
147,5
148,1
149,4
150,10
151,2
152,6
153,4
154,5
155,3
156,10
157,5
158,9
159,9
160,5
161,7
162,8
163,7
164,7
165,5
166,5
167,1
168,8
169,8
170,9
171,6
172,6
173,9
174,8
175,7
176,6
177,8
178,10
179,4
180,9
181,8
182,8
183,5
184,8
185,5
186,7
187,4
188,1
189,6
190,1
191,4
192,9
193,5
194,6
195,1
196,9
197,5
198,10
199,3
200,4
201,2
202,8
203,10
204,7
205,3
206,7
207,8
208,4
209,7
210,6
211,3
212,4
213,1
214,2
215,1
216,7
217,2
218,8
219,4
220,5
221,3
222,4
223,1
224,2
225,2
226,1
227,1
228,10
229,6
230,10
231,2
232,9
233,10
234,9
235,9
236,9
