,CV
0,2
1,10
2,5
3,6
4,7
5,3
6,4
7,5
8,1
9,8
10,3
11,5
12,4
13,1
14,6
15,5
16,7
17,5
18,9
19,7
20,4
21,6
22,7
23,5
24,2
25,10
26,1
27,2
28,3
29,4
30,3
31,8
32,2
33,4
34,7
35,4
36,3
37,2
38,1
39,7
40,2
41,3
42,2
43,5
44,8
45,3
46,6
47,1
48,3
49,8
50,3
51,4
52,4
53,5
54,4
55,4
56,4
57,4
58,8
59,10
60,9
61,6
62,4
63,7
64,4
65,2
66,5
67,2
68,6
69,1
70,9
71,4
72,6
73,6
74,1
75,5
76,2
77,5
78,9
79,9
80,7
81,2
82,3
83,9
84,5
85,6
86,6
87,4
88,1
89,1
90,4
91,5
92,7
93,6
94,3
95,4
96,5
97,2
98,2
99,1
100,4
101,6
102,9
103,6
104,7
105,7
106,10
107,1
108,1
109,1
110,7
111,4
112,10
113,6
114,2
115,1
116,10
117,6
118,5
119,5
120,7
121,2
122,2
123,10
124,6
125,5
126,7
127,5
128,4
129,2
130,2
131,6
132,7
133,5
134,10
135,7
136,1
137,7
138,8
139,1
140,5
141,3
142,8
143,8
144,10
145,5
146,8
147,4
148,6
149,1
150,1
151,7
152,3
153,9
154,6
155,7
156,2
157,4
158,6
159,7
160,5
161,6
162,10
163,3
164,4
165,4
166,6
167,2
168,2
169,6
170,6
171,5
172,10
173,4
174,4
175,4
176,8
177,7
178,10
179,1
180,4
181,9
182,5
183,3
184,10
185,5
186,4
187,9
188,5
189,1
190,3
191,3
192,7
193,9
194,8
195,8
196,7
197,10
198,9
199,2
200,10
201,7
202,5
203,5
204,6
205,8
206,7
207,10
208,4
209,2
210,4
211,7
212,8
213,5
214,5
215,6
216,8
217,9
218,1
219,1
220,5
221,8
222,8
223,4
224,10
225,8
226,3
227,1
228,5
229,1
230,6
231,9
232,1
233,8
234,3
235,6
236,9
237,4
238,6
239,9
240,7
241,9
242,2
243,9
244,6
245,5
246,1
247,3
248,8
249,4
250,7
251,4
252,2
253,2
254,6
255,2
256,3
257,2
258,1
259,10
260,10
261,7
262,4
263,5
264,10
265,7
266,8
267,6
268,6
269,6
270,8
271,5
272,3
273,2
274,3
275,3
276,10
277,9
278,5
279,1
280,6
281,1
282,5
283,4
284,7
285,4
286,3
287,2
288,7
289,10
290,3
291,8
292,4
293,9
294,9
295,8
296,3
297,7
298,9
299,4
300,1
301,10
302,8
303,8
304,4
305,9
306,3
307,4
308,7
309,8
310,9
311,2
312,1
313,6
314,1
315,5
316,7
317,3
318,9
319,8
320,4
321,2
322,3
323,1
324,4
325,10
326,9
327,4
328,1
329,6
330,6
331,6
332,9
333,1
334,4
335,2
336,2
337,10
338,1
339,10
340,1
341,4
342,2
343,9
344,4
345,4
346,6
347,2
348,4
349,2
350,9
351,10
352,3
353,10
354,6
355,3
356,1
357,6
358,7
359,5
360,9
361,7
362,4
363,1
364,9
365,3
366,8
367,1
368,2
369,4
370,9
371,7
372,7
373,9
374,10
375,9
376,8
377,5
378,2
379,3
380,2
381,3
382,1
383,2
384,10
385,4
386,7
387,3
388,9
389,3
390,9
391,1
392,2
393,8
394,3
395,4
396,5
397,9
398,2
399,1
400,2
401,10
402,6
403,10
404,9
405,9
406,1
407,2
408,4
409,9
410,6
411,1
412,2
413,5
414,3
415,7
416,8
417,5
418,2
419,5
420,4
421,2
422,9
423,10
424,6
425,9
426,1
427,1
428,5
429,1
430,8
431,7
432,1
433,5
434,9
435,8
436,4
437,3
438,3
439,4
440,2
441,5
442,6
443,5
444,5
445,7
446,6
447,10
448,3
449,10
450,4
451,5
452,10
453,6
454,6
455,2
456,1
457,3
458,2
459,5
460,5
461,2
462,7
463,5
464,8
465,3
466,8
467,10
468,9
469,4
470,1
471,7
472,10
473,1
474,9
475,6
476,1
477,8
478,5
479,2
480,5
481,7
482,2
483,8
484,2
485,2
486,10
487,3
488,5
489,6
490,6
491,8
492,10
493,10
494,9
495,4
496,9
497,5
498,8
499,5
500,9
501,8
502,3
503,3
504,6
