,CV
0,10
1,10
2,8
3,9
4,5
5,8
6,7
7,10
8,4
9,9
10,9
11,3
12,4
13,1
14,2
15,3
16,6
17,2
18,8
19,3
20,1
21,6
22,1
23,6
24,4
25,8
26,7
27,3
28,7
29,8
30,8
31,6
32,1
33,10
34,8
35,2
36,2
37,5
38,5
39,1
40,3
41,10
42,6
43,7
44,2
45,7
46,10
47,1
48,4
49,9
50,7
51,4
52,5
53,5
54,8
55,8
56,1
57,2
58,5
59,8
60,6
61,9
62,3
63,3
64,10
65,2
66,9
67,5
68,6
69,9
70,3
71,4
72,3
73,3
74,4
75,1
76,8
77,10
78,7
79,10
80,6
81,4
82,10
83,4
84,8
85,7
86,9
87,9
88,7
89,8
90,6
91,7
92,5
93,9
94,10
95,7
96,2
97,5
98,8
99,1
100,9
101,8
102,10
103,1
104,6
105,5
106,2
107,1
108,7
109,6
110,5
111,10
112,5
113,6
114,8
115,1
116,10
117,3
118,4
119,8
120,5
121,9
122,10
123,10
124,3
125,1
126,4
127,9
128,7
129,1
130,3
131,9
132,8
133,2
134,5
135,8
136,8
137,7
138,9
139,2
140,10
141,4
142,6
143,7
144,10
145,1
146,3
147,8
148,5
149,10
150,9
151,3
152,10
153,9
154,5
155,7
156,5
157,9
158,7
159,8
160,2
161,8
162,2
163,6
164,4
165,9
166,9
167,4
168,4
169,9
170,4
171,2
172,2
173,9
174,6
175,3
176,10
177,5
178,6
179,1
180,2
181,8
182,6
183,8
184,5
185,2
186,9
187,5
188,6
189,3
190,3
191,4
192,7
193,4
194,8
195,2
196,9
197,3
198,3
199,5
200,10
201,9
202,4
203,6
204,4
205,8
206,1
207,8
208,5
209,4
210,5
211,6
212,9
213,7
214,6
215,9
216,7
217,1
218,5
219,4
220,4
221,2
222,2
223,5
224,9
225,9
226,10
227,6
228,7
229,1
230,5
231,7
232,5
233,10
234,2
235,7
236,2
237,4
238,7
239,3
240,2
241,9
242,4
243,10
244,3
245,2
246,1
247,4
248,3
249,1
250,2
251,5
252,8
253,2
254,3
255,6
256,2
257,1
258,8
259,2
260,7
261,10
262,7
263,5
264,7
265,5
266,1
267,5
268,8
269,2
270,2
271,10
272,7
273,10
274,2
275,1
276,5
277,9
278,1
279,10
280,6
281,2
282,5
283,4
284,8
285,6
286,2
287,3
288,8
289,5
290,4
291,3
292,4
293,7
294,6
295,5
296,7
297,1
298,4
299,3
300,4
301,7
302,7
303,8
304,6
305,9
306,6
307,10
308,9
309,3
310,1
311,9
312,7
313,5
314,5
315,8
316,9
317,5
318,9
319,3
320,6
321,4
322,8
323,1
324,8
325,6
326,3
327,5
328,4
329,3
330,1
331,7
332,1
333,3
334,4
335,6
336,7
337,5
338,6
339,5
340,6
341,2
342,8
343,8
344,7
345,4
346,10
347,7
348,6
349,6
350,10
351,10
352,9
353,2
354,1
355,5
356,5
357,10
358,6
359,9
360,7
361,3
362,2
363,10
364,5
365,4
366,10
367,1
368,9
369,4
370,4
371,8
372,2
373,1
374,8
375,7
376,1
377,1
378,6
379,1
380,1
381,4
382,3
383,4
384,9
385,7
386,8
387,3
388,1
389,5
390,1
391,6
392,7
393,1
394,2
395,10
396,10
397,6
398,9
399,2
400,2
401,4
402,3
403,4
404,8
405,6
406,7
407,8
408,8
409,5
410,3
411,4
412,10
413,9
414,2
415,3
416,3
417,2
418,9
419,9
420,9
421,3
422,3
423,2
424,2
425,3
426,4
427,3
428,6
429,9
430,4
431,6
432,8
433,2
434,9
435,2
436,3
437,2
438,9
439,1
440,6
441,6
442,8
443,2
444,2
445,5
446,3
447,5
448,1
449,3
450,4
451,5
452,4
453,4
454,7
455,9
456,7
457,1
458,7
459,4
460,4
461,1
462,4
463,3
464,2
465,9
466,8
467,5
468,10
469,3
470,1
471,8
472,1
473,10
474,8
475,8
476,1
477,1
478,10
479,9
480,7
481,10
482,3
483,6
484,1
485,6
486,1
487,1
488,4
489,2
490,5
491,9
492,7
493,3
494,1
495,10
496,8
497,2
498,3
499,6
500,9
501,4
502,6
503,5
504,8
505,7
506,7
507,2
508,2
509,3
510,3
511,1
512,8
513,10
514,7
515,4
516,6
517,10
518,1
519,7
520,7
521,10
522,9
523,6
524,6
525,7
526,5
527,8
528,9
529,7
530,2
531,8
532,3
533,6
534,4
535,3
536,2
537,4
538,5
539,1
540,5
541,7
542,6
543,10
544,1
545,3
546,6
547,7
548,10
549,9
550,6
551,10
552,5
553,10
554,10
555,6
