,CV
0,10
1,1
2,10
3,8
4,9
5,5
6,8
7,7
8,10
9,4
10,4
11,10
12,3
13,1
14,4
15,2
16,3
17,6
18,2
19,6
20,1
21,3
22,1
23,9
24,5
25,4
26,6
27,6
28,3
29,8
30,8
31,7
32,1
33,7
34,8
35,6
36,2
37,2
38,8
39,1
40,10
41,3
42,5
43,4
44,8
45,2
46,6
47,10
48,4
49,7
50,7
51,10
52,9
53,5
54,7
55,8
56,2
57,8
58,5
59,1
60,6
61,8
62,3
63,3
64,9
65,2
66,10
67,10
68,5
69,9
70,3
71,4
72,3
73,3
74,4
75,1
76,8
77,10
78,6
79,6
80,2
81,6
82,4
83,7
84,4
85,10
86,6
87,10
88,1
89,8
90,7
91,9
92,3
93,6
94,9
95,7
96,1
97,4
98,2
99,5
100,8
101,4
102,7
103,1
104,9
105,1
106,5
107,10
108,2
109,7
110,8
111,4
112,6
113,9
114,5
115,1
116,6
117,8
118,5
119,3
120,1
121,10
122,5
123,7
124,10
125,8
126,6
127,3
128,5
129,2
130,4
131,10
132,8
133,2
134,6
135,9
136,10
137,6
138,6
139,5
140,10
141,1
142,3
143,9
144,4
145,1
146,2
147,7
148,9
149,6
150,5
151,8
152,5
153,6
154,8
155,8
156,7
157,9
158,4
159,3
160,10
161,2
162,5
163,6
164,5
165,4
166,7
167,4
168,10
169,1
170,4
171,2
172,8
173,3
174,3
175,7
176,6
177,3
178,10
179,1
180,3
181,9
182,1
183,10
184,7
185,2
186,9
187,7
188,2
189,4
190,5
191,9
192,8
193,6
194,5
195,4
196,7
197,4
198,8
199,9
200,9
201,5
202,3
203,9
204,9
205,3
206,10
207,8
208,7
209,8
210,9
211,3
212,3
213,4
214,8
215,9
216,5
217,10
218,6
219,7
220,5
221,1
222,9
223,4
224,4
225,7
226,1
227,5
228,9
229,1
230,9
231,4
232,1
233,9
234,9
235,8
236,6
237,10
238,10
239,1
240,4
241,2
242,7
243,8
244,3
245,7
246,2
247,1
248,9
249,1
250,10
251,2
252,1
253,3
254,2
255,6
256,5
257,5
258,7
259,10
260,2
261,7
262,8
263,10
264,5
265,6
266,7
267,8
268,2
269,6
270,8
271,5
272,4
273,10
274,5
275,6
276,3
277,6
278,2
279,9
280,3
281,5
282,10
283,3
284,6
285,1
286,7
287,1
288,2
289,8
290,8
291,1
292,7
293,5
294,7
295,6
296,8
297,6
298,9
299,10
300,2
301,4
302,9
303,9
304,2
305,1
306,9
307,6
308,3
309,2
310,9
311,5
312,5
313,7
314,1
315,5
316,4
317,6
318,1
319,6
320,6
321,3
322,9
323,6
324,6
325,10
326,10
327,8
328,5
329,9
330,10
331,7
332,7
333,9
334,8
335,9
336,4
337,8
338,4
339,10
340,9
341,7
342,7
343,9
344,8
345,6
346,5
347,1
348,1
349,2
350,10
351,2
352,4
353,2
354,8
355,1
356,5
357,10
358,8
359,1
360,5
361,7
362,4
363,9
364,8
365,3
366,10
367,3
368,8
369,9
370,9
371,9
372,9
373,3
374,8
375,6
376,8
377,9
378,9
379,9
380,5
381,3
382,4
383,1
384,7
385,5
386,5
387,4
388,10
389,3
390,2
391,8
392,1
393,7
394,9
395,2
396,2
397,10
398,4
399,6
400,2
401,8
402,1
403,10
404,4
405,3
406,7
407,1
408,4
409,2
410,8
411,2
412,10
413,10
414,5
415,1
416,2
417,7
418,7
419,4
420,5
421,2
422,2
423,3
424,6
425,4
426,8
427,6
428,7
429,5
430,9
431,3
432,3
433,6
434,2
435,7
436,2
437,2
438,10
439,5
440,4
441,6
442,1
443,3
444,4
445,2
446,7
447,7
448,3
449,4
450,2
451,9
452,7
453,5
454,6
455,8
456,5
457,2
458,9
459,4
460,8
461,5
462,9
463,4
464,7
465,5
466,5
467,2
468,1
469,6
470,1
471,3
472,1
473,4
474,4
475,7
476,8
477,6
478,6
479,1
480,10
481,2
482,7
483,3
484,2
485,10
486,5
487,1
488,3
489,1
490,7
491,7
492,2
493,2
494,4
495,1
496,3
497,8
498,3
499,7
500,8
501,3
502,10
503,7
504,7
505,3
506,4
507,8
508,4
509,3
510,3
511,6
512,9
513,4
514,4
515,5
516,3
517,3
518,6
519,2
520,2
521,10
522,5
523,1
524,1
525,10
526,10
527,4
528,10
529,5
530,10
531,3
532,6
533,1
534,10
535,10
536,5
537,3
538,1
539,2
540,6
