,CV
0,10
1,3
2,4
3,10
4,9
5,10
6,6
7,9
8,3
9,8
10,10
11,10
12,6
13,7
14,5
15,4
16,6
17,5
18,7
19,10
20,2
21,3
22,1
23,5
24,3
25,7
26,4
27,7
28,4
29,6
30,9
31,1
32,8
33,5
34,1
35,8
36,2
37,8
38,8
39,7
40,4
41,4
42,2
43,9
44,7
45,3
46,9
47,1
48,4
49,7
50,2
51,5
52,4
53,1
54,9
55,9
56,3
57,8
58,2
59,5
60,1
61,3
62,8
63,6
64,1
65,1
66,6
67,2
68,9
69,8
70,6
71,4
72,8
73,3
74,10
75,7
76,9
77,10
78,5
79,7
80,5
81,4
82,5
83,7
84,9
85,9
86,9
87,10
88,1
89,5
90,3
91,6
92,5
93,5
94,6
95,6
96,6
97,5
98,7
99,1
100,4
101,7
102,3
103,9
104,3
105,10
106,8
107,1
108,6
109,8
110,2
111,6
112,8
113,7
114,1
115,10
116,7
117,8
118,3
119,2
120,2
121,10
122,9
123,8
124,3
125,8
126,3
127,6
128,8
129,10
130,6
131,4
132,10
133,7
134,8
135,2
136,7
137,9
138,7
139,2
140,4
141,6
142,4
143,10
144,1
145,10
146,10
147,8
148,3
149,3
150,3
151,5
152,10
153,3
154,2
155,7
156,10
157,9
158,8
159,10
160,5
161,7
162,9
163,2
164,9
165,6
166,8
167,3
168,8
169,7
170,4
171,9
172,9
173,9
174,9
175,5
176,3
177,8
178,10
179,2
180,1
181,9
182,6
183,1
184,5
185,8
186,9
187,7
188,10
189,5
190,8
191,2
192,7
193,3
194,2
195,9
196,1
197,2
198,9
199,7
200,9
201,4
202,1
203,6
204,1
205,6
206,7
207,1
208,8
209,7
210,9
211,7
212,7
213,6
214,4
215,2
216,5
217,8
218,3
219,6
220,6
221,2
222,1
223,5
224,10
225,5
226,2
227,2
228,6
229,4
230,10
231,8
232,1
233,2
234,7
235,1
236,10
237,5
238,8
239,7
240,5
241,9
242,10
243,2
244,2
245,7
246,10
247,2
248,10
249,3
250,7
251,4
252,5
253,6
254,6
255,5
256,1
257,6
258,10
259,8
260,6
261,1
262,10
263,6
264,3
265,6
266,10
267,1
268,6
269,9
270,10
271,2
272,3
273,10
274,2
275,5
276,1
277,6
278,8
279,5
280,9
281,4
282,3
283,4
284,6
285,3
286,4
287,8
288,1
289,10
290,8
291,9
292,8
293,9
294,3
295,3
296,6
297,6
298,6
299,6
300,8
301,1
302,6
303,1
304,8
305,5
306,4
307,4
308,9
309,8
310,4
311,8
312,6
313,10
314,4
315,5
316,1
317,2
318,2
319,3
320,1
321,6
322,4
323,9
324,2
325,10
326,2
327,4
328,9
329,8
330,2
331,3
332,6
333,10
334,4
335,4
336,1
337,2
338,7
339,8
340,3
341,7
342,3
343,4
344,8
345,7
346,9
347,7
348,4
349,4
350,1
351,2
352,9
353,8
354,3
355,1
356,5
357,2
358,9
359,10
360,1
361,1
362,4
363,6
364,3
365,3
366,2
367,10
368,7
369,10
370,6
371,10
372,2
373,8
374,4
375,8
376,1
377,4
378,5
379,3
380,8
381,4
382,8
383,5
384,2
385,2
386,9
387,9
388,4
389,2
390,7
391,1
392,2
393,4
394,7
395,6
396,10
397,2
398,6
399,6
400,7
401,1
402,9
403,3
404,3
405,5
406,9
407,6
408,8
409,4
410,3
411,4
412,10
413,10
414,5
415,4
416,9
417,4
418,9
419,1
420,3
421,10
422,1
423,2
424,2
425,2
426,8
427,8
428,7
429,4
430,6
431,5
432,5
433,3
434,3
435,2
436,8
437,1
438,3
439,7
440,3
441,10
442,8
443,2
444,2
445,5
446,5
447,3
448,3
449,7
450,8
451,5
452,8
453,9
454,10
455,9
456,1
457,9
458,1
459,6
460,3
461,10
462,4
463,8
464,9
465,1
466,6
467,1
468,9
469,9
470,5
471,3
472,7
473,4
474,4
475,10
476,9
477,1
478,1
479,8
480,5
481,5
482,7
483,4
484,9
485,2
486,6
487,6
488,4
489,8
490,4
491,10
492,1
493,2
494,6
495,1
496,9
497,9
498,10
499,5
500,10
501,5
502,7
503,4
504,2
505,7
506,10
507,2
508,7
509,4
510,5
511,1
512,3
513,5
514,3
515,2
516,5
517,8
518,8
519,8
520,1
521,10
522,6
523,5
524,2
525,9
526,2
527,3
528,6
529,7
530,1
531,3
532,9
533,3
534,5
535,5
536,2
537,4
538,7
539,5
540,1
541,6
542,10
543,9
544,3
545,2
546,2
547,9
548,3
549,10
550,3
551,1
552,2
553,10
554,3
555,10
556,5
557,3
558,4
559,9
560,9
561,3
562,7
563,1
564,7
565,1
566,4
567,3
568,4
569,3
570,1
571,5
572,8
573,6
574,10
575,8
576,5
577,8
578,1
579,5
580,1
581,1
582,4
583,4
584,2
585,4
586,5
587,4
588,7
589,7
590,3
591,2
592,4
593,1
594,5
595,7
596,4
597,5
598,1
599,9
600,2
601,9
602,3
603,1
604,2
605,5
606,1
607,9
608,5
609,2
610,8
611,5
612,7
613,6
614,4
615,9
616,2
617,5
618,2
619,5
620,2
621,9
622,4
623,10
624,2
625,3
626,6
627,10
628,6
