,CV
0,10
1,10
2,8
3,9
4,5
5,8
6,7
7,10
8,4
9,9
10,9
11,3
12,4
13,1
14,2
15,3
16,6
17,8
18,3
19,6
20,1
21,6
22,1
23,4
24,10
25,2
26,7
27,3
28,7
29,8
30,8
31,6
32,1
33,10
34,8
35,2
36,2
37,5
38,5
39,1
40,3
41,10
42,6
43,7
44,2
45,7
46,9
47,1
48,4
49,9
50,7
51,4
52,5
53,5
54,8
55,8
56,1
57,2
58,5
59,8
60,6
61,10
62,3
63,3
64,9
65,2
66,2
67,9
68,5
69,6
70,10
71,3
72,4
73,3
74,3
75,1
76,4
77,8
78,10
79,7
80,10
81,6
82,4
83,9
84,4
85,8
86,7
87,9
88,9
89,7
90,8
91,6
92,7
93,5
94,10
95,9
96,2
97,7
98,5
99,1
100,8
101,2
102,10
103,1
104,8
105,10
106,2
107,1
108,6
109,5
110,4
111,7
112,6
113,10
114,2
115,1
116,6
117,5
118,8
119,2
120,9
121,2
122,3
123,8
124,10
125,1
126,5
127,10
128,8
129,1
130,9
131,3
132,4
133,7
134,9
135,3
136,8
137,6
138,5
139,8
140,8
141,7
142,9
143,6
144,10
145,1
146,7
147,5
148,10
149,3
150,8
151,10
152,9
153,10
154,3
155,6
156,2
157,5
158,9
159,7
160,2
161,9
162,2
163,1
164,7
165,6
166,1
167,6
168,8
169,1
170,4
171,4
172,4
173,6
174,4
175,4
176,1
177,8
178,9
179,9
180,6
181,1
182,3
183,2
184,2
185,9
186,1
187,2
188,5
189,9
190,2
191,10
192,4
193,8
194,8
195,9
196,2
197,5
198,5
199,3
200,3
201,4
202,7
203,8
204,9
205,10
206,1
207,3
208,3
209,9
210,8
211,6
212,8
213,8
214,7
215,5
216,5
217,4
218,9
219,7
220,4
221,4
222,9
223,5
224,9
225,2
226,9
227,7
228,2
229,4
230,4
231,4
232,5
233,1
234,7
235,6
236,4
237,5
238,2
239,10
240,2
241,4
242,7
243,4
244,5
245,4
246,4
247,3
248,2
249,7
250,10
251,1
252,1
253,6
254,3
255,9
256,3
257,10
258,2
259,5
260,2
261,3
262,2
263,10
264,7
265,2
266,2
267,1
268,10
269,7
270,7
271,8
272,8
273,7
274,5
275,2
276,2
277,5
278,6
279,10
280,5
281,9
282,4
283,2
284,10
285,2
286,2
287,9
288,10
289,5
290,1
291,4
292,6
293,3
294,5
295,4
296,4
297,3
298,6
299,7
300,4
301,1
302,7
303,6
304,7
305,1
306,2
307,1
308,3
309,4
310,1
311,7
312,8
313,9
314,6
315,9
316,1
317,9
318,1
319,4
320,6
321,3
322,9
323,1
324,1
325,7
326,4
327,8
328,1
329,9
330,8
331,8
332,6
333,3
334,10
335,5
336,7
337,6
338,4
339,3
340,7
341,10
342,3
343,8
344,3
345,7
346,9
347,5
348,1
349,7
350,10
351,8
352,8
353,6
354,1
355,9
356,2
357,9
358,5
359,4
360,6
361,5
362,7
363,10
364,6
365,5
366,8
367,9
368,8
369,9
370,5
371,5
372,3
373,7
374,10
375,7
376,10
377,1
378,1
379,9
380,1
381,10
382,2
383,1
384,9
385,5
386,1
387,9
388,6
389,9
390,6
391,3
392,4
393,9
394,1
395,5
396,7
397,3
398,5
399,2
400,8
401,8
402,2
403,9
404,2
405,4
406,9
407,6
408,9
409,3
410,10
411,4
412,6
413,8
414,9
415,1
416,5
417,10
418,2
419,3
420,4
421,4
422,5
423,2
424,3
425,3
426,6
427,8
428,10
429,3
430,3
431,1
432,3
433,2
434,5
435,3
436,4
437,6
438,6
439,8
440,1
441,6
442,4
443,2
444,3
445,6
446,7
447,2
448,6
449,8
450,1
451,2
452,2
453,7
454,3
455,7
456,3
457,5
458,1
459,4
460,5
461,4
462,8
463,10
464,1
465,10
466,7
467,1
468,9
469,2
470,8
471,8
472,3
473,1
474,10
475,5
476,7
477,2
478,7
479,6
480,9
481,9
482,7
483,8
484,9
485,8
486,10
487,7
488,2
489,6
490,3
491,1
492,4
493,5
494,7
495,5
496,4
497,8
498,3
499,6
500,6
501,3
502,5
503,8
504,3
505,7
506,10
507,7
508,2
509,5
510,7
511,3
512,3
513,5
514,5
515,6
516,10
517,4
518,5
519,1
520,3
521,8
522,7
523,9
524,8
525,7
526,2
527,6
528,6
529,4
530,10
531,6
532,4
533,6
534,5
535,4
536,3
537,2
538,7
539,6
540,10
541,10
542,1
543,10
544,10
545,3
546,5
547,4
548,10
549,8
550,6
551,4
552,10
553,1
554,6
555,5
556,6
