,CV
0,10
1,10
2,7
3,8
4,3
5,4
6,9
7,6
8,8
9,4
10,10
11,2
12,9
13,1
14,5
15,4
16,1
17,9
18,2
19,5
20,5
21,8
22,1
23,7
24,6
25,7
26,8
27,7
28,4
29,8
30,10
31,1
32,6
33,5
34,6
35,8
36,7
37,6
38,4
39,7
40,8
41,10
42,4
43,9
44,9
45,9
46,7
47,10
48,4
49,8
50,6
51,9
52,8
53,2
54,2
55,3
56,1
57,5
58,1
59,1
60,4
61,5
62,5
63,2
64,10
65,2
66,10
67,5
68,10
69,8
70,6
71,10
72,5
73,6
74,7
75,9
76,6
77,7
78,9
79,9
80,7
81,3
82,5
83,6
84,3
85,4
86,5
87,10
88,10
89,10
90,4
91,10
92,7
93,5
94,8
95,10
96,7
97,8
98,7
99,2
100,9
101,5
102,10
103,5
104,8
105,6
106,7
107,1
108,10
109,3
110,6
111,3
112,8
113,4
114,9
115,8
116,3
117,7
118,8
119,7
120,1
121,9
122,7
123,6
124,2
125,3
126,8
127,8
128,8
129,2
130,2
131,2
132,8
133,7
134,9
135,5
136,7
137,4
138,5
139,10
140,5
141,10
142,8
143,6
144,10
145,1
146,7
147,7
148,9
149,7
150,1
151,5
152,4
153,2
154,7
155,4
156,3
157,10
158,6
159,7
160,9
161,2
162,5
163,9
164,2
165,3
166,9
167,3
168,2
169,1
170,7
171,9
172,3
173,4
174,1
175,1
176,3
177,3
178,2
179,6
180,2
181,3
182,1
183,5
184,7
185,3
186,6
187,5
188,3
189,9
190,4
191,2
192,9
193,10
194,9
195,4
196,3
197,4
198,4
199,8
200,3
201,5
202,1
203,6
204,8
205,8
206,3
207,6
208,9
209,5
210,10
211,4
212,5
213,1
214,2
215,3
216,6
217,9
218,3
219,10
220,9
221,9
222,4
223,8
224,2
225,1
226,4
227,10
228,2
229,6
230,4
231,6
232,2
233,6
234,10
235,10
236,1
237,7
238,10
239,1
240,4
241,4
242,10
243,4
244,6
245,1
246,4
247,7
248,2
249,7
250,7
251,3
252,8
253,10
254,3
255,6
256,2
257,2
258,6
259,7
260,5
261,10
262,5
263,6
264,8
265,6
266,1
267,7
268,3
269,10
270,1
271,9
272,5
273,1
274,3
275,2
276,9
277,3
278,5
279,4
280,8
281,5
282,3
283,4
284,5
285,9
286,7
287,9
288,8
289,9
290,2
291,3
292,9
293,6
294,9
295,6
296,3
297,8
298,5
299,6
300,9
301,2
302,8
303,8
304,4
305,3
306,5
307,8
308,2
309,1
310,4
311,7
312,9
313,8
314,1
315,8
316,3
317,8
318,2
319,7
320,2
321,3
322,1
323,3
324,9
325,3
326,10
327,9
328,4
329,9
330,1
331,1
332,9
333,10
334,2
335,1
336,4
337,5
338,7
339,1
340,6
341,5
342,7
343,6
344,3
345,4
346,6
347,5
348,1
349,4
350,1
351,2
352,1
353,5
354,1
355,1
356,2
357,2
358,8
359,7
360,3
361,4
362,8
363,3
364,10
365,8
366,4
367,10
368,1
369,4
370,5
371,4
372,2
373,10
374,10
375,8
376,6
377,1
378,3
379,4
380,2
381,5
382,10
383,3
384,4
385,8
386,6
387,1
388,7
389,9
390,4
391,7
392,5
393,5
394,10
395,6
396,1
397,6
398,7
399,7
400,1
401,6
402,4
403,8
404,2
405,6
406,6
407,1
408,7
409,8
410,9
411,3
412,2
413,7
414,2
415,2
416,2
417,9
418,1
419,5
420,6
421,3
422,1
423,2
424,3
425,5
426,5
427,10
428,6
429,10
430,6
431,4
432,10
433,9
434,5
435,2
436,10
437,8
438,3
439,9
