,CV
0,9
1,10
2,4
3,5
4,6
5,2
6,5
7,7
8,8
9,9
10,7
11,5
12,1
13,3
14,5
15,9
16,4
17,8
18,5
19,2
20,2
21,6
22,3
23,4
24,6
25,4
26,10
27,7
28,7
29,5
30,4
31,9
32,8
33,10
34,8
35,10
36,6
37,2
38,9
39,1
40,6
41,7
42,4
43,2
44,1
45,10
46,7
47,10
48,10
49,1
50,4
51,10
52,5
53,3
54,6
55,5
56,3
57,2
58,8
59,9
60,5
61,4
62,2
63,1
64,4
65,3
66,8
67,5
68,10
69,10
70,4
71,3
72,3
73,1
74,6
75,3
76,7
77,5
78,1
79,7
80,5
81,7
82,6
83,6
84,2
85,10
86,9
87,9
88,6
89,3
90,3
91,4
92,6
93,10
94,1
95,9
96,3
97,9
98,6
99,7
100,3
101,2
102,2
103,7
104,7
105,4
106,8
107,5
108,7
109,8
110,7
111,4
112,1
113,2
114,7
115,8
116,2
117,5
118,1
119,9
120,9
121,4
122,1
123,10
124,5
125,2
126,7
127,7
128,2
129,4
130,5
131,4
132,3
133,6
134,6
135,6
136,3
137,10
138,5
139,3
140,4
141,8
142,8
143,2
144,8
145,8
146,6
147,8
148,10
149,4
150,6
151,10
152,7
153,2
154,7
155,6
156,7
157,4
158,10
159,5
160,9
161,8
162,3
163,8
164,8
165,5
166,6
167,9
168,4
169,9
170,9
171,1
172,5
173,9
174,1
175,3
176,3
177,2
178,2
179,5
180,8
181,1
182,8
183,9
184,8
185,6
186,10
187,1
188,1
189,2
190,1
191,10
192,8
193,3
194,2
195,10
196,1
197,2
198,5
199,3
200,4
201,1
202,9
203,6
204,1
205,7
206,2
207,1
208,1
209,3
210,4
211,3
212,8
213,9
214,6
215,7
216,9
217,9
