,CV
0,8
1,9
2,1
3,2
4,4
5,6
6,8
7,8
8,5
9,1
10,6
11,2
12,10
13,3
14,7
15,4
16,9
17,10
18,10
19,1
20,9
21,1
22,10
23,2
24,10
25,10
26,3
27,10
28,4
29,5
30,8
31,6
32,10
33,10
34,7
35,3
36,7
37,1
38,10
39,7
40,1
41,4
42,2
43,4
44,9
45,7
46,8
47,2
48,3
49,7
50,3
51,5
52,4
53,10
54,10
55,3
56,4
57,10
58,7
59,2
60,1
61,7
62,8
63,5
64,5
65,5
66,5
67,9
68,8
69,2
70,4
71,2
72,9
73,6
74,3
75,4
76,2
77,3
78,5
79,5
80,6
81,9
82,9
83,1
84,10
85,8
86,5
87,6
88,6
89,9
90,9
91,2
92,7
93,4
94,8
95,6
96,8
97,3
98,6
99,1
100,10
101,3
102,1
103,7
104,6
