,CV
0,10
1,3
2,5
3,6
4,1
5,2
6,3
7,2
8,1
9,4
10,2
11,5
12,2
13,7
14,3
15,1
16,8
17,3
18,2
19,5
20,1
21,9
22,6
23,7
24,1
25,2
26,3
27,7
28,7
29,2
30,1
31,6
32,10
33,1
34,1
35,1
36,1
37,3
38,4
39,10
40,2
41,1
42,6
43,1
44,10
45,3
46,9
47,1
48,4
49,2
50,10
51,8
52,3
53,5
54,4
55,8
56,5
57,2
58,10
59,1
60,3
61,2
62,5
63,5
64,1
65,4
66,1
67,4
68,9
69,4
70,10
71,3
72,6
73,6
74,1
75,3
76,2
77,10
78,6
79,9
80,9
81,7
82,4
83,2
84,5
85,4
86,2
87,1
88,5
89,6
90,4
91,3
92,2
93,8
94,4
95,9
96,2
97,10
98,7
99,10
100,7
101,1
102,5
103,5
104,3
105,6
106,2
107,1
108,4
109,4
110,8
111,9
112,4
113,2
114,1
115,5
116,4
117,8
118,7
119,8
120,10
121,1
122,1
123,4
124,4
125,5
126,1
127,2
128,6
129,6
130,3
131,1
132,8
133,5
134,10
135,7
136,10
137,3
138,2
139,2
140,5
141,8
142,5
143,1
144,4
145,9
146,7
147,2
148,8
149,1
150,1
151,7
152,8
153,6
154,2
155,8
156,3
157,7
158,7
159,2
160,6
161,1
162,8
163,3
164,10
165,9
166,7
167,7
168,10
169,10
170,4
171,5
172,6
173,3
174,3
175,9
176,5
177,4
178,8
179,3
180,10
181,1
182,8
183,10
184,7
185,7
186,1
187,5
188,9
189,2
190,10
191,8
192,2
193,9
194,9
195,9
196,5
197,4
198,7
199,9
200,8
201,1
202,7
203,1
204,7
205,5
206,9
207,1
208,7
209,6
210,9
211,8
212,7
213,1
214,9
215,6
216,2
217,10
218,3
219,1
220,9
221,8
222,6
223,8
224,8
225,8
226,9
227,4
228,1
229,8
230,9
231,8
232,1
233,7
234,5
235,5
236,8
237,10
238,10
239,2
240,1
241,10
242,1
243,8
244,5
245,1
246,1
247,4
248,10
249,9
250,8
251,3
252,4
253,4
254,7
255,2
256,1
257,9
258,8
259,8
260,9
261,9
262,2
263,9
264,6
265,7
266,9
267,10
268,1
269,10
270,7
271,8
272,2
273,1
274,6
275,5
276,2
277,2
278,7
279,6
280,9
281,4
282,2
283,1
284,5
285,10
286,2
287,10
288,6
289,4
290,7
291,2
292,2
293,5
294,6
295,6
296,3
297,2
298,7
299,5
300,1
301,1
302,9
303,10
304,2
305,8
306,2
307,3
308,9
309,9
310,1
311,7
312,9
313,7
314,8
315,10
316,10
317,3
318,2
319,4
320,6
321,3
322,2
323,1
324,3
325,10
326,5
327,8
328,5
329,5
330,6
331,10
332,3
333,1
334,7
335,9
336,8
337,9
338,3
339,10
340,10
341,1
342,3
343,3
344,5
345,3
346,5
347,8
348,7
349,3
350,3
351,10
352,10
353,9
354,5
355,6
356,4
357,8
358,8
359,1
360,9
361,10
362,4
363,5
364,9
365,4
366,5
367,9
368,3
369,8
370,8
371,10
372,1
373,10
374,5
375,10
376,10
377,2
378,3
379,7
380,6
381,10
382,5
383,5
384,8
385,6
386,10
387,9
388,8
389,4
390,6
391,1
392,4
393,10
394,8
395,5
396,2
397,3
398,10
399,7
400,3
401,1
402,2
403,1
404,10
405,9
406,2
407,2
408,5
409,8
410,10
411,8
412,9
413,10
414,6
415,4
416,2
417,4
418,10
419,10
420,1
421,8
422,9
423,6
424,5
425,4
426,6
427,5
428,10
429,5
430,2
431,10
432,10
433,3
434,5
435,8
436,4
437,7
438,5
439,5
440,3
441,6
442,6
443,3
444,6
445,6
446,1
447,4
448,3
449,2
450,2
451,3
452,8
453,5
454,7
455,7
456,1
457,5
458,1
459,9
460,2
461,10
462,2
463,3
464,2
465,10
466,9
467,8
468,7
469,2
470,10
471,5
472,4
473,5
474,10
475,3
476,10
477,9
478,5
479,1
480,2
481,7
482,1
483,2
484,10
485,9
486,10
487,9
488,6
489,1
490,3
491,9
492,7
493,4
494,7
495,2
496,1
497,2
498,6
499,4
500,9
501,10
502,10
503,7
504,10
505,7
506,8
507,1
508,4
509,4
510,5
511,4
512,4
513,5
514,5
515,3
516,3
517,9
518,4
519,3
520,6
521,7
522,2
523,3
524,2
525,1
526,9
527,9
528,6
529,3
530,7
531,3
532,8
533,6
534,8
535,4
536,3
537,4
538,7
539,6
540,2
541,4
542,1
543,1
544,4
545,2
546,6
547,5
548,2
549,9
550,10
551,2
552,7
553,2
554,10
555,3
556,9
557,6
558,9
559,9
560,7
561,2
562,3
563,10
564,5
565,1
566,2
567,9
568,9
569,1
570,1
571,3
572,5
573,9
574,8
575,9
576,4
577,8
578,4
579,5
580,6
581,3
582,6
583,8
584,8
585,4
586,5
587,4
588,5
589,5
590,8
591,4
592,5
593,5
594,6
595,5
596,1
597,7
598,2
599,1
600,7
601,4
602,7
603,7
604,7
605,1
606,7
607,6
608,5
609,4
610,1
611,9
612,6
613,4
614,10
615,5
616,1
617,9
618,5
619,2
620,8
621,6
622,8
623,3
624,10
625,4
626,3
627,10
628,4
