,CV
0,10
1,4
2,5
3,10
4,9
5,4
6,10
7,7
8,8
9,8
10,5
11,9
12,7
13,7
14,9
15,5
16,1
17,6
18,6
19,6
20,1
21,7
22,1
23,1
24,3
25,4
26,3
27,2
28,1
29,7
30,2
31,1
32,4
33,3
34,6
35,5
36,2
37,2
38,8
39,1
40,2
41,1
42,5
43,8
44,3
45,1
46,10
47,7
48,2
49,8
50,1
51,4
52,6
53,1
54,4
55,4
56,2
57,3
58,1
59,8
60,10
61,9
62,10
63,4
64,9
65,2
66,9
67,8
68,8
69,6
70,6
71,2
72,4
73,4
74,1
75,8
76,5
77,10
78,7
79,8
80,4
81,3
82,1
83,3
84,9
85,10
86,5
87,3
88,2
89,6
90,5
91,4
92,7
93,10
94,5
95,10
96,1
97,7
98,4
99,1
100,9
101,9
102,9
103,5
104,2
105,7
106,10
107,1
108,5
109,6
110,4
111,6
112,8
113,10
114,1
115,9
116,8
117,2
118,3
119,8
120,6
121,10
122,6
123,6
124,9
125,7
126,7
127,4
128,7
129,3
130,5
131,10
132,2
133,8
134,7
135,8
136,1
137,8
138,7
139,3
140,10
141,7
142,2
143,4
144,6
145,10
146,5
147,1
148,8
149,5
150,9
151,7
152,4
153,4
154,10
155,8
156,2
157,9
158,3
159,8
160,9
161,2
162,4
163,7
164,9
165,10
166,1
167,5
168,7
169,9
170,10
171,6
172,9
173,5
174,10
175,5
176,10
177,6
178,8
179,1
180,1
181,7
182,9
183,5
184,2
185,6
186,8
187,9
188,8
189,9
190,10
191,10
192,6
193,7
194,8
195,5
196,4
197,5
198,5
199,5
200,9
201,5
202,2
203,2
204,6
205,8
206,1
207,1
208,6
209,10
210,9
211,7
212,9
213,10
214,8
215,9
216,10
217,4
218,5
219,10
220,10
221,6
222,4
223,3
224,8
225,1
226,1
227,3
228,9
229,2
230,10
231,7
232,6
233,5
234,10
235,10
236,9
237,4
238,5
239,1
240,9
241,4
242,9
243,4
244,8
245,2
246,1
247,1
248,4
249,9
250,8
251,2
252,10
253,9
254,1
255,9
256,3
257,2
258,3
259,8
260,1
261,9
262,8
263,5
264,10
265,2
266,6
267,8
268,7
269,1
270,7
271,6
272,9
273,6
274,3
275,9
276,4
277,4
278,1
279,4
280,7
281,2
282,7
283,10
284,5
285,2
286,7
287,2
288,5
289,9
290,2
291,6
292,8
293,6
294,4
295,5
296,6
297,3
298,3
299,2
300,10
301,8
302,10
303,4
304,4
305,9
306,7
307,2
308,9
309,4
310,3
311,3
312,6
313,1
314,10
315,9
316,8
317,10
318,9
319,7
320,9
321,10
322,1
323,9
324,5
325,3
326,7
327,2
328,1
329,4
330,5
331,5
332,2
333,8
334,7
335,10
336,10
337,7
338,5
339,9
340,3
341,5
342,1
343,3
344,1
345,4
346,1
347,6
348,3
349,4
350,2
351,8
352,4
353,7
354,7
355,1
356,1
357,8
358,2
359,5
360,7
361,7
362,8
363,5
364,8
365,3
366,2
367,10
368,8
369,5
370,4
371,2
372,7
373,1
374,1
375,3
376,10
377,1
378,3
379,2
380,7
381,9
382,2
383,1
384,7
385,8
386,10
387,7
388,9
389,10
390,2
391,6
392,2
393,2
394,1
395,5
396,6
397,6
398,10
399,9
400,6
401,4
402,9
403,7
404,1
405,5
406,7
407,8
408,9
409,5
410,1
411,7
412,3
413,4
414,9
415,7
416,5
417,10
418,3
419,6
420,3
421,4
422,2
423,2
424,8
425,5
426,2
427,2
428,4
429,10
430,3
431,4
432,2
433,10
434,2
435,1
436,1
437,8
438,5
439,6
440,5
441,8
442,9
443,5
444,3
445,3
446,1
447,4
448,6
449,3
450,4
451,3
452,2
453,2
454,6
455,2
456,2
457,5
458,6
459,4
460,10
461,8
462,9
463,1
464,2
465,4
466,3
467,8
468,6
469,9
470,1
471,7
472,1
473,6
474,4
475,3
476,6
477,9
478,5
479,4
480,3
481,9
482,6
483,9
484,6
485,10
486,3
487,5
488,1
489,4
490,2
491,3
492,8
493,4
494,4
495,2
496,5
497,1
498,10
499,5
500,4
501,2
502,6
503,2
504,6
505,9
506,8
507,2
508,2
509,3
510,10
511,4
512,7
513,9
514,7
515,3
516,4
517,4
518,3
519,7
520,2
521,4
522,5
523,1
524,3
525,10
526,5
527,9
528,2
529,6
530,9
531,8
532,8
533,6
534,6
535,7
536,1
537,2
538,7
539,3
540,4
541,3
542,6
543,7
544,6
545,6
546,2
547,8
548,5
549,7
550,8
551,1
552,8
553,2
554,8
555,4
556,2
557,10
558,8
559,4
560,1
561,3
562,3
563,9
564,5
565,9
566,7
567,4
568,1
569,7
570,7
571,10
572,10
573,4
574,10
575,1
576,3
577,8
578,7
579,7
580,6
581,3
582,6
583,2
584,3
585,6
586,8
587,7
588,1
589,1
590,2
591,10
592,5
593,1
594,5
595,2
596,3
597,2
598,2
599,2
600,10
601,4
602,1
603,2
604,5
605,9
606,1
607,10
608,7
609,7
610,9
611,4
612,8
613,5
614,3
615,2
616,5
617,6
618,3
619,6
620,2
621,4
622,9
623,9
624,10
625,9
626,10
627,2
