,CV
0,10
1,2
2,3
3,7
4,8
5,1
6,3
7,10
8,10
9,8
10,10
11,9
12,6
13,6
14,7
15,9
16,8
17,8
18,10
19,8
20,4
21,1
22,5
23,3
24,1
25,2
26,8
27,8
28,4
29,8
30,5
31,10
32,4
33,5
34,4
35,5
36,4
37,6
38,2
39,8
40,6
41,3
42,1
43,6
44,5
45,9
46,6
47,5
48,3
49,5
50,7
51,9
52,7
53,4
54,10
55,6
56,3
57,6
58,1
59,2
60,5
61,8
62,5
63,2
64,6
65,4
66,1
67,4
68,9
69,3
70,3
71,8
72,2
73,4
74,5
75,9
76,10
77,10
78,3
79,6
80,5
81,3
82,7
83,7
84,5
85,10
86,4
87,1
88,7
89,4
90,7
91,6
92,5
93,10
94,2
95,8
96,1
97,10
98,9
99,4
100,2
101,4
102,7
103,3
104,2
105,8
106,8
107,6
108,9
109,9
110,4
111,8
112,7
113,3
114,7
115,5
116,6
117,5
118,6
119,7
120,1
121,8
122,10
123,6
124,7
125,9
126,4
127,1
128,3
129,5
130,8
131,7
132,3
133,6
134,9
135,9
136,4
137,9
138,9
139,2
140,3
141,10
142,4
143,2
144,7
145,5
146,2
147,10
148,10
149,8
150,4
151,3
152,4
153,5
154,9
155,8
156,5
157,8
158,3
159,4
160,9
161,9
162,8
163,9
164,9
165,1
166,8
167,5
168,6
169,4
170,9
171,8
172,2
173,8
174,6
175,5
176,3
177,5
178,4
179,7
180,9
181,10
182,10
183,8
184,5
185,3
186,9
187,6
188,9
189,9
190,2
191,4
192,5
193,10
194,10
195,8
196,5
197,7
198,9
199,6
200,7
201,10
202,8
203,1
204,5
205,10
206,9
207,8
208,10
209,9
210,1
211,8
212,10
213,1
214,10
215,7
216,10
217,5
218,10
219,3
220,9
221,6
222,7
223,6
224,2
225,10
226,3
227,2
228,4
229,7
230,9
231,4
232,1
233,6
234,7
235,3
236,7
237,8
238,10
239,4
240,4
241,3
242,8
243,9
244,3
245,1
246,10
247,4
248,9
249,1
250,8
251,5
252,1
253,10
254,9
255,6
256,1
257,4
258,6
259,9
260,8
261,10
262,10
263,9
264,7
265,10
266,4
267,7
268,3
269,3
270,3
271,5
272,3
273,1
274,1
275,5
276,4
277,2
278,1
279,9
280,4
281,7
282,9
283,7
284,2
285,8
286,10
287,1
288,2
289,3
290,8
291,1
292,9
293,4
294,8
295,1
296,1
297,8
298,1
299,6
300,4
301,2
302,3
303,8
304,9
305,2
306,9
307,6
308,9
309,9
310,2
311,7
312,4
313,10
314,3
315,8
316,4
317,7
318,10
319,9
320,5
321,10
322,5
323,4
324,8
325,8
326,6
327,4
328,7
329,1
330,6
331,6
332,6
333,2
334,3
335,4
336,6
337,1
338,9
339,3
340,1
341,2
342,10
343,4
344,10
345,3
346,1
347,10
348,8
349,10
350,5
351,1
352,10
353,9
354,10
355,8
356,1
357,1
358,5
359,7
360,9
361,10
362,10
363,3
364,9
365,1
366,1
367,7
368,5
369,9
370,10
371,9
372,2
373,6
374,6
375,5
376,10
377,9
378,10
379,1
380,6
381,2
382,8
383,9
384,10
385,5
386,7
387,4
388,2
389,9
390,8
391,5
392,2
393,5
394,5
395,4
396,3
397,5
398,7
399,5
400,7
401,1
402,7
403,5
404,3
405,6
406,3
407,3
408,9
409,7
410,3
411,8
412,6
413,6
414,4
415,9
416,9
417,3
418,10
419,5
420,1
421,2
422,6
423,5
424,10
425,5
426,9
427,2
428,10
429,8
430,10
431,6
432,4
433,6
434,8
435,3
436,2
437,6
438,3
439,3
440,2
441,6
442,5
443,4
444,1
445,1
446,3
447,8
448,9
449,4
450,2
451,3
452,7
453,5
454,10
455,9
456,9
457,5
458,10
459,2
460,5
461,8
462,6
463,3
464,6
465,6
466,4
467,8
468,7
469,7
470,10
471,7
472,6
473,4
474,7
475,5
476,3
477,4
478,1
479,8
480,4
481,2
482,9
483,3
484,6
485,10
486,6
487,8
488,7
489,10
490,1
491,10
492,9
493,5
494,1
495,9
496,1
497,9
498,4
499,9
500,1
501,3
502,2
503,5
504,8
505,4
506,5
507,6
508,4
509,4
510,3
511,10
512,6
513,2
514,3
515,7
516,6
517,4
518,4
519,7
520,5
521,9
522,1
523,6
524,8
525,6
526,2
527,10
528,8
529,1
530,8
531,3
532,2
533,10
534,5
535,6
536,2
537,9
538,6
539,10
540,10
541,2
542,2
543,1
544,2
545,1
546,5
547,7
548,5
549,6
550,9
551,7
552,4
553,2
554,4
555,5
556,7
557,10
558,10
559,4
560,5
561,3
562,6
563,9
564,7
565,9
566,5
567,3
568,10
569,10
570,10
571,9
572,6
573,2
574,3
575,1
576,2
577,7
578,7
579,3
580,7
581,3
582,10
583,10
584,7
585,6
586,9
587,3
588,7
589,6
590,3
591,3
592,3
593,7
594,2
595,1
596,1
597,4
598,1
599,4
600,3
601,3
602,7
603,4
604,4
605,6
606,1
607,4
608,9
609,1
610,10
611,4
612,10
613,3
614,4
615,8
616,2
617,5
618,4
619,5
620,7
621,2
622,7
623,7
624,2
625,8
626,8
627,9
628,3
629,7
630,3
631,6
632,6
633,6
634,8
635,7
636,9
637,1
638,9
639,7
640,6
641,3
642,6
643,1
644,1
645,6
646,5
647,9
648,10
649,3
650,6
651,7
652,4
653,5
654,6
655,1
656,9
657,10
658,10
659,7
660,9
661,4
662,1
663,8
664,4
665,6
666,9
667,2
668,10
669,2
670,1
671,9
672,7
673,5
674,2
675,6
676,6
677,2
678,2
679,3
680,9
681,4
682,3
683,4
684,2
685,7
686,5
687,4
688,1
689,10
690,4
691,7
692,6
693,2
694,4
695,2
696,3
697,7
698,3
699,1
700,8
701,2
702,3
703,2
704,3
705,8
706,7
707,10
708,3
709,5
710,10
711,7
712,8
713,5
714,5
715,10
716,5
717,10
718,1
719,9
720,7
721,2
722,3
723,4
724,7
725,5
726,7
727,2
728,4
729,2
730,3
731,8
732,2
733,3
734,1
735,1
736,6
737,5
