,CV
0,9
1,10
2,4
3,5
4,6
5,2
6,5
7,7
8,8
9,9
10,7
11,5
12,1
13,3
14,5
15,9
16,4
17,8
18,5
19,2
20,2
21,6
22,3
23,4
24,6
25,10
26,7
27,7
28,5
29,9
30,4
31,8
32,10
33,8
34,10
35,6
36,9
37,2
38,6
39,1
40,7
41,10
42,7
43,2
44,1
45,10
46,10
47,10
48,5
49,1
50,4
51,6
52,4
53,3
54,5
55,8
56,3
57,2
58,9
59,5
60,8
61,4
62,2
63,4
64,3
65,4
66,5
67,10
68,10
69,6
70,3
71,3
72,7
73,3
74,5
75,7
76,5
77,7
78,6
79,4
80,6
81,2
82,10
83,9
84,9
85,6
86,3
87,3
88,6
89,4
90,10
91,9
92,3
93,9
94,1
95,6
96,7
97,3
98,7
99,2
100,7
101,8
102,5
103,6
104,7
105,8
106,2
107,1
108,4
109,2
110,7
111,1
112,7
113,4
114,8
115,1
116,2
117,2
118,9
119,4
120,9
121,4
122,1
123,1
124,5
125,10
126,7
127,7
128,2
129,6
130,4
131,3
132,6
133,4
134,6
135,3
136,10
137,5
138,3
139,10
140,5
141,1
142,6
143,8
144,4
145,8
146,8
147,8
148,8
149,6
150,4
151,10
152,10
153,6
154,7
155,7
156,7
157,9
158,5
159,5
160,3
161,9
162,8
163,4
164,8
165,5
166,6
167,8
168,9
169,4
170,7
171,3
172,3
173,9
174,9
175,5
176,9
177,1
178,2
179,8
180,8
181,6
182,1
183,10
184,1
185,6
186,10
187,1
188,1
189,3
190,2
191,7
192,2
193,10
194,2
195,3
196,2
197,1
198,5
199,9
200,5
201,2
202,1
203,1
204,8
205,3
206,1
207,2
208,4
209,1
210,3
211,1
212,8
213,9
214,8
215,9
216,10
217,2
218,9
