,CV
0,10
1,10
2,8
3,9
4,4
5,8
6,6
7,7
8,3
9,10
10,5
11,3
12,9
13,1
14,2
15,6
16,1
17,9
18,2
19,5
20,3
21,10
22,6
23,8
24,2
25,7
26,8
27,7
28,8
29,6
30,4
31,1
32,1
33,4
34,6
35,2
36,5
37,8
38,8
39,1
40,6
41,10
42,7
43,7
44,4
45,10
46,9
47,5
48,7
49,9
50,1
51,5
52,5
53,8
54,8
55,2
56,2
57,6
58,1
59,10
60,8
61,5
62,3
63,2
64,3
65,2
66,2
67,9
68,9
69,8
70,8
71,6
72,1
73,3
74,5
75,3
76,6
77,5
78,6
79,10
80,10
81,6
82,4
83,8
84,10
85,7
86,9
87,5
88,1
89,6
90,9
91,7
92,5
93,4
94,7
95,7
96,1
97,9
98,10
99,7
100,5
101,8
102,6
103,10
104,10
105,5
106,10
107,7
108,10
109,8
110,5
111,3
112,9
113,7
114,8
115,1
116,10
117,6
118,2
119,1
120,10
121,7
122,7
123,8
124,4
125,6
126,6
127,2
128,9
129,9
130,1
131,8
132,8
133,2
134,9
135,10
136,4
137,7
138,10
139,5
140,3
141,10
142,8
143,9
144,10
145,1
146,3
147,3
148,3
149,9
150,7
151,9
152,5
153,6
154,1
155,9
156,9
157,6
158,8
159,6
160,2
161,7
162,9
163,5
164,4
165,2
166,1
167,7
168,6
169,4
170,9
171,6
172,2
173,3
174,8
175,7
176,10
177,4
178,9
179,5
180,7
181,3
182,8
183,4
184,3
185,6
186,7
187,4
188,3
189,9
190,5
191,2
192,10
193,4
194,7
195,9
196,3
197,2
198,7
199,3
200,7
201,4
202,9
203,9
204,5
205,9
206,10
207,4
208,6
209,3
210,5
211,6
212,5
213,10
214,6
215,5
216,4
217,8
218,7
219,2
220,2
221,10
222,2
223,9
224,4
225,5
226,4
227,1
228,4
229,1
230,7
231,4
232,6
233,10
234,6
235,1
236,3
237,10
238,8
239,1
240,7
241,7
242,8
243,10
244,7
245,5
246,3
247,2
248,10
249,7
250,6
251,8
252,3
253,1
254,5
255,3
256,10
257,7
258,2
259,1
260,1
261,5
262,2
263,2
264,3
265,6
266,7
267,6
268,6
269,4
270,8
271,10
272,3
273,5
274,7
275,1
276,6
277,4
278,7
279,7
280,7
281,3
282,4
283,4
284,3
285,8
286,4
287,9
288,10
289,3
290,4
291,5
292,10
293,8
294,6
295,6
296,1
297,8
298,3
299,9
300,1
301,1
302,9
303,8
304,8
305,2
306,6
307,4
308,8
309,8
310,8
311,5
312,2
313,1
314,4
315,3
316,1
317,9
318,4
319,1
320,3
321,5
322,9
323,3
324,6
325,1
326,2
327,5
328,2
329,6
330,4
331,10
332,10
333,10
334,3
335,10
336,3
337,5
338,6
339,7
340,8
341,9
342,1
343,4
344,8
345,9
346,4
347,5
348,4
349,10
350,2
351,3
352,2
353,9
354,8
355,9
356,5
357,6
358,3
359,3
360,1
361,4
362,5
363,10
364,4
365,9
366,6
367,2
368,5
369,5
370,9
371,1
372,2
373,1
374,5
375,2
376,10
377,2
378,2
379,8
380,1
381,9
382,9
383,6
384,8
385,3
386,4
387,3
388,7
389,3
390,3
391,2
392,7
393,2
394,1
395,1
396,2
397,1
398,1
399,6
400,9
401,8
402,1
403,6
404,3
405,4
406,2
407,4
408,3
409,4
410,1
411,2
412,10
413,2
414,4
415,8
416,3
417,6
418,1
419,7
420,6
421,7
422,8
423,7
424,5
425,6
426,8
427,10
428,5
429,9
430,4
431,5
432,9
433,1
434,7
435,4
436,10
437,5
438,1
439,9
440,10
441,8
442,10
443,4
444,2
445,5
446,6
447,2
448,1
449,2
450,2
451,2
452,7
453,3
454,6
455,5
456,7
457,8
458,9
459,10
460,8
461,7
462,5
463,7
464,3
465,6
466,1
467,3
468,5
469,4
470,3
471,9
472,2
473,2
474,1
475,7
476,2
477,8
478,9
479,10
480,4
481,1
482,4
483,5
484,10
485,9
486,10
487,4
488,5
489,4
490,3
491,10
