,CV
0,10
1,2
2,7
3,10
4,10
5,10
6,2
7,8
8,9
9,9
10,7
11,10
12,8
13,8
14,10
15,7
16,8
17,8
18,4
19,5
20,8
21,1
22,9
23,3
24,1
25,4
26,9
27,4
28,3
29,8
30,3
31,6
32,7
33,5
34,6
35,4
36,5
37,2
38,10
39,7
40,4
41,5
42,6
43,5
44,3
45,5
46,9
47,5
48,4
49,3
50,9
51,2
52,4
53,9
54,1
55,10
56,3
57,6
58,6
59,5
60,8
61,2
62,5
63,10
64,4
65,6
66,1
67,10
68,4
69,4
70,5
71,10
72,9
73,2
74,7
75,6
76,5
77,9
78,8
79,3
80,5
81,4
82,9
83,4
84,9
85,3
86,8
87,1
88,8
89,4
90,7
91,5
92,1
93,2
94,6
95,4
96,4
97,9
98,8
99,6
100,3
101,5
102,2
103,8
104,8
105,4
106,6
107,9
108,7
109,7
110,3
111,7
112,5
113,9
114,5
115,2
116,6
117,6
118,3
119,8
120,2
121,7
122,10
123,4
124,6
125,6
126,2
127,9
128,7
129,10
130,3
131,3
132,10
133,1
134,7
135,1
136,10
137,2
138,5
139,9
140,3
141,4
142,3
143,7
144,2
145,9
146,8
147,8
148,8
149,4
150,3
151,4
152,8
153,5
154,9
155,9
156,5
157,3
158,8
159,9
160,2
161,9
162,8
163,7
164,9
165,8
166,5
167,5
168,6
169,8
170,7
171,10
172,6
173,5
174,10
175,4
176,8
177,8
178,9
179,1
180,9
181,9
182,6
183,10
184,5
185,8
186,2
187,10
188,4
189,7
190,9
191,6
192,5
193,7
194,6
195,6
196,8
197,8
198,10
199,5
200,2
201,10
202,3
203,8
204,1
205,6
206,9
207,2
208,5
209,6
210,10
211,8
212,9
213,1
214,3
215,2
216,10
217,7
218,2
219,10
220,6
221,2
222,10
223,6
224,2
225,9
226,7
227,2
228,9
229,4
230,3
231,3
232,1
233,7
234,10
235,4
236,1
237,7
238,7
239,3
240,8
241,9
242,3
243,5
244,8
245,3
246,10
247,7
248,3
249,1
250,9
251,5
252,1
253,10
254,8
255,1
256,1
257,6
258,6
259,9
260,3
261,10
262,1
263,9
264,4
265,1
266,2
267,8
268,9
269,10
270,4
271,7
272,4
273,7
274,1
275,2
276,2
277,4
278,1
279,4
280,3
281,5
282,3
283,1
284,2
285,5
286,5
287,1
288,4
289,5
290,7
291,1
292,7
293,3
294,7
295,10
296,3
297,2
298,1
299,3
300,7
301,9
302,10
303,2
304,9
305,3
306,4
307,8
308,2
309,9
310,3
311,6
312,4
313,3
314,10
315,9
316,8
317,9
318,8
319,9
320,7
321,4
322,9
323,2
324,9
325,10
326,10
327,8
328,2
329,5
330,1
331,5
332,9
333,10
334,4
335,3
336,9
337,6
338,1
339,4
340,4
341,3
342,7
343,6
344,8
345,3
346,1
347,6
348,3
349,4
350,4
351,8
352,10
353,4
354,3
355,7
356,1
357,2
358,10
359,2
360,10
361,10
362,8
363,10
364,9
365,10
366,1
367,5
368,9
369,1
370,7
371,8
372,4
373,10
374,7
375,2
376,10
377,1
378,9
379,1
380,9
381,5
382,1
383,10
384,9
385,2
386,6
387,6
388,6
389,10
390,6
391,9
392,10
393,9
394,1
395,5
396,8
397,10
398,3
399,4
400,9
401,1
402,2
403,3
404,2
405,7
406,5
407,4
408,7
409,2
410,3
411,4
412,3
413,2
414,5
415,7
416,9
417,5
418,7
419,3
420,8
421,3
422,9
423,7
424,8
425,6
426,9
427,10
428,10
429,6
430,3
431,3
432,9
433,2
434,10
435,1
436,5
437,3
438,10
439,8
440,9
441,5
442,6
443,3
444,7
445,8
446,3
447,4
448,6
449,2
450,8
451,10
452,4
453,9
454,3
455,2
456,1
457,2
458,2
459,2
460,6
461,9
462,3
463,5
464,7
465,4
466,3
467,3
468,7
469,7
470,5
471,10
472,6
473,10
474,1
475,5
476,4
477,1
478,8
479,1
480,2
481,5
482,8
483,5
484,9
485,4
486,8
487,3
488,3
489,4
490,10
491,10
492,6
493,1
494,8
495,1
496,3
497,1
498,4
499,10
500,2
501,6
502,7
503,9
504,6
505,9
506,3
507,6
508,4
509,3
510,3
511,2
512,9
513,9
514,8
515,6
516,5
517,7
518,2
519,4
520,10
521,2
522,5
523,1
524,9
525,3
526,6
527,10
528,2
529,1
530,6
531,4
532,3
533,8
534,10
535,4
536,4
537,4
538,2
539,4
540,8
541,5
542,3
543,2
544,1
545,3
546,4
547,8
548,9
549,10
550,2
551,3
552,5
553,7
554,4
555,1
556,7
557,10
558,3
559,4
560,9
561,7
562,2
563,6
564,10
565,1
566,5
567,6
568,6
569,10
570,4
571,2
572,2
573,9
574,4
575,4
576,6
577,2
578,5
579,4
580,7
581,5
582,6
583,2
584,5
585,5
586,2
587,9
588,7
589,2
590,5
591,10
592,6
593,10
594,10
595,4
596,5
597,4
598,9
599,7
600,7
601,6
602,1
603,10
604,3
605,2
606,6
607,10
608,4
609,9
610,7
611,3
612,1
613,3
614,7
615,1
616,7
617,9
618,6
619,10
620,3
621,3
622,10
623,6
624,9
625,2
626,5
627,8
628,6
629,2
630,5
631,2
632,2
633,5
634,5
635,4
636,7
637,1
638,8
639,1
640,7
641,4
642,3
643,1
644,8
645,2
646,3
647,9
648,2
649,9
650,9
651,6
652,3
653,4
654,1
655,1
656,10
657,7
658,9
659,6
660,1
661,10
662,3
663,3
664,1
665,2
666,1
667,1
668,3
669,6
670,2
671,10
672,1
673,5
674,7
675,9
676,7
677,8
678,6
679,1
680,5
681,5
682,2
683,5
684,1
685,5
686,3
687,4
688,1
689,5
690,7
691,9
692,7
693,1
694,7
695,8
696,10
697,4
698,4
699,1
700,8
701,1
702,6
703,9
704,6
705,9
706,10
707,3
708,7
709,7
710,3
711,5
712,4
713,8
714,3
715,6
716,8
717,1
718,10
719,1
720,3
721,4
722,6
723,2
724,2
725,10
726,8
727,10
728,5
729,1
730,10
731,6
732,7
733,1
734,7
735,1
736,4
737,9
