,CV
0,10
1,1
2,10
3,8
4,9
5,5
6,8
7,6
8,7
9,4
10,4
11,10
12,3
13,1
14,4
15,2
16,3
17,9
18,2
19,6
20,1
21,3
22,1
23,9
24,5
25,4
26,6
27,6
28,3
29,8
30,8
31,7
32,1
33,8
34,8
35,10
36,2
37,2
38,6
39,1
40,5
41,3
42,8
43,4
44,10
45,2
46,6
47,10
48,4
49,7
50,7
51,9
52,8
53,5
54,7
55,8
56,2
57,8
58,5
59,6
60,6
61,3
62,3
63,9
64,2
65,10
66,9
67,5
68,9
69,3
70,4
71,3
72,3
73,4
74,8
75,1
76,10
77,6
78,6
79,2
80,5
81,4
82,6
83,4
84,10
85,7
86,6
87,10
88,8
89,9
90,7
91,6
92,9
93,4
94,5
95,2
96,8
97,4
98,7
99,9
100,5
101,7
102,10
103,1
104,2
105,1
106,6
107,4
108,8
109,6
110,5
111,7
112,6
113,5
114,1
115,9
116,8
117,10
118,10
119,8
120,6
121,10
122,4
123,3
124,8
125,1
126,2
127,6
128,9
129,1
130,10
131,2
132,6
133,6
134,10
135,6
136,9
137,9
138,4
139,3
140,8
141,7
142,2
143,8
144,5
145,1
146,3
147,8
148,5
149,9
150,5
151,10
152,10
153,8
154,4
155,10
156,5
157,7
158,2
159,5
160,4
161,9
162,4
163,10
164,4
165,7
166,1
167,6
168,2
169,6
170,3
171,9
172,9
173,8
174,6
175,8
176,1
177,9
178,4
179,9
180,3
181,1
182,1
183,2
184,9
185,6
186,2
187,9
188,5
189,4
190,3
191,7
192,4
193,10
194,5
195,8
196,5
197,8
198,3
199,9
200,3
201,8
202,1
203,9
204,10
205,9
206,6
207,1
208,3
209,4
210,9
211,3
212,7
213,5
214,9
215,1
216,9
217,1
218,7
219,3
220,3
221,7
222,9
223,4
224,4
225,7
226,5
227,8
228,10
229,4
230,10
231,5
232,8
233,1
234,9
235,7
236,7
237,4
238,5
239,2
240,7
241,7
242,6
243,7
244,2
245,3
246,1
247,1
248,10
249,2
250,10
251,2
252,3
253,1
254,5
255,6
256,7
257,6
258,2
259,8
260,7
261,3
262,10
263,7
264,5
265,6
266,2
267,6
268,7
269,8
270,1
271,3
272,4
273,7
274,3
275,6
276,6
277,2
278,1
279,7
280,8
281,5
282,10
283,5
284,3
285,9
286,2
287,5
288,10
289,5
290,5
291,1
292,8
293,6
294,7
295,1
296,6
297,8
298,7
299,2
300,4
301,3
302,8
303,1
304,2
305,1
306,7
307,1
308,9
309,10
310,2
311,10
312,4
313,6
314,6
315,4
316,1
317,9
318,9
319,3
320,4
321,3
322,10
323,6
324,7
325,3
326,10
327,9
328,10
329,5
330,7
331,3
332,1
333,7
334,7
335,1
336,8
337,3
338,4
339,9
340,2
341,10
342,5
343,4
344,10
345,5
346,8
347,6
348,2
349,2
350,7
351,2
352,9
353,7
354,8
355,7
356,5
357,6
358,7
359,10
360,9
361,8
362,3
363,9
364,8
365,10
366,4
367,7
368,10
369,3
370,3
371,9
372,5
373,8
374,3
375,5
376,8
377,10
378,3
379,6
380,9
381,5
382,3
383,5
384,1
385,9
386,2
387,3
388,1
389,4
390,3
391,2
392,2
393,7
394,1
395,9
396,4
397,9
398,5
399,8
400,8
401,8
402,4
403,1
404,1
405,2
406,3
407,2
408,3
409,7
410,1
411,5
412,2
413,6
414,2
415,9
416,3
417,10
418,2
419,8
420,3
421,8
422,1
423,5
424,5
425,8
426,8
427,7
428,5
429,3
430,9
431,3
432,4
433,2
434,2
435,4
436,8
437,9
438,1
439,8
440,8
441,5
442,2
443,4
444,5
445,2
446,10
447,2
448,1
449,1
450,7
451,4
452,10
453,4
454,6
455,1
456,3
457,7
458,4
459,1
460,1
461,5
462,10
463,2
464,1
465,4
466,10
467,6
468,6
469,8
470,10
471,7
472,8
473,4
474,4
475,3
476,7
477,6
478,6
479,5
480,2
481,4
482,4
483,2
484,9
485,6
486,7
487,10
488,7
489,2
490,2
491,7
492,9
493,7
494,9
495,5
496,4
497,9
498,8
499,6
500,7
501,1
502,5
503,2
504,3
505,6
506,1
507,4
508,5
509,3
510,4
511,3
512,10
513,6
514,3
515,4
516,9
517,2
518,1
519,2
520,6
521,9
522,6
523,7
524,1
525,4
526,10
527,10
528,6
529,5
530,1
531,5
532,9
533,10
534,10
535,5
536,2
537,5
