,CV
0,10
1,4
2,5
3,10
4,9
5,10
6,7
7,9
8,8
9,2
10,9
11,7
12,7
13,10
14,6
15,5
16,1
17,7
18,6
19,8
20,8
21,6
22,4
23,1
24,10
25,2
26,3
27,5
28,8
29,5
30,1
31,1
32,7
33,8
34,2
35,9
36,6
37,9
38,3
39,1
40,9
41,1
42,9
43,3
44,10
45,1
46,2
47,4
48,8
49,5
50,1
51,3
52,6
53,2
54,8
55,8
56,4
57,6
58,6
59,9
60,3
61,2
62,5
63,8
64,1
65,4
66,4
67,4
68,2
69,2
70,3
71,6
72,1
73,6
74,1
75,2
76,7
77,8
78,6
79,4
80,3
81,10
82,5
83,7
84,3
85,3
86,7
87,10
88,4
89,10
90,7
91,9
92,6
93,9
94,5
95,6
96,1
97,6
98,9
99,1
100,10
101,2
102,8
103,8
104,10
105,6
106,8
107,1
108,1
109,6
110,6
111,8
112,9
113,3
114,1
115,2
116,10
117,7
118,7
119,3
120,7
121,7
122,5
123,2
124,9
125,4
126,8
127,8
128,8
129,1
130,10
131,6
132,7
133,10
134,7
135,8
136,10
137,9
138,5
139,4
140,2
141,1
142,8
143,10
144,8
145,9
146,9
147,2
148,3
149,10
150,7
151,4
152,4
153,10
154,9
155,6
156,5
157,7
158,10
159,2
160,2
161,1
162,8
163,5
164,9
165,5
166,1
167,8
168,5
169,10
170,8
171,4
172,6
173,7
174,10
175,4
176,8
177,4
178,5
179,9
180,1
181,3
182,1
183,2
184,9
185,9
186,6
187,8
188,10
189,7
190,6
191,10
192,8
193,9
194,10
195,5
196,4
197,8
198,5
199,2
200,7
201,3
202,8
203,2
204,6
205,4
206,10
207,3
208,9
209,9
210,9
211,8
212,9
213,8
214,10
215,5
216,10
217,6
218,3
219,7
220,9
221,10
222,5
223,4
224,2
225,3
226,2
227,10
228,8
229,2
230,10
231,9
232,9
233,9
234,8
235,9
236,10
237,4
238,5
239,7
240,3
241,8
242,9
243,6
244,8
245,4
246,5
247,3
248,2
249,3
250,10
251,1
252,3
253,3
254,7
255,8
256,1
257,7
258,10
259,2
260,7
261,8
262,8
263,2
264,7
265,8
266,3
267,8
268,4
269,1
270,6
271,2
272,3
273,1
274,3
275,10
276,6
277,6
278,3
279,5
280,4
281,4
282,9
283,1
284,5
285,8
286,2
287,1
288,4
289,2
290,9
291,1
292,7
293,3
294,10
295,1
296,6
297,4
298,6
299,2
300,9
301,6
302,10
303,10
304,3
305,3
306,3
307,6
308,8
309,7
310,4
311,7
312,10
313,9
314,4
315,3
316,1
317,3
318,6
319,3
320,8
321,7
322,2
323,9
324,6
325,4
326,3
327,7
328,7
329,9
330,3
331,4
332,5
333,7
334,2
335,10
336,9
337,8
338,3
339,7
340,3
341,2
342,1
343,9
344,8
345,7
346,1
347,1
348,4
349,4
350,1
351,10
352,9
353,10
354,4
355,1
356,10
357,4
358,2
359,8
360,2
361,7
362,7
363,5
364,7
365,9
366,5
367,3
368,10
369,10
370,6
371,7
372,6
373,1
374,2
375,2
376,1
377,3
378,9
379,5
380,4
381,2
382,10
383,4
384,4
385,2
386,6
387,7
388,2
389,9
390,5
391,7
392,8
393,5
394,2
395,2
396,10
397,6
398,10
399,2
400,9
401,5
402,8
403,1
404,5
405,10
406,9
407,4
408,5
409,7
410,8
411,6
412,8
413,9
414,10
415,3
416,6
417,6
418,8
419,1
420,3
421,5
422,5
423,3
424,2
425,8
426,3
427,6
428,1
429,4
430,8
431,9
432,6
433,5
434,6
435,10
436,3
437,9
438,1
439,10
440,3
441,3
442,8
443,2
444,1
445,1
446,8
447,3
448,10
449,4
450,6
451,1
452,7
453,7
454,9
455,1
456,10
457,4
458,6
459,4
460,9
461,6
462,9
463,3
464,3
465,6
466,6
467,2
468,5
469,7
470,6
471,2
472,6
473,5
474,3
475,10
476,4
477,3
478,10
479,4
480,7
481,5
482,3
483,1
484,7
485,9
486,8
487,9
488,7
489,2
490,8
491,8
492,6
493,1
494,1
495,5
496,8
497,3
498,7
499,1
500,1
501,1
502,3
503,9
504,5
505,4
506,2
507,6
508,10
509,5
510,3
511,5
512,3
513,8
514,9
515,5
516,2
517,9
518,5
519,7
520,1
521,6
522,2
523,7
524,10
525,3
526,9
527,7
528,2
529,4
530,9
531,1
532,1
533,7
534,1
535,4
536,8
537,10
538,8
539,9
540,6
541,8
542,9
543,2
544,1
545,4
546,8
547,1
548,3
549,8
550,2
551,5
552,3
553,2
554,6
555,10
556,4
557,10
558,9
559,1
560,1
561,1
562,7
563,5
564,9
565,4
566,3
567,10
568,5
569,8
570,9
571,3
572,10
573,5
574,5
575,6
576,6
577,6
578,4
579,4
580,9
581,9
582,3
583,6
584,10
585,8
586,5
587,6
588,7
589,1
590,1
591,2
592,2
593,2
594,7
595,10
596,7
597,10
598,10
599,9
600,7
601,8
602,10
603,7
604,1
605,7
606,10
607,10
608,6
609,1
610,1
611,5
612,5
613,2
614,1
615,1
616,2
617,5
618,10
619,5
620,8
621,1
622,10
623,7
624,9
625,10
626,7
627,8
