,CV
0,9
1,10
2,6
3,7
4,6
5,4
6,8
7,9
8,9
9,2
10,3
11,2
12,1
13,2
14,8
15,6
16,3
17,10
18,5
19,6
20,5
21,7
22,1
23,6
24,2
25,7
26,4
27,4
28,7
29,5
30,4
31,1
32,9
33,10
34,7
35,6
36,8
37,8
38,10
39,9
40,10
41,1
42,7
43,9
44,7
45,2
46,10
47,4
48,3
49,3
50,3
51,10
52,8
53,2
54,3
55,4
56,9
57,8
58,5
59,3
60,10
61,6
62,5
63,7
64,10
65,10
66,9
67,5
68,3
69,6
70,9
71,5
72,6
73,1
74,2
75,8
76,7
77,9
78,1
79,4
80,7
81,7
82,3
83,6
84,2
85,6
86,1
87,2
88,9
89,8
90,7
91,3
92,4
93,5
94,1
95,5
96,4
97,7
98,8
99,8
100,4
101,1
102,10
103,1
104,10
105,3
106,1
107,5
108,4
109,10
110,8
111,3
112,3
113,10
114,7
115,1
116,8
117,10
118,6
119,3
120,5
121,4
122,3
123,8
124,7
125,5
126,10
127,6
128,5
129,8
130,4
131,6
132,8
133,10
134,2
135,7
136,2
137,3
138,1
139,8
140,9
141,6
142,1
143,9
144,2
145,4
146,1
147,2
148,8
149,8
150,5
151,2
152,5
153,1
154,10
155,4
156,9
157,7
158,2
159,6
160,6
161,8
162,2
163,9
164,6
165,1
166,5
167,5
168,9
169,6
170,3
171,9
172,5
173,3
174,3
175,4
176,7
177,3
178,6
179,1
180,3
181,9
182,9
183,6
184,7
185,2
186,6
187,6
188,4
189,9
190,9
191,8
192,10
193,8
194,1
195,7
196,7
197,4
198,7
199,5
200,5
201,2
202,8
203,4
204,1
205,4
206,8
207,10
208,1
209,3
210,8
211,8
212,1
213,8
214,1
215,1
216,6
217,6
218,6
219,10
220,2
221,7
222,3
223,10
224,6
225,3
226,7
227,9
228,2
229,6
230,4
231,10
232,2
233,9
234,3
235,2
236,5
237,4
238,5
239,2
240,4
241,7
242,5
243,10
244,7
245,7
246,4
247,2
248,5
249,2
250,4
251,4
252,1
253,7
254,5
255,10
256,1
257,8
258,1
259,4
260,5
261,8
262,5
263,3
264,3
265,2
266,6
267,3
268,2
269,9
270,4
271,4
272,3
273,5
274,9
275,2
276,5
277,8
278,9
279,7
280,1
281,9
282,9
283,1
284,9
285,2
