,CV
0,10
1,10
2,6
3,7
4,1
5,8
6,5
7,7
8,9
9,9
10,3
11,4
12,3
13,2
14,3
15,8
16,9
17,4
18,5
19,7
20,6
21,7
22,6
23,1
24,2
25,9
26,3
27,7
28,5
29,5
30,4
31,1
32,7
33,6
34,2
35,5
36,6
37,10
38,2
39,8
40,8
41,10
42,9
43,6
44,2
45,7
46,8
47,3
48,7
49,3
50,2
51,10
52,9
53,10
54,4
55,4
56,4
57,5
58,1
59,3
60,7
61,8
62,1
63,5
64,10
65,2
66,5
67,2
68,1
69,6
70,4
71,1
72,8
73,6
74,10
75,10
76,10
77,10
78,9
79,7
80,4
81,9
82,7
83,5
84,3
85,2
86,9
87,10
88,6
89,7
90,5
91,6
92,8
93,7
94,1
95,3
96,10
97,3
98,6
99,2
100,10
101,7
102,2
103,1
104,10
105,4
106,7
107,10
108,5
109,7
110,2
111,6
112,2
113,10
114,8
115,10
116,8
117,8
118,5
119,5
120,8
121,2
122,1
123,8
124,10
125,4
126,4
127,8
128,5
129,9
130,2
131,2
132,8
133,5
134,8
135,9
136,8
137,8
138,8
139,6
140,4
141,5
142,5
143,7
144,9
145,1
146,10
147,10
148,9
149,3
150,4
151,3
152,2
153,9
154,10
155,3
156,9
157,1
158,6
159,5
160,6
161,9
162,5
163,4
164,7
165,3
166,9
167,3
168,2
169,9
170,9
171,5
172,4
173,6
174,3
175,5
176,8
177,2
178,3
179,1
180,9
181,1
182,4
183,5
184,5
185,10
186,8
187,7
188,4
189,8
190,4
191,7
192,9
193,7
194,6
195,2
196,4
197,3
198,8
199,10
200,4
201,9
202,6
203,7
204,5
205,10
206,9
207,7
208,4
209,1
210,9
211,6
212,2
213,2
214,8
215,6
216,7
217,7
218,5
219,3
220,9
221,6
222,7
223,1
224,4
225,6
226,7
227,9
228,8
229,10
230,2
231,6
232,6
233,1
234,7
235,8
236,8
237,10
238,6
239,1
240,8
241,2
242,9
243,6
244,10
245,6
246,7
247,5
248,1
249,5
250,4
251,10
252,6
253,1
254,5
255,9
256,8
257,1
258,8
259,4
260,10
261,3
262,3
263,5
264,4
265,3
266,1
267,3
268,7
269,6
270,1
271,2
272,8
273,2
274,2
275,5
276,6
277,4
278,3
279,5
280,3
281,10
282,9
283,4
284,2
285,1
286,6
287,4
288,1
289,1
290,4
291,7
292,10
293,1
294,4
295,3
296,5
297,2
298,3
299,6
300,2
301,3
302,4
303,3
304,1
305,1
306,3
307,7
308,8
309,10
310,1
311,4
312,9
313,9
314,3
315,2
316,1
317,1
318,2
319,10
320,10
321,9
322,3
