,CV
0,10
1,1
2,2
3,4
4,1
5,6
6,2
7,3
8,4
9,8
10,1
11,2
12,9
13,4
14,6
15,1
16,5
17,10
18,6
19,2
20,1
21,8
22,5
23,8
24,1
25,3
26,2
27,7
28,9
29,7
30,1
31,9
32,2
33,3
34,8
35,8
36,1
37,10
38,2
39,3
40,10
41,4
42,10
43,4
44,1
45,2
46,4
47,1
48,3
49,3
50,5
51,3
52,5
53,9
54,2
55,7
56,4
57,2
58,5
59,1
60,6
61,9
62,6
63,3
64,1
65,4
66,1
67,3
68,10
69,1
70,9
71,3
72,7
73,2
74,1
75,3
76,9
77,7
78,1
79,5
80,6
81,7
82,4
83,7
84,9
85,2
86,3
87,1
88,3
89,7
90,9
91,3
92,4
93,1
94,3
95,7
96,6
97,5
98,8
99,3
100,3
101,10
102,7
103,7
104,8
105,2
106,4
107,8
108,5
109,9
110,4
111,2
112,8
113,1
114,4
115,3
116,10
117,10
118,5
119,7
120,8
121,1
122,1
123,7
124,5
125,6
126,1
127,2
128,10
129,8
130,8
131,9
132,2
133,6
134,8
135,5
136,8
137,10
138,3
139,4
140,6
141,6
142,2
143,2
144,4
145,3
146,7
147,7
148,2
149,9
150,9
151,7
152,7
153,4
154,6
155,10
156,8
157,6
158,1
159,10
160,7
161,1
162,4
163,3
164,8
165,10
166,10
167,9
168,5
169,4
170,8
171,7
172,8
173,7
174,5
175,8
176,10
177,10
178,5
179,7
180,2
181,1
182,8
183,9
184,9
185,6
186,4
187,7
188,3
189,7
190,8
191,8
192,6
193,10
194,4
195,9
196,8
197,6
198,9
199,7
200,4
201,1
202,8
203,8
204,9
205,9
206,3
207,2
208,3
209,9
210,8
211,8
212,5
213,1
214,9
215,4
216,9
217,7
218,6
219,1
220,9
221,8
222,5
223,10
224,6
225,4
226,6
227,7
228,1
229,10
230,4
231,1
232,1
233,3
234,5
235,8
236,10
237,6
238,4
239,6
240,1
241,8
242,9
243,9
244,7
245,1
246,1
247,2
248,9
249,9
250,9
251,1
252,7
253,6
254,2
255,8
256,1
257,9
258,5
259,10
260,6
261,5
262,10
263,3
264,2
265,9
266,6
267,2
268,2
269,4
270,4
271,7
272,7
273,1
274,10
275,8
276,9
277,2
278,8
279,9
280,7
281,4
282,2
283,4
284,10
285,2
286,2
287,5
288,2
289,9
290,6
291,8
292,2
293,2
294,4
295,9
296,7
297,10
298,3
299,6
300,10
301,4
302,8
303,3
304,4
305,7
306,3
307,9
308,6
309,9
310,2
311,5
312,8
313,10
314,5
315,6
316,8
317,10
318,2
319,7
320,4
321,10
322,10
323,1
324,8
325,9
326,5
327,8
328,8
329,3
330,9
331,3
332,4
333,10
334,9
335,5
336,2
337,5
338,4
339,2
340,1
341,1
342,9
343,7
344,10
345,6
346,5
347,8
348,6
349,1
350,10
351,3
352,3
353,8
354,9
355,10
356,4
357,5
358,10
359,1
360,3
361,5
362,5
363,9
364,8
365,4
366,7
367,7
368,2
369,1
370,10
371,3
372,1
373,4
374,8
375,6
376,10
377,2
378,8
379,10
380,2
381,4
382,3
383,8
384,9
385,2
386,4
387,8
388,10
389,5
390,1
391,1
392,10
393,10
394,1
395,9
396,2
397,10
398,4
399,4
400,9
401,3
402,6
403,8
404,4
405,10
406,2
407,6
408,10
409,10
410,6
411,6
412,7
413,6
414,9
415,5
416,2
417,3
418,1
419,7
420,1
421,6
422,3
423,7
424,5
425,8
426,8
427,5
428,4
429,4
430,3
431,3
432,10
433,3
434,3
435,8
436,5
437,5
438,3
439,2
440,2
441,10
442,7
443,2
444,7
445,10
446,2
447,9
448,5
449,10
450,2
451,6
452,7
453,3
454,3
455,10
456,1
457,4
458,1
459,2
460,9
461,3
462,10
463,10
464,10
465,6
466,7
467,5
468,5
469,7
470,3
471,1
472,2
473,9
474,4
475,10
476,1
477,5
478,4
479,9
480,7
481,3
482,10
483,7
484,1
485,2
486,2
487,3
488,9
489,1
490,3
491,7
492,5
493,7
494,5
495,9
496,1
497,2
498,1
499,4
500,4
501,3
502,9
503,4
504,4
505,3
506,6
507,5
508,7
509,7
510,6
511,8
512,3
513,2
514,1
515,7
516,5
517,5
518,4
519,3
520,6
521,2
522,6
523,10
524,4
525,3
526,10
527,4
528,10
529,7
530,8
531,6
532,8
533,9
534,3
535,6
536,3
537,7
538,4
539,9
540,2
541,9
542,4
543,10
544,7
545,10
546,2
547,2
548,10
549,3
550,6
551,6
552,1
553,9
554,9
555,9
556,6
557,2
558,5
559,1
560,1
561,1
562,8
563,3
564,8
565,7
566,7
567,6
568,3
569,2
570,5
571,10
572,4
573,7
574,8
575,6
576,8
577,8
578,8
579,6
580,5
581,8
582,9
583,5
584,7
585,4
586,3
587,5
588,6
589,9
590,9
591,3
592,2
593,6
594,4
595,7
596,7
597,3
598,9
599,4
600,5
601,9
602,1
603,5
604,1
605,1
606,10
607,1
608,2
609,1
610,5
611,5
612,3
613,5
614,9
615,4
616,1
617,6
618,4
619,7
620,2
621,7
622,9
623,10
624,7
625,5
626,5
627,6
628,2
629,3
630,10
631,4
632,1
633,5
634,9
635,7
636,9
637,8
638,4
639,10
640,10
641,3
642,2
643,4
644,10
645,5
646,10
647,4
648,4
649,5
650,10
651,8
652,5
653,1
654,1
655,8
656,8
657,10
658,8
659,8
660,2
661,9
662,6
663,1
664,3
665,1
666,6
667,6
668,10
669,10
670,10
671,4
672,2
673,9
674,6
675,2
676,7
677,4
678,10
679,9
680,6
681,2
682,5
683,6
684,1
685,10
686,3
687,6
688,6
689,10
690,6
691,7
692,4
693,8
694,9
695,5
696,5
697,4
698,10
699,6
700,2
701,7
702,10
703,7
704,1
705,5
706,6
707,4
708,5
709,8
710,4
711,3
712,4
713,1
714,1
715,5
716,7
717,8
718,3
719,9
720,2
721,9
722,2
723,7
724,10
725,8
726,1
727,9
728,1
729,2
730,9
731,6
732,2
733,2
734,10
735,10
736,5
737,6
738,1
739,10
740,8
741,8
742,9
743,1
744,2
745,8
746,2
747,8
748,3
749,7
750,6
751,1
752,2
753,1
754,5
755,5
756,10
757,3
758,4
759,6
760,4
761,9
762,1
763,8
764,8
765,3
766,9
767,2
768,1
769,10
770,9
771,5
772,5
773,2
774,3
775,3
776,3
777,10
778,3
779,8
780,8
781,8
782,3
783,10
784,2
785,2
786,9
787,3
788,3
789,7
790,10
791,8
792,9
793,5
794,3
795,5
796,8
797,3
798,1
799,6
800,10
801,7
802,2
803,1
804,7
805,5
806,7
807,3
808,7
809,5
810,3
811,10
812,8
813,1
814,8
815,10
816,2
817,6
818,4
819,5
820,1
821,7
822,8
823,2
824,7
825,4
826,10
827,2
828,2
829,1
830,4
831,4
832,3
833,2
834,5
835,6
836,5
837,7
838,2
839,5
840,7
841,8
842,6
843,2
844,4
845,1
846,5
847,9
848,6
849,6
850,6
851,6
852,7
853,10
854,10
855,2
856,2
857,1
858,1
859,4
860,5
861,8
862,4
863,9
864,3
865,9
866,9
867,2
868,8
869,9
870,3
871,8
872,9
873,4
874,7
875,7
876,6
877,4
878,3
879,8
880,2
881,10
882,7
883,2
884,4
885,1
886,6
887,4
888,4
889,1
890,7
891,5
892,4
893,5
894,10
895,5
896,4
897,8
898,9
899,6
900,6
901,6
902,3
903,8
904,10
905,7
906,10
907,7
908,7
909,3
910,10
911,1
912,2
913,10
914,2
915,1
916,8
917,7
918,7
919,10
920,5
921,3
922,2
923,7
924,4
925,3
926,5
927,5
928,4
929,7
930,8
931,7
932,10
933,4
934,5
935,3
936,10
937,5
938,7
939,3
940,5
941,7
942,2
943,7
944,10
945,8
946,4
947,5
948,3
949,10
950,3
951,5
952,8
953,9
954,1
955,4
956,2
957,5
958,10
959,3
960,3
961,6
962,1
963,5
964,10
965,2
966,4
967,8
968,3
969,2
970,3
971,2
972,10
973,7
974,1
975,10
976,4
977,10
978,7
979,7
980,3
981,5
982,6
983,4
984,4
985,4
986,4
987,6
988,5
989,9
990,7
991,3
992,2
993,2
994,1
995,9
996,7
997,1
998,9
999,6
1000,5
1001,7
1002,6
1003,6
1004,3
1005,1
1006,2
1007,2
1008,5
1009,10
1010,5
1011,6
1012,5
1013,1
1014,2
1015,2
1016,1
1017,5
1018,4
1019,7
1020,2
1021,4
1022,5
1023,7
1024,8
1025,7
1026,3
1027,1
1028,5
1029,6
1030,3
1031,9
1032,9
1033,10
1034,10
1035,10
1036,10
1037,2
1038,4
1039,7
1040,8
1041,5
1042,4
1043,7
1044,9
1045,9
1046,5
1047,3
1048,7
1049,8
1050,10
1051,9
1052,8
1053,10
1054,9
1055,10
1056,7
1057,10
1058,4
1059,4
1060,2
1061,4
1062,10
1063,6
1064,4
1065,4
1066,8
1067,9
1068,8
1069,4
1070,7
1071,6
1072,9
1073,10
1074,4
1075,7
1076,1
1077,10
1078,4
1079,8
1080,2
1081,1
1082,1
1083,7
1084,2
1085,8
1086,6
1087,8
1088,4
1089,7
1090,3
1091,7
1092,9
1093,4
1094,3
1095,9
1096,10
1097,4
1098,1
1099,4
1100,6
1101,2
1102,2
1103,4
1104,7
1105,10
1106,9
1107,8
1108,7
1109,8
1110,8
1111,4
1112,3
1113,7
1114,1
1115,9
1116,6
1117,3
1118,10
1119,6
1120,8
1121,1
1122,4
1123,8
1124,9
1125,2
1126,5
1127,5
1128,3
1129,2
1130,4
1131,8
1132,6
1133,7
1134,6
1135,9
1136,8
1137,2
1138,6
1139,8
1140,3
1141,5
1142,2
1143,3
1144,9
1145,9
1146,2
1147,10
1148,1
1149,1
1150,9
1151,3
1152,5
1153,10
1154,9
1155,6
1156,7
1157,7
1158,8
1159,8
1160,8
1161,4
1162,3
1163,1
1164,9
1165,6
1166,4
1167,1
1168,3
1169,3
1170,9
1171,8
1172,4
1173,10
1174,7
1175,8
1176,1
1177,7
1178,5
1179,4
1180,10
1181,10
1182,9
1183,9
1184,1
1185,3
1186,4
1187,2
1188,5
1189,6
1190,9
1191,6
1192,10
1193,9
1194,6
1195,9
1196,7
1197,2
1198,3
1199,7
1200,1
1201,1
1202,4
1203,7
1204,6
1205,5
1206,3
1207,9
1208,4
1209,9
1210,4
1211,3
1212,1
1213,4
1214,3
1215,5
1216,7
1217,6
1218,2
1219,3
1220,3
1221,5
1222,3
1223,6
1224,4
1225,9
1226,6
1227,6
1228,7
1229,8
1230,6
1231,10
1232,7
1233,3
1234,10
1235,2
1236,2
1237,10
1238,8
1239,3
1240,3
1241,2
1242,7
1243,3
1244,5
1245,5
1246,3
1247,2
1248,5
1249,6
1250,4
1251,4
1252,7
1253,9
1254,10
1255,9
1256,2
1257,6
1258,4
1259,1
1260,9
1261,3
1262,6
1263,6
1264,7
1265,3
1266,4
1267,6
1268,6
1269,5
1270,1
1271,1
1272,4
1273,5
1274,6
1275,5
1276,3
1277,2
1278,4
1279,6
1280,6
1281,2
1282,4
1283,7
1284,8
1285,6
1286,3
1287,1
1288,8
1289,8
1290,2
1291,1
1292,1
1293,5
1294,8
1295,2
1296,9
1297,7
1298,3
1299,9
1300,10
1301,7
1302,1
1303,9
1304,5
1305,5
1306,9
1307,4
1308,5
1309,2
1310,4
1311,4
1312,5
1313,8
1314,9
1315,9
1316,7
1317,2
1318,4
1319,8
1320,2
1321,7
1322,6
1323,1
1324,7
1325,9
1326,6
1327,7
1328,10
1329,2
1330,4
1331,7
1332,7
1333,1
1334,7
1335,1
1336,6
1337,4
1338,3
1339,1
1340,6
1341,5
1342,3
1343,3
1344,2
1345,6
1346,1
1347,5
1348,2
1349,3
1350,6
1351,3
1352,1
1353,8
1354,8
1355,2
1356,7
1357,3
1358,4
1359,9
1360,6
1361,5
1362,1
1363,1
1364,4
1365,6
1366,4
1367,3
1368,2
1369,6
1370,7
1371,8
1372,1
1373,5
1374,10
1375,1
1376,6
1377,6
1378,4
1379,7
1380,1
1381,4
1382,8
1383,10
1384,4
1385,6
1386,4
1387,5
1388,3
1389,6
1390,3
1391,5
1392,2
1393,4
1394,3
1395,9
1396,6
1397,4
1398,10
1399,9
1400,8
1401,6
1402,3
1403,10
1404,4
1405,8
1406,6
1407,7
1408,3
1409,8
1410,2
1411,8
1412,1
1413,8
1414,9
1415,5
1416,2
1417,9
1418,10
1419,7
1420,3
1421,4
1422,10
1423,1
1424,6
1425,1
1426,2
1427,5
1428,5
1429,2
1430,10
1431,2
1432,7
1433,2
1434,2
1435,5
1436,10
1437,2
1438,1
1439,8
1440,8
1441,8
1442,5
1443,8
1444,1
1445,10
1446,5
1447,2
1448,10
1449,9
1450,2
1451,9
1452,6
1453,6
1454,7
1455,4
1456,9
1457,4
1458,7
1459,9
1460,6
1461,1
1462,5
1463,4
1464,3
1465,10
1466,1
1467,3
1468,1
1469,4
1470,1
1471,5
1472,9
1473,2
1474,9
1475,5
1476,10
1477,9
1478,9
1479,5
1480,9
1481,6
1482,8
1483,2
1484,4
1485,6
1486,8
1487,2
1488,8
1489,3
1490,10
1491,7
1492,6
1493,4
1494,6
1495,2
1496,7
1497,10
1498,8
1499,6
1500,5
1501,2
1502,1
1503,10
1504,9
1505,4
1506,3
1507,7
1508,3
1509,9
1510,7
1511,5
1512,7
1513,4
1514,5
1515,8
1516,5
1517,8
1518,7
1519,2
1520,5
1521,2
1522,6
1523,5
1524,9
1525,5
1526,1
1527,9
1528,9
1529,8
1530,8
1531,5
1532,5
1533,4
1534,9
1535,7
1536,1
1537,9
1538,5
1539,4
1540,4
1541,6
1542,1
1543,2
1544,3
1545,2
1546,1
1547,5
1548,6
1549,8
1550,5
1551,2
1552,6
1553,3
1554,2
1555,2
1556,10
1557,9
1558,10
1559,5
1560,10
1561,7
1562,4
1563,3
1564,9
1565,2
1566,2
1567,10
1568,7
1569,2
1570,2
1571,3
1572,1
1573,4
1574,6
1575,6
1576,4
1577,7
1578,1
1579,2
1580,5
1581,3
1582,1
1583,6
1584,10
1585,6
1586,10
1587,2
1588,2
1589,6
1590,8
1591,4
1592,5
1593,1
1594,5
1595,1
1596,8
1597,2
1598,9
1599,3
1600,7
1601,6
1602,5
1603,10
1604,9
1605,2
1606,7
1607,10
1608,5
1609,5
1610,5
1611,1
1612,9
1613,8
1614,6
1615,10
1616,8
1617,10
1618,1
1619,10
1620,2
1621,8
1622,1
1623,1
1624,3
1625,2
1626,9
1627,5
1628,7
1629,4
1630,1
1631,9
1632,6
1633,5
1634,9
1635,10
1636,3
1637,1
1638,5
1639,10
1640,10
1641,8
1642,8
1643,5
1644,8
1645,2
1646,5
1647,10
1648,2
1649,9
1650,9
1651,8
1652,10
1653,7
1654,8
1655,3
1656,7
1657,1
1658,10
1659,6
1660,8
1661,10
1662,1
1663,8
1664,8
1665,6
1666,9
1667,2
1668,8
1669,7
1670,10
1671,5
1672,5
1673,1
1674,7
1675,6
1676,4
1677,8
1678,4
