,CV
0,5
1,6
2,10
3,7
4,8
5,6
6,1
7,9
8,1
9,7
10,1
11,2
12,4
13,2
14,1
15,5
16,8
17,6
18,2
19,7
20,8
21,3
22,5
23,7
24,2
25,10
26,1
27,7
28,9
29,3
30,2
31,9
32,8
33,1
34,7
35,4
36,7
37,2
38,5
39,9
40,5
41,1
42,8
43,2
44,5
45,9
46,6
47,5
48,2
49,9
50,6
51,1
52,3
53,2
54,7
55,3
56,4
57,4
58,3
59,2
60,9
61,4
62,4
63,3
64,7
65,3
66,9
67,1
68,5
69,6
70,3
71,5
72,4
73,6
74,3
75,4
76,2
77,6
78,5
79,7
80,4
81,7
82,6
83,5
84,1
85,8
86,5
87,10
88,9
89,6
90,1
91,9
92,7
93,4
94,7
95,10
96,3
97,1
98,7
99,1
100,5
101,7
102,2
103,2
104,3
105,7
106,7
107,5
108,6
109,1
110,8
111,9
112,5
113,2
114,8
115,10
116,7
117,8
118,5
119,1
120,7
121,7
122,2
123,2
124,2
125,8
126,9
127,5
128,1
129,5
130,3
131,7
132,3
133,10
134,3
135,2
136,4
137,4
138,6
139,10
140,9
141,3
142,3
143,1
144,3
145,2
146,8
147,6
148,2
149,8
150,9
151,8
152,3
153,8
154,8
155,5
156,4
157,5
158,3
159,8
160,2
161,9
162,7
163,7
164,1
165,4
166,6
167,4
168,9
169,7
170,9
171,7
172,5
173,4
174,3
175,9
176,5
177,7
178,4
179,9
180,1
181,4
182,7
183,3
184,5
185,1
186,7
187,4
188,5
189,1
190,5
191,3
192,3
193,5
194,7
195,8
196,1
197,3
198,9
199,8
200,6
201,5
202,2
203,5
204,4
205,5
206,4
207,2
208,4
209,7
210,5
211,2
212,3
213,10
214,5
215,5
216,9
217,8
218,2
219,7
220,10
221,4
222,4
223,8
224,9
225,9
226,1
227,9
228,6
229,9
230,6
231,1
232,1
233,9
234,8
235,5
236,7
237,5
238,5
239,1
240,3
241,6
242,1
243,9
244,6
245,2
246,6
247,9
248,8
249,4
250,8
251,10
252,7
253,5
254,5
255,6
256,2
257,6
258,6
259,2
260,10
261,1
262,4
263,8
264,3
265,1
266,9
267,8
268,2
269,10
270,7
271,2
272,7
273,7
274,8
275,6
276,1
277,7
278,9
279,5
280,7
281,8
282,3
283,7
284,5
285,4
286,1
287,3
288,4
289,8
290,3
291,1
292,8
293,2
294,3
295,7
296,9
297,9
298,7
299,7
300,9
301,5
302,3
303,9
304,1
305,1
306,9
307,9
308,3
309,6
310,10
311,7
312,7
313,7
314,8
315,4
316,5
317,6
318,6
319,9
320,2
321,9
322,7
323,10
324,5
325,4
326,8
327,10
328,4
329,9
330,7
331,9
332,4
333,4
334,2
335,8
336,5
337,8
338,1
339,2
340,10
341,7
342,1
343,10
344,10
345,2
346,9
347,3
348,2
349,9
350,8
351,9
352,7
353,10
354,9
355,9
356,1
357,5
358,5
359,1
360,5
361,1
362,7
363,9
364,7
365,3
366,7
367,2
368,8
369,4
370,1
371,6
372,5
373,2
374,4
