Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.8080053994426584,0.8080053994426584,0.8080053994426584,0.8080053994426584,NA,NA,0.43365504873803074,0.24056979711528323,0.28043122423496386,0.2535411038994107,0.8568297991435523,0.1831358240689875,NA,NA
3,0.5830743055254748,0.5830743055254748,0.5830743055254748,0.5830743055254748,NA,NA,0.40340935638175396,0.1631507388321392,0.31110155429320135,0.23534466323049322,0.7905736045844061,0.13364305123880565,NA,NA
4,0.5442183118388111,0.5442183118388111,0.5442183118388111,0.5442183118388111,NA,NA,0.41734740832455,0.1584146913174315,0.329340775078081,0.21894401906365543,0.7435702062794336,0.14331628890313014,NA,NA
5,0.5386393116354394,0.5386393116354394,0.5386393116354394,0.5386393116354394,NA,NA,0.4455825510047358,0.14917888579380784,0.31674851002548127,0.1910505130579186,0.7316326091104524,0.14576970121594696,NA,NA
6,0.5908794556543818,0.5908794556543818,0.5908794556543818,0.5908794556543818,NA,NA,0.5118024619727103,0.14957668172153923,0.29280727889061753,0.17621334395533084,0.7199229665397084,0.15597679844589896,NA,NA
7,0.5555208143446719,0.5555208143446719,0.5555208143446719,0.5555208143446719,NA,NA,0.525312707506731,0.13796932841129347,0.29441902287421035,0.1757846661136142,0.7442856257114289,0.15675657790485478,NA,NA
8,0.5198480308186545,0.5198480308186545,0.5198480308186545,0.5198480308186545,NA,NA,0.562140357897113,0.126878275015192,0.2933700405282445,0.15951086728111513,0.7674567247906947,0.16634097508073836,0.9209169076667555,0.1821078687144839
9,0.5471877384060341,0.5471877384060341,0.5471877384060341,0.5471877384060341,NA,NA,0.5978951915682713,0.11796763936198217,0.32387284337408817,0.16490517636583815,0.8118717869936155,0.18198313207433398,NA,NA
10,0.5221498006310029,0.5221498006310029,0.5221498006310029,0.5221498006310029,NA,NA,0.6203533539598164,0.11316404402146131,0.32762455511807187,0.15523830061183527,0.8060009913040889,0.1794421225436936,0.8193072672665588,0.18517506868538158
11,0.572577449126547,0.572577449126547,0.572577449126547,0.572577449126547,NA,NA,0.6532683418585614,0.11677547045843252,0.33887958489414316,0.1431667034850019,0.8183566198677232,0.19754992537618574,0.7226596702546599,0.1989473284346287
12,0.564482801166575,0.564482801166575,0.559999789540039,0.559999789540039,0.8293094495613001,0.20468970192288496,0.7028828668917294,0.10840615483105999,0.34494543943777256,0.13503023832670114,0.8355274231668293,0.19749038434332045,0.6244510323678298,0.14131600829760263
13,0.5710111540675478,0.5710111540675478,0.5425242400439054,0.5425242400439054,NA,NA,0.741800263140264,0.10476376301590547,0.4013651919447725,0.1390226259520591,0.8181398882619721,0.19333281749161846,NA,NA
14,0.5606046636409208,0.5606046636409208,0.5272894928397761,0.5272894928397761,NA,NA,0.7758780231753508,0.09211004472787551,0.4079924692639155,0.1369429928797119,0.7951655150352993,0.18790379444831903,NA,NA
15,0.5941367923788905,0.5941367923788905,0.5138557624749891,0.5138557624749891,NA,NA,0.8130269996431966,0.0830699028450205,0.4325710485450456,0.15829043041437477,0.7790207305811432,0.17855172315268283,NA,NA
16,0.5803068616625247,0.5803068616625247,0.5018945614781949,0.5018945614781949,NA,NA,0.8493330324250022,0.08000169510920838,0.4345555118018601,0.15832491496328044,0.7782979058086007,0.16912221113520579,NA,NA
17,0.6849797016909938,0.6849797016909938,0.4911551062073188,0.4911551062073188,NA,NA,0.8789921924819756,0.07067161193597621,0.4717768410256658,0.16416107690414097,0.7668865299590358,0.16324346762835693,0.806825918561586,0.17631896227068897
18,0.7517210006364041,0.7517210006364041,0.4814422909808663,0.4814422909808663,NA,NA,0.9081933490740368,0.05733826465722431,0.5568785353550088,0.16530525816717578,0.7517210006364041,0.16001525393789326,0.766452497989502,0.16056071061579016
19,0.753050963987729,0.753050963987729,0.472601813368829,0.472601813368829,NA,NA,0.94346230803073206,0.04084699103652943,0.6441672316294519,0.16346949756374407,0.7530509639877289,0.15933494980589855,0.8411368116228972,0.19972416419170363
20,0.7438757117045246,0.7438757117045246,0.4645098673177025,0.4645098673177025,NA,NA,0.9758738278325295,3.387607712450221e-16,0.7438757117045247,0.16114841627533164,0.7438757117045247,0.16114841627533164,0.9945546305416243,0.20477198424454274
