Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.6454429511527033,0.6454429511527033,0.6454429511527033,0.6454429511527033,NA,NA,0.6105091368257434,0.1575306631291813,0.46489139975972765,0.08679081381640807,0.987227804336318,0.02745567693322721,NA,NA
3,0.5934658397917003,0.5934658397917003,0.5934658397917003,0.5934658397917003,NA,NA,0.5799790241635466,0.11345832898109406,0.5464890437937897,0.06423946307395632,0.8791416670547414,0.039785397876762316,NA,NA
4,0.5833579587141012,0.5833579587141012,0.5833579587141012,0.5833579587141012,NA,NA,0.6109737961442351,0.10404183253761627,0.5461297286837432,0.0697062778900782,0.8824572698227794,0.03464627056575504,NA,NA
5,0.6752961741533418,0.6752961741533418,0.6752961741533418,0.6752961741533418,NA,NA,0.6649608470951234,0.09231872930154383,0.5612931685628786,0.07450848362264681,0.9194335000028209,0.029885101657699083,NA,NA
6,0.7503514425114445,0.7503514425114445,0.7503514425114445,0.7503514425114445,NA,NA,0.708743453395852,0.09313380878042647,0.5589960871493302,0.0641198198492356,0.9480143370170927,0.028890754458544065,NA,NA
7,0.7741441503251956,0.7741441503251956,0.7741441503251956,0.7741441503251956,NA,NA,0.769841541988118,0.08105440520260436,0.5888904568603989,0.07613458670897244,0.9768110292833575,0.02813973251000226,NA,NA
8,0.851468822305592,0.851468822305592,0.851468822305592,0.851468822305592,NA,NA,0.8139314434502131,0.0669010974053616,0.6724886002625218,0.06987575294679588,0.9831622172437308,0.034582576117554505,NA,NA
9,0.8830560691333129,0.8830560691333129,0.8830560691333129,0.8830560691333129,NA,NA,0.8718438705973416,0.07136538308785764,0.7196640345728669,0.06891599115371147,0.998560312577008,0.04053088854377196,NA,NA
10,0.9515826120483515,0.9515826120483515,0.9515826120483515,0.9515826120483515,NA,NA,0.9251162249152002,0.055849431222830544,0.793014637814693,0.06774146905563867,1.0279102556029578,0.04343223250021753,NA,NA
11,0.9739546793486985,0.9739546793486985,0.9739546793486985,0.9739546793486985,NA,NA,0.9787382823856111,0.049391446684809666,0.8448051879549314,0.06408858077585307,1.0505133707081586,0.04880973615772228,NA,NA
12,1.0838978772309975,1.0838978772309975,1.0838978772309975,1.0838978772309975,NA,NA,1.0280633711892466,0.0461094470701938,0.9055392842742103,0.06118878051406014,1.0733575263206714,0.05195033844006903,NA,NA
13,1.0883665447964495,1.0883665447964495,1.0883665447964495,1.0883665447964495,NA,NA,1.083286384313778,0.03121531837623904,1.005841024939542,0.058197777855793824,1.099529993994364,0.05032088071437103,1.1370425291389115,0.04998692025496189
14,1.1132289469239165,1.1132289469239165,1.1132289469239165,1.1132289469239165,1.1132289469239165,0.055935131228150393,1.1333355709841602,2.2584051416334807e-16,1.1132289469239165,0.055935131228150393,1.1132289469239165,0.055935131228150393,1.1123877346892377,0.05549953856458017
