Cardinality,MIP_mean_entropy,MIP_std_entropy,TOPK_mean_entropy,TOPK_std_entropy,BP_mean_entropy,BP_std_entropy,RND_mean_entropy,RND_std_entropy,SB_mean_entropy,SB_std_entropy,SF_mean_entropy,SF_std_entropy,ICARUS_mean_entropy,ICARUS_std_entropy
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.4351676716305771,0.4351676716305771,0.4351676716305771,0.4351676716305771,NA,NA,0.4724816802839755,0.13853825342865264,0.4546483116081273,0.1382655078535699,0.8674342824523666,0.08303397624436054,NA,NA
3,0.43244733432015453,0.43244733432015453,0.43244733432015453,0.43244733432015453,NA,NA,0.4424176070391924,0.09404731322060851,0.4262627617938492,0.12500329670623564,0.7553075892866666,0.0647802844548936,NA,NA
4,0.4629278148503895,0.4629278148503895,0.4629278148503895,0.4629278148503895,NA,NA,0.45838766630488736,0.09040466164713427,0.4475095886164482,0.1290167956353297,0.732938517499012,0.06938004053941065,NA,NA
5,0.4930286097115496,0.4930286097115496,0.4930286097115496,0.4930286097115496,NA,NA,0.48988469092571074,0.08598820945490165,0.4684348697678986,0.1331629949249601,0.7450826946922127,0.07833547706617008,NA,NA
6,0.5156723514979833,0.5156723514979833,0.5156723514979833,0.5156723514979833,NA,NA,0.53791683980353,0.09258702278481372,0.514088794117284,0.1319631222979758,0.7742092730540744,0.07730962651219724,NA,NA
7,0.5433458331917324,0.5433458331917324,0.5433458331917324,0.5433458331917324,NA,NA,0.5648899595930477,0.08658358452565648,0.5567622591048383,0.13152834804400287,0.8098077769910033,0.08150043506546746,NA,NA
8,0.5657876227723033,0.5657876227723033,0.5657876227723033,0.5657876227723033,NA,NA,0.605503683370663,0.08603806036545278,0.6059884843996708,0.14000705901255223,0.8456522902886974,0.08947556965396511,NA,NA
9,0.5990639164135337,0.5990639164135337,0.5990639164135337,0.5990639164135337,NA,NA,0.6436694076833038,0.09002685000489367,0.6457216416552898,0.1452856232640978,0.8878204853373194,0.08349354657199387,NA,NA
10,0.6872769073146796,0.6872769073146796,0.6872769073146796,0.6872769073146796,NA,NA,0.6897020888476326,0.08593630189144733,0.678197333133399,0.14949794741695077,0.9232017608524004,0.08950019657077347,NA,NA
11,0.78384830407397,0.78384830407397,0.78384830407397,0.78384830407397,NA,NA,0.7192740669947738,0.09378184741718495,0.7127285991709018,0.14933991515111744,0.9534046425434024,0.0946393956238268,NA,NA
12,0.8792299498906448,0.8792299498906448,0.8792299498906448,0.8792299498906448,NA,NA,0.7615652957259951,0.08568382143414224,0.7381415355721758,0.15558797596194482,0.9907200783008607,0.10048794785311051,NA,NA
13,0.9150856011150147,0.9150856011150147,0.9150856011150147,0.9150856011150147,NA,NA,0.7989879131245029,0.08244569978199427,0.7784662411576142,0.1640019253940572,1.0293155277395794,0.10501387710581127,NA,NA
14,0.9531128746075962,0.9531128746075962,0.9531128746075962,0.9531128746075962,NA,NA,0.8541899572887125,0.08364396349996951,0.8215514218780875,0.17483584343975883,1.0683883346614744,0.10754980997702661,NA,NA
15,1.0067169545840495,1.0067169545840495,1.0067169545840495,1.0067169545840495,NA,NA,0.8792271411718482,0.08869244999911122,0.8519135287147156,0.18827553819592352,1.1023866208679456,0.11447433602104651,NA,NA
16,1.0387256870691561,1.0387256870691561,1.0387256870691561,1.0387256870691561,NA,NA,0.9184794797024938,0.08819904976866008,0.8874517036674833,0.19994330326448037,1.1339037179533946,0.11927750696455652,NA,NA
17,1.0737011850022788,1.0737011850022788,1.0737011850022788,1.0737011850022788,NA,NA,0.961561505223346,0.08165718245312249,0.9344386614978694,0.208990779853856,1.163366101991525,0.12726355881350732,NA,NA
18,1.1099338071895801,1.1099338071895801,1.1099338071895801,1.1099338071895801,NA,NA,1.0020170544077809,0.09140815602839275,0.9701741529259441,0.2125696289267682,1.2016708085151468,0.13353539259868957,NA,NA
19,1.1473001261220972,1.1473001261220972,1.1473001261220972,1.1473001261220972,NA,NA,1.0305579009059653,0.08306516755581542,1.0080315883658593,0.21794124150323466,1.2314125212375964,0.13587374463555157,NA,NA
20,1.1786990450424721,1.1786990450424721,1.1786990450424721,1.1786990450424721,NA,NA,1.0625459047148633,0.08988113604782813,1.0428173392034112,0.2190558771255997,1.262902997856499,0.1469054908337885,NA,NA
