Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,3014267435.1728883,5454670959.524934,2063946392.9481373,3889108258.975482,NA,NA,21189914926.63435,21880018354.152668,15257742639.893322,15887392302.624298,2143407828.8500187,3997711096.675653,NA,NA
2,49578901.05764122,79693357.14414485,22850752.216528237,10966889.379255382,NA,NA,4305846515.311221,6292736182.262669,3237322417.3736105,3164101307.65093,22850752.216528237,11560116.428519055,NA,NA
3,42745667.12389534,82052352.02877791,20071644.204675965,10098439.230744123,NA,NA,2060670802.643108,3379820944.5128894,3016734121.1659856,2574322843.875326,20069566.34310602,10648056.735678712,NA,NA
4,36812991.4604972,83691849.07985193,10929081.367654515,9123009.524074068,NA,NA,727302066.701659,1681321398.7568986,611554811.0341402,844340291.6086818,13826586.56674309,9834537.381254556,NA,NA
5,34841754.252832144,84456159.993801,8693060.793787222,8781054.560614305,NA,NA,272390111.84263563,454154379.97413725,40510686.798027955,68337617.78592978,7139741.702861621,8225833.6195097165,NA,NA
6,31655475.56134636,85126366.22889848,8693060.440788917,8781054.910075016,NA,NA,105990474.38750869,192134267.88395545,23567654.0300646,48751933.35908979,5080572.693127656,7370337.086446133,NA,NA
7,30929505.628292404,85381711.50360504,6067078.189041359,7758615.385408368,NA,NA,52407402.65495639,102651828.75209482,7992741.652165013,15908135.008626541,4811885.517600032,7392737.656649158,NA,NA
8,766513.6698475997,2299517.850948206,6067077.674422605,7758615.787829379,NA,NA,19126603.706162676,26397320.9848495,1199049.7598249265,3791671.4150958527,3635063.815951926,5911273.829120789,NA,NA
9,6.515143114242903,9.383188607899717,4739662.354643837,7544590.765852728,NA,NA,12589230.1452976,15262196.40199799,1199048.6613258033,3791671.8010696853,3499206.5470773554,5798316.853874512,NA,NA
10,766512.7628213259,2299518.153291958,3290488.8915222394,7516241.009578861,NA,NA,5944726.393860961,6942316.203303415,1199047.368628712,3791672.2552747717,972709.240835131,2255518.8586174008,NA,NA
11,1,0,1,0,1,0,1,0,1,0,1,0,1.0931222130113472,0.2944782938712239
