Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,9151391582.273935,8403701788.387116,9151391582.273935,8403701788.387116,NA,NA,88809523809.52382,22170495864.382385,64880952380.952385,25370568318.007797,55333333333.33333,32968372423.3835,NA,NA
2,6112919573.339131,2531395370.7422752,8651068376.068377,8634287068.866537,NA,NA,62507631257.63125,27689421870.48721,34602130325.81454,19345035508.939796,4303558566.175066,3757537942.7364798,NA,NA
3,5114900514.5990095,2829207285.742417,8651068376.068377,8634287068.866537,NA,NA,48428469678.46968,21974898064.375195,21979770855.71071,16659220191.735638,3636564357.2649264,3745396132.137025,NA,NA
4,4845669745.36824,2683452791.566887,8419184318.097362,8788184682.561493,NA,NA,38769748700.19984,22853972666.90417,20545309014.29398,16719365682.312828,3246053169.0124426,3665504882.118482,NA,NA
5,2254285357.5948524,2237199406.546878,8419184318.097362,8788184682.561493,NA,NA,30612478234.658688,21064670936.018337,20083770552.755516,17364880448.150383,2547011344.2892375,3888814670.8992243,NA,NA
6,1178976891.2041678,1567534663.6334846,8419184318.097362,8788184682.561493,NA,NA,22224393540.18301,19584124565.2755,19590958853.1769,17594948055.295597,2435713054.1796603,3941833538.869533,NA,NA
7,796162053.005903,1671043153.521283,8419184318.097362,8788184682.561493,NA,NA,16210986729.78372,15648710601.429031,9218006667.450048,7262177903.397441,2021135369.7285666,3699878664.1211095,NA,NA
8,582231760.6500151,1657932069.4342554,8081020066.889633,8955341384.58195,NA,NA,12504236647.612455,14091786041.382145,6028096768.133656,5092171423.589375,1246250276.768949,3004547503.6803813,NA,NA
9,557429768.2103575,1666044179.770434,2183986021.17381,35495387.02150497,NA,NA,7110490703.837398,8957396643.425886,6028096768.133656,5092171423.589375,1036288666.8849055,2676288302.541531,NA,NA
10,1.4785503190108675,1.0752153894545862,2183986021.17381,35495387.02150497,NA,NA,2780835156.4239697,3874331560.0629454,2183986021.17381,37415423.13904527,1.4785503190108675,1.1333765353138272,NA,NA
11,1,0,1,0,1,0,1,0,1,0,1,0,1.157547957670111,0.4982103869453456
