Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,3477061251.922122,6916890085.404724,1659431535.5920541,4911391064.695026,NA,NA,24405574972.36245,5991017439.179123,2471033952.523516,5235194899.28101,1659431535.5920541,5177060748.078558,NA,NA
2,1643400540.464204,4916687555.423251,1646804208.5477197,4915560354.920131,NA,NA,19673172249.612045,7837628827.870558,835820485.4900464,730928415.0264659,1645202306.3463287,5182015076.047573,NA,NA
3,1643278080.1807103,4916727382.737915,1646804188.8677049,4915560361.513301,NA,NA,14826368753.199001,9570702513.217731,625781069.3943907,715844624.9797938,1643483047.5752294,5182616243.626807,NA,NA
4,1640193599.1894221,4917750177.738639,1642992445.261224,4916823772.896809,NA,NA,10890912508.386782,8873955719.788168,536540394.7156634,689071645.5876907,1641414678.7297966,5183338863.674163,NA,NA
5,1639344268.3374877,4918032784.871111,1642992445.1834464,4916823772.922799,NA,NA,9835988089.889608,9071110675.087868,187798195.08206984,550888587.6693361,1639907132.8280869,5183865030.469753,NA,NA
6,1639344264.5784514,4918032786.124124,1639441560.4200277,4918000362.731384,NA,NA,7237254117.346504,7997764139.598569,187798180.51701653,550888594.128306,1639507296.7653596,5184004533.13867,NA,NA
7,1639344263.689431,4918032786.420464,1639441560.4200277,4918000362.731384,NA,NA,5459447897.047636,7431997670.304469,186589982.5807461,551309949.7300807,1639358165.1495929,5184056854.303983,NA,NA
8,1639344263.36094,4918032786.529961,1639441560.3339508,4918000362.760078,NA,NA,3541924189.851824,6060939969.779072,185975276.53497192,551537664.3694415,1639344265.113895,5184061736.9905205,1639344263.488028,5184061737.561791
9,1639344263.36094,4918032786.529961,4.952623096727338,6.271348315207166,NA,NA,2282740497.1752124,4811944722.213024,184775767.67690712,551954396.488753,468384076.37070155,1481160496.4755557,NA,NA
10,1.0945600547773267,0.18202459411442107,1.0717206751230262,0.18673701683650396,NA,NA,2284819995.637234,4856034442.407363,184775765.5088301,551954397.5093647,1.0906170141464402,0.19284841319412827,819672132.1921011,2592030868.911684
11,1.0896820059968388,0.18187875144227528,1.0717206751230262,0.18673701683650396,NA,NA,1354554150.3162727,3931734976.111736,184775765.5088301,551954397.5093647,1.0717206751230262,0.1968380988895211,1.0839157970742455,0.1956752346010111
12,1,0,1.0625954198473282,0.18778625954198463,1.0717206751230262,0.1968380988895211,593329586.7572224,1912587948.9537952,184775765.5088301,551954397.5093647,1.0625954198473282,0.19794409781206654,1.0717206751230262,0.1968380988895211
13,1,0,1.0625954198473282,0.18778625954198463,NA,NA,419505816.3950579,1597442046.512225,93680247.41328979,285958487.02744114,1.0625954198473282,0.19794409781206654,NA,NA
14,1,0,1.0625954198473282,0.18778625954198463,NA,NA,513583481.1966554,1539799796.6452184,90430355.26995775,279434659.7991087,1.0625954198473282,0.19794409781206654,NA,NA
15,1,0,1.0625954198473282,0.18778625954198463,NA,NA,183326673.10049132,765771117.1036375,90388668.34492368,279450417.6193127,1.0625954198473282,0.19794409781206654,NA,NA
16,1,0,1,0,NA,NA,142025866.6118834,663619395.2593482,90388668.34492368,279450417.6193127,1,0,NA,NA
17,1,0,1,0,NA,NA,24325057.555281084,111722476.8912556,2780954.1331201065,6905439.758556143,1,0,1,0
18,1,0,1,0,NA,NA,3056960.6938171606,6436431.785085894,2164534.326008906,6844745.540192343,1,0,1,0
19,1,0,1,0,NA,NA,1691014.8162518218,4729284.929367812,2164532.2867220724,6844746.256734046,1,0,1,0
20,1,0,1,0,NA,NA,1,0,1,0,1,0,1,0
