Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,388329672.38080615,445717765.97934335,3900452683.187416,4478448402.98976,NA,NA,21660170050305353e8,22547525291754815e8,12867429793572833e7,4069037777547489e8,49542017594233.375,113237465011705.17,NA,NA
2,1201688.6083042177,1338351.99876471,1816060200.3712134,1659169277.6493719,NA,NA,8363828950058106e8,17010373055590593e8,10876194663391790,34341218950053728,3861772496126.5557,8138808175033.478,NA,NA
3,858326.0844081279,1571326.0713848798,1811009695.3207085,1657847840.302679,NA,NA,21445718403583436e7,7907766565272028e8,96507321966062.64,270791578616367.87,3861767445608.4204,8138808519782.503,NA,NA
4,959784.5125715416,1673367.9364299374,1811009630.9752536,1657847910.592708,NA,NA,21445716862409395e6,11746302463568745e7,24448988638931.41,49785802931284.37,3861521500848.667,8138938130229.781,NA,NA
5,959759.3766658287,1673382.3512419446,1785124686.9519374,1680026664.5150368,NA,NA,22393613762933656,119695241173604780,15441795545140.088,27664837326228.56,3861416531191.638,8138999011277.39,NA,NA
6,551800.9707276693,802483.7789890392,1521966793.3808846,1732124720.0099106,NA,NA,4873324252913501,26114223924376272,15441270064903.225,27664767616632.824,3860562287243.989,8138611281340.709,NA,NA
7,218081.8069802126,452382.44048442645,614111.8968954518,1621658.4983868038,NA,NA,153337473093559.78,515071961096592.9,12867677561216.678,23192788726241.965,3860260353507.0024,8138176472945.288,NA,NA
8,82192.36457438036,246563.13865603443,217242.31374606778,651656.912565677,NA,NA,115807497832844.16,358670917361022,10937556327885.574,19653037939974.355,1930114283597.9016,4747211216659.214,NA,NA
9,2.046510618665864,0.32239451494835764,217240.65382714165,651657.4659141185,NA,NA,42892075175653.92,59812773189743.48,7720699363201.263,15054608337312.416,10.886306425154055,11.958047437040962,82189.95935626919,259901.21349911945
10,1.5442601110096843,0.29752714310250383,3.0912811366419684,3.1823334238282484,NA,NA,38817368106328.45,55470906063683.88,7720621371197.615,15054531834545.328,8.174766734081139,9.825648944016962,NA,NA
11,1.4282181063417159,0.3652182387976156,1.3294631853946197,0.2714233243158121,NA,NA,29166602649835.62,38752067582609.055,7720621361159.622,15054531839613.115,2.222907853748379,1.9253003547702032,1.428218106341716,0.3849738258785801
12,1.3294631853946197,0.2714233243158121,1.324479072235133,0.2737402737346935,NA,NA,21231645723755.426,31829606687550.84,7720549318743.6,15054402840156.705,1.1507605356321942,0.2856948019015228,NA,NA
13,1.1258824868517066,0.20521808100467262,1.299601023454645,0.22854405886120893,NA,NA,17800093640310.04,31323192631273.42,7720549263548.349,15054402845493.105,1.1427151328847844,0.2869676680191542,1.1507605356321942,0.2856948019015228
14,1.1258824868517066,0.20521808100467262,1.299601023454645,0.22854405886120893,NA,NA,12009751208883.48,23259028992460.242,5147008775318.063,10850886587697.98,1.1178370841042968,0.21698141500045473,NA,NA
15,1.064390243902439,0.1931707317073171,1.2304276791699489,0.20501959082886223,1.0977235772357723,0.2186378249818407,11580901747174.178,22745924937356.59,3860228430653.8437,8138075975044.862,1.0977235772357723,0.2186378249818407,1.1332714947656242,0.21829710179754055
16,1.0343089430894308,0.09971722859746568,1.2304276791699489,0.20501959082886223,NA,NA,6862758258157.477,16659798563840.182,3860228418911.9453,8138075937919.241,1,0,27397.052884038392,86633.83161257832
17,1,0,1.2304276791699489,0.20501959082886223,NA,NA,5146992988493.355,15120367426940.295,1286742893742.732,2712692355633.497,1,0,1.0223592221476598,0.04222724407762165
18,1.0009756097560976,0.0029268292682926855,1.2304276791699489,0.20501959082886223,NA,NA,1930114275214.3152,8293915652908.735,4.019004716988291,3.2032234811698603,1,0,1.0066666666666666,0.021081851067789186
19,1,0,1,0,NA,NA,1,0,1,0,1,0,1.0034254283296518,0.008533343543954146
