Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,98261998.66487399,145051602.4660098,366362164.340203,432835976.5393583,NA,NA,13725256018472647e8,20601473399832683e8,27021669401945.836,31489365948629.11,13510962637189.414,21754339970703.332,NA,NA
2,5384799.71845694,5231877.241006079,80480347.39781073,145388919.0063842,NA,NA,40746853844941806e7,1294111225379239e9,27021669401945.836,31489365948629.11,13510804023539.246,21754449423486.336,NA,NA
3,7345148.293863615,9894391.274886709,7108580.303421609,4941976.576155168,NA,NA,6433713782488255e7,28069155498352376e7,23804813482410.547,30098659650861.008,11580688612630.584,20569189291188.836,NA,NA
4,2513037.6880172202,4470391.073603286,7108580.303421609,4941976.576155168,NA,NA,247912442286278.62,462948130812459.2,21231310522491.043,27600341582093.18,9007201712192.58,18705756123791.645,NA,NA
5,1036426.7243200757,1316540.8122253644,7108580.303421609,4941976.576155168,NA,NA,114091198320953.62,248339143735802.94,18657781780293.113,25350982025545.74,6433715161756.362,16276150759496,NA,NA
6,4015903.86871493,8205170.112966078,5972867.267164446,3861202.8159668506,NA,NA,79134685236855.375,152833064873435.8,17371038606864.146,23565184146669.848,5146972416593.266,14919804918538.172,NA,NA
7,4015903.220674274,8205170.430140012,5918937.108747071,3904353.3014938734,NA,NA,61120284573217.48,90414024763732.83,15440923857046.29,23006353178070.31,1930114406657.74,6103557199585.405,NA,NA
8,556738.7409217639,943084.0302242422,4666119.437110888,3579045.9734696983,NA,NA,45893830664114.6,32957889899445.816,14154181766572.006,22259671320159.066,1286743031317.1138,4069038401140.229,NA,NA
9,556738.5443297534,943084.1462796112,4666118.219463829,3579047.560932619,NA,NA,37744459840690.836,23911734342685.082,13510810844316.594,21864584385021.96,643371655978.4336,2034519608718.172,NA,NA
10,339851.8197284976,783241.5877624971,4666118.219463829,3579047.560932619,NA,NA,34956518943158.02,22182615543774.504,9650583618931.762,19186037019755.74,268799.1749953471,814432.6675029601,4503599967212.246,14241632372568.162
11,339842.29813228385,783245.7185177123,4666118.219463829,3579047.560932619,NA,NA,28737260679095.594,21579018793975.32,8363841337609.674,18457032381139.414,256958.62686040252,812569.209159773,339842.2981322838,825613.4793636973
12,1.0533719918388398,0.08568376875410984,4409158.927495068,3805428.839125809,NA,NA,28093889415050.234,22968582262366.145,5790355947336.124,15597973664946.232,1.0578209413301518,0.09282347435574749,128479.9171994773,406284.7950014037
13,1,0,4409158.927495068,3805428.839125809,1,0,24019202803217.367,22393016368565.76,4503613196658.987,14241627724216.094,1,0,1,0
14,1,0,4409158.927495068,3805428.839125809,NA,NA,17371032270758.898,22089558562741.22,4503613196658.987,14241627724216.094,1,0,NA,NA
15,1,0,4409158.927495068,3805428.839125809,NA,NA,12867431417301.21,20282662113260.33,3860241997970.683,12207111370563.482,1,0,NA,NA
16,1,0,4409158.927495068,3805428.839125809,NA,NA,8792745168786.741,17789099850312.566,14275889.620151294,6421016.779150099,1,0,NA,NA
17,1,0,4409158.927495068,3805428.839125809,NA,NA,5361429717311.059,14310533789850.34,3010823.539144104,3013216.7034134553,1,0,256958.1660634248,812569.3710661686
18,1,0,1,0,NA,NA,1,0,1,0,1,0,73417.29229185895,232162.69180741097
