Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,634632453.4566635,678966106.4166644,5330767065.192706,8585818381.160421,NA,NA,5790344525675689e8,14882908098597785e8,6433714211087903e7,2034519071901011e8,1610483681863.553,4195577790893.8975,NA,NA
2,30326986.48481396,82059344.03686519,1803760574.9961267,2189927300.2618456,NA,NA,857830119580729e8,2224433954566278e8,2768060788645.912,7262388520703.405,451948206070.6665,1423607063550.4465,NA,NA
3,776251.4612993269,820428.0093941685,1624766343.1127987,2226730924.817661,NA,NA,2144571846843569e7,11746303724429058e7,2317907721452.1455,6211112902390.695,451852981129.25586,1423640378023.9583,NA,NA
4,776251.2612993268,820428.1986201002,1624766343.1127987,2226730924.817661,NA,NA,5964096259547395,32318526978713540,1674200817770.0369,4177150186662.657,451502865097.02435,1423763007969.8865,NA,NA
5,28201844.81013952,82557796.01075101,1624766343.1127987,2226730924.817661,NA,NA,5390680435851044,29394540032857524,1288110548757.0295,3327852514114.056,1162282285.0318823,1705663163.9004207,NA,NA
6,549659.61052826175,894395.7925799716,1624766343.1127987,2226730924.817661,NA,NA,23740708277634.902,27136569637383.734,1287384990544.7249,3326524017549.635,252162251.60754183,397571436.9625663,NA,NA
7,549659.61052826175,894395.7925799716,1209828584.111248,2100661238.060577,NA,NA,14733845674083.191,14747783684572.287,1094373574431.1615,3253164711450.1147,240282615.7471032,360458669.6582734,NA,NA
8,540336.5616345726,893528.8094156963,694678080.5636343,1992354729.668509,NA,NA,16127837765219.836,16947147315882.477,1093893171126.3483,3252910740127.487,174293190.09229982,344657969.4911214,NA,NA
9,67619.25058250726,202848.88178962347,495173.36311075836,612901.7078550197,NA,NA,12760665295486.3,14383775388804.324,1093893157973.4916,3252910744748.9277,12092511.800627245,37527885.249416746,NA,NA
10,159802.9842768439,324287.5244576719,286464.48191497766,359764.0772864146,NA,NA,11645435199960.09,13000384669230.09,1093893080649.2098,3252910722074.9033,163156.56650685612,336637.4845382587,NA,NA
11,159802.9786229164,324287.52724378556,286463.35181851144,359764.97710260656,NA,NA,9050576822262.115,11586841834259.162,1093893080648.5905,3252910722075.121,139991.76545992738,313070.9569646446,NA,NA
12,150502.53446511197,310380.7239464874,4.3950152595637455,3.4081284666665645,NA,NA,7849417112441.468,10148688899517.133,1093893080646.953,3252910722075.9854,126821.5982994856,292677.36378674157,NA,NA
13,58318.05396556979,174948.13758977086,1.6163615507049822,0.6438672633917731,NA,NA,6584216680713.519,8755242072499.963,900720214108.3424,2642611719830.583,85984.80800741354,227293.92595668705,58318.13067793357,184411.50210901885
14,58317.81364377885,174948.21769655502,1.6163615507049822,0.6438672633917731,NA,NA,6562547394121.836,8420646971551.803,707708761179.4772,2061857933713.566,38163.251957085726,99428.0799538945,NA,NA
