Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,2.113340521138512,1.4591436852153612,2.113340521138512,1.4591436852153612,NA,NA,86.57256742238974,42.94389429494535,NA,NA,NA,NA,NA,NA
2,2.0873954393170893,1.4722289543067433,1.826861439115565,1.5170646575174125,NA,NA,60.51589594536322,39.729117881394956,NA,NA,NA,NA,NA,NA
3,1.826861439115565,1.5170646575174125,1.7750899745958004,1.5254865499290802,NA,NA,49.07678268794324,36.27089738759674,NA,NA,NA,NA,2.0973125116202924,1.5453279080789883
4,1.826861439115565,1.5170646575174125,1.7750899745958004,1.5254865499290802,NA,NA,35.156558768527894,29.209137201416336,NA,NA,NA,NA,1.9571284392163273,1.5754960680592625
5,1.822370133647484,1.5173482874582769,1.7689949349373482,1.5284108569322463,NA,NA,30.755446554101606,23.37400304628877,NA,NA,NA,NA,NA,NA
6,1.4534810695369067,0.6161635815210326,1.735703800213594,1.5375497100222748,NA,NA,28.029462044990115,22.808762647557327,NA,NA,NA,NA,NA,NA
7,1.2697652674701052,0.3104996417018053,1.3750640534431025,0.6237391963537307,NA,NA,21.517441742552247,16.195746858370452,NA,NA,NA,NA,1.774285197870593,1.617658385061443
8,1.3327677491599856,0.6218335318273153,1.332510769900565,0.624650140608846,NA,NA,17.633838875859375,13.34815506438709,NA,NA,NA,NA,NA,NA
9,1.3439885796583213,0.6168068429838117,1.3321655525265814,0.6248329627216836,NA,NA,17.30575447306981,11.769080167219265,NA,NA,NA,NA,NA,NA
10,1.332270409500134,0.622094883710722,1.3098323259664788,0.6234971335360235,NA,NA,17.463092176271008,13.693236382924068,NA,NA,NA,NA,1.3396327998421336,0.6536553784546
11,1.313937147100066,0.6216459242043127,1.3098323259664788,0.6234971335360235,NA,NA,14.594230572119656,9.893419362129956,NA,NA,NA,NA,NA,NA
12,1.3252021999163293,0.6168571396427819,1.3098323259664788,0.6234971335360235,NA,NA,11.901926908882924,7.927431737883442,NA,NA,NA,NA,NA,NA
13,1.2880292400583795,0.6292422926973866,1.3098323259664788,0.6234971335360235,NA,NA,12.553304554153776,9.428842873434865,NA,NA,NA,NA,1.285165693646446,0.6644470093480918
14,1.2889252974060497,0.6288377435827146,1.2236619342479498,0.6265884171340065,NA,NA,11.600748450650633,8.315375417065882,NA,NA,NA,NA,NA,NA
15,1.2889252974060497,0.6288377435827146,1.2236619342479498,0.6265884171340065,NA,NA,10.75983149649113,7.897384477889858,NA,NA,NA,NA,NA,NA
16,1.2289252974060498,0.6249063477377438,1.2236619342479498,0.6265884171340065,NA,NA,9.895783010050058,8.039514614908734,NA,NA,NA,NA,1,0
17,1.2289252974060498,0.6249063477377438,1.2227658769002796,0.6269011407065553,NA,NA,10.23216609673919,7.918275766004233,NA,NA,NA,NA,NA,NA
18,1.2108960573476701,0.6297069812086501,1.2227658769002796,0.6269011407065553,NA,NA,8.469215915245023,7.5853848179943,NA,NA,NA,NA,NA,NA
19,1.211503759398496,0.6295147120469771,1.0127658769002796,0.038297630700838844,NA,NA,9.21288021645128,7.836421048425259,NA,NA,NA,NA,1.3184057476813178,0.45190944617901185
20,1.0127658769002796,0.038297630700838844,1,0,NA,NA,8.204497868842331,7.8605832994532605,NA,NA,NA,NA,NA,NA
21,1.0008960573476702,0.0026881720430107277,1,0,NA,NA,6.946405918051554,7.400797976238013,NA,NA,NA,NA,1.0349445758379756,0.0754377550094475
22,1.2708960573476702,0.6353135881603594,1,0,NA,NA,7.742309573772553,7.766577831131833,NA,NA,NA,NA,NA,NA
23,1.06,0.17999999999999997,1,0,NA,NA,5.43260623686091,6.8131520890106225,NA,NA,NA,NA,1,0
24,1.0180292400583795,0.03976999560709922,1,0,NA,NA,4.2792855956469715,5.879185706627687,NA,NA,NA,NA,1.0287595376531045,0.06787024312437907
25,1.0112650528162632,0.033795158448789595,1,0,NA,NA,3.7755736902550576,5.419522695465225,NA,NA,NA,NA,NA,NA
26,1,0,1,0,NA,NA,3.72821675203921,5.648775082843161,NA,NA,NA,NA,1.1354906817645671,0.42845915610507374
27,1.0052633631580998,0.01579008947430003,1,0,NA,NA,3.1922872349263756,5.156401442139653,NA,NA,NA,NA,NA,NA
28,1,0,1,0,NA,NA,2.260108792993373,3.727821626829186,NA,NA,NA,NA,1,0
29,1,0,1,0,NA,NA,1.6872666086940016,2.3814332887440592,NA,NA,NA,NA,NA,NA
30,1,0,1,0,NA,NA,1,0,NA,NA,NA,NA,NA,NA
