Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,36174826693.156235,3601134453.9133186,72523231151.96115,57178006253.48307,NA,NA,252370600414.07867,52975494923.56939,98285519938.44348,78563885935.15517,60671597079.45018,39345649473.025856,NA,NA
2,37318716924.52894,15398506733.116783,34456079212.058075,1768597980.8869011,NA,NA,201062328812.91782,68589850431.59884,32465469333.85534,9035737432.932074,34456079212.05807,1864265961.5925183,NA,NA
3,14796204315.375904,10214143356.955667,28020337007.125225,6425463824.551206,NA,NA,167209621292.91376,74821492460.9909,25076319861.01366,10504984714.010395,28358934023.18594,6921445478.319937,NA,NA
4,14962308858.514874,10068392076.44878,22591126934.266563,9439449558.259657,NA,NA,152648554280.39282,76973564505.6209,23201706379.25732,11152480674.380665,19607653889.18827,7014024189.335284,NA,NA
5,10336365818.133856,5770986121.277014,15368962999.162027,6716662285.981983,NA,NA,116764641994.84563,80101284182.72758,17345286826.26283,9784829089.143492,15335097297.48526,7156966562.858038,NA,NA
6,7717202998.513494,7197473535.178344,15298358407.280842,6869176586.611005,NA,NA,105271666958.61201,81085268147.28925,10200514442.325102,7188322354.182745,13738210604.798847,7546335150.960612,NA,NA
7,4165305330.841063,5467248929.98194,15131483146.538248,6740992013.269005,NA,NA,93031330909.34926,81512185628.1266,10200514442.325102,7188322354.182745,11977928509.398817,7793164873.324582,NA,NA
8,2517523951.9383087,5246223116.594615,15131483146.538248,6740992013.269005,NA,NA,79043613598.84251,76373573618.95497,10188122242.67599,7205831466.045808,11551072436.946205,7543526595.018038,NA,NA
9,2439728332.715331,5279454027.804074,9765235429.019789,8770017682.267012,NA,NA,82936919532.69109,78692923599.54976,3463481996.8979306,3541975371.6480064,10172511436.325298,7604882565.735276,NA,NA
10,2404597915.757975,5294783919.323171,3932140439.987647,6276450569.242369,NA,NA,56701588484.78264,68191428476.146614,3395049453.721064,3588610858.1576314,8534871410.295712,7565729477.03524,NA,NA
11,2331790483.9535694,5325832899.9984,2504435396.9095316,5252049653.1462,NA,NA,52438785509.90517,63580759853.631355,3377021128.448472,3602094389.845182,6328456038.3797,7345735701.244357,NA,NA
12,2330981517.1227174,5326185663.936969,2479415699.3020086,5263319095.566403,NA,NA,37770633539.22947,51958405117.221,1607803891.3939145,1338349213.1990862,5221651038.635211,7499344334.022362,NA,NA
13,2329256723.787867,5326937660.768596,2358770749.7413425,5314951865.571984,NA,NA,29458668881.740654,46704087772.63867,1607803891.3939145,1338349213.1990862,4379181687.323238,7193873456.172155,NA,NA
14,19936862.671516452,59128323.02585726,2325801651.5300307,5328434900.564088,NA,NA,21684470509.574547,34689708523.786316,1607803891.3939145,1338349213.1990862,3371942422.2488585,6399639693.179277,NA,NA
15,2323809614.90796,5329302284.065098,2325801619.29153,5328434914.635828,NA,NA,19412709598.14346,37192440489.97155,1591656474.9805408,1340714517.9336805,2175537285.0193157,4627215373.286374,NA,NA
16,54350.19719831068,163027.42853090976,570627796.6962303,1642330168.8122773,NA,NA,11837868013.805677,21903277057.212418,1578790665.3747294,1347563608.562301,1505026288.6634784,3454782837.7819214,NA,NA
17,54347.55089784359,163028.31057974498,22575315.123063866,58440603.00162605,NA,NA,10935280517.837717,19507375054.075462,1578790665.3747294,1347563608.562301,421677796.8545633,1260081374.9789653,NA,NA
18,54345.40957474297,163029.02434380946,22575314.213966582,58440603.3528057,NA,NA,6304145327.559164,13357212303.947527,1484133543.6638234,1380264548.802773,262110639.99727076,774224010.0782183,NA,NA
19,54345.371676979565,163029.03697665007,22524837.572452515,58459859.28190303,NA,NA,3345077310.265458,7351703327.304364,1435308955.1403909,1404212723.8086777,88131838.02574177,266940854.52226985,NA,NA
20,1.2644631361202916,0.10670276184483538,20092626.896200314,59084425.31735261,NA,NA,1591331926.941734,2689986250.8525414,1405249223.0175302,1415206000.0108323,473094.45077323,913888.8498075898,NA,NA
21,1.229278816132344,0.14002749340130605,19731652.81739078,59194947.613882296,NA,NA,800682421.0002189,1831182814.2943623,1135060636.2765012,1576435276.1278906,7764.804143571496,24550.565849200422,54344.711154941804,171847.92594499455
22,1,0,1,0,1,0,1,0,1,0,1,0,15527.634375646807,49099.46901518816
