Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,1017453992605.6428,2994210891910.677,4010795914292.3057,4890168115885.371,NA,NA,37958911146784616e8,155098999012557e10,45035996279910564e7,14241632491758313e8,16084284385852636e8,2196865190349157e9,NA,NA
2,1006124754150.7266,2997964822480.843,1006172290984.3744,2997952856481.9624,NA,NA,29595083269086176e8,2156456505592504e9,45035996279909725e7,14241632491758343e8,45035996440758934e7,14241632486106676e8,NA,NA
3,1000643482089.5735,2999785579280.659,1005606621949.8308,2998142217240.1665,NA,NA,29380626143238885e8,21671638708486883e8,4503599627990924e8,14241632491758362e8,4503599644075888e8,1424163248610668e9,NA,NA
4,112136359.58394733,163770867.78664038,1005090165875.6946,2998315088407.95,NA,NA,22517998140284664e8,2275658058945411e9,4503599627990924e8,14241632491758362e8,12867427559821064e7,4069037854855124e8,NA,NA
5,62366291.74254322,137939923.10297018,1000626639192.9808,2999791237558.7944,NA,NA,180143985132229e10,2176914410735489e9,45035996273705175e7,1424163249197635e9,6433713783633188e7,2034518928604823e8,NA,NA
6,189256153.8732905,384849926.2535258,264806594.44273868,266805543.5833164,NA,NA,15869827261467582e8,21560089222544262e8,4503599627370516e8,1424163249197635e9,74456390909868.9,235451150193150.75,NA,NA
7,33180392.16321217,43340017.51127831,70107952.23453262,115562414.11261865,NA,NA,9221656382891327e8,17873288450908348e8,4503599627370516e8,1424163249197635e9,74456271896102.61,235451192010251.6,NA,NA
8,23929522.83139839,43364885.782354385,70107949.65295789,115562415.67877544,NA,NA,6219256630911017e8,15295728752254533e8,4503599627370514e8,1424163249197635e9,72682608153179.23,229842436392427,NA,NA
9,22698844.338845674,43891284.25956592,23705315.788925644,36240938.50090073,NA,NA,47180567548092565e7,13933585526397817e8,643371375338661e8,20345189274252053e7,69135294753160.45,218624920207523.53,NA,NA
10,10860822.027958743,26785340.21088527,8731620.326381143,11775173.953272596,NA,NA,471805675413e12,13538155374942618e8,1868340794.392612,1457614876.9668167,53177746321561.47,168162756514295.06,NA,NA
11,10077261.841761595,27049689.054187868,5497695.905466664,11892479.289170874,NA,NA,17156570022147758e7,7119285568147138e8,1868340794.392612,1457614876.9668167,26588879841601.56,84081398235690.16,NA,NA
12,9086207.441250127,27258600.14246764,865497.8010004327,2596030.168867722,NA,NA,21445712628871653e6,11746300524236798e7,1829940571.8856308,1499101632.4558976,8862965362199.645,28027148534673.97,NA,NA
13,1.0033806636797917,0.006558967008147705,865497.8010004327,2596030.168867722,NA,NA,29543412655467.61,117855188407436.8,52810598.57760316,147454512.9069695,1.0033806636797917,0.006913758281215641,1.0033806636797917,0.006913758281215641
14,1,0,1,0,1,0,1,0,1,0,1,0,1,0
