Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,416562560.32467276,703813825.7353569,925000000000,225000000000,NA,NA,304319601403.7799,365198113691.0168,440483380.0748006,737438298.6913099,478738102161.057,179619316639.5423,NA,NA
2,53756381.32146783,71290902.13901998,25415054687.11188,49797088596.99879,NA,NA,58430408475.66193,162236294271.23434,337567907.9072552,659464782.6711222,18254846111.2586,37710177900.840225,NA,NA
3,43882188.66051058,83409782.16480912,384917384.89030826,717851242.0587267,NA,NA,5379993657.134511,13075951994.24714,321228031.10667664,663915372.2326345,6250330843.674401,13259817161.33988,NA,NA
4,22608613.834270112,49564726.77260209,275448414.3159853,729434202.344809,NA,NA,2042796646.6777873,3129463708.859586,315776801.87949204,664516408.792939,236129878.425385,661114372.4756333,NA,NA
5,22608613.834270112,49564726.77260209,272201003.0729707,729876668.3305647,NA,NA,1192003369.854399,1167402656.6094084,297115813.8445968,666465507.3548019,150050548.35489118,449264173.87833804,NA,NA
6,22266858.37138786,49709939.45716296,26968900.414062865,73177377.04750013,NA,NA,928205902.626551,1122799571.3294058,115374395.61433002,354895672.1587544,40148459.88888721,121086493.3975854,NA,NA
7,22479715.791287858,49620366.99292081,4779757.991086922,11729553.96111034,NA,NA,687251459.3723991,1042372651.490477,106861453.00601576,335831085.91256243,4271587.626752525,11106437.948752372,NA,NA
8,17922632.749746554,49857374.31167207,4554275.49413808,11794577.347499808,NA,NA,543759565.9210393,955503377.4263321,105539557.48571178,332349052.49658704,3446868.8716070484,9842312.02847964,NA,NA
9,1264409.6328180297,3051522.780417849,369105.5430745902,401390.25380221655,NA,NA,212827532.6281578,631091201.0471833,35193709.605257265,110937377.03500882,939887.1573636933,2786039.113701016,NA,NA
10,1,0,1,0,1,0,1,0,1,0,1,0,1,0
