Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,49479066421.978645,97215233733.99062,133750899371.32858,165968790244.43213,NA,NA,313874302812.0223,101716974333.13194,60538372785.54851,82311149202.31847,103430891413.97462,146020422217.24176,NA,NA
2,1418877609.9208863,1486309240.6173663,18710428754.76008,49475692925.98671,NA,NA,233424023407.17007,121457623771.29152,35576277961.41768,49930274790.05895,42574325009.42008,94606824236.94972,NA,NA
3,2143760224.9681754,3645192269.2227616,18438603778.168377,49570385939.07532,NA,NA,167205776073.7519,128592131365.60515,22517712040.625076,51696698976.20042,18479401455.67346,52236006210.48465,NA,NA
4,596138.7528830939,363345.78380325786,18438176094.2238,49570544987.32096,NA,NA,137456883105.8566,130640099892.95013,6456815086.690188,15303042408.845083,18479300486.831482,52236045897.97209,NA,NA
5,706041.810156442,427770.27454193943,1765952021.5324874,3802121185.866306,NA,NA,86369033889.57765,118426538300.1712,6177975598.128376,15269300442.326414,16062985677.033651,45357232775.30562,NA,NA
6,416700.00568596955,392038.4774991907,553234397.8356583,1657505141.1042812,NA,NA,69409040493.18689,110138491271.2902,5675666633.831949,15370294107.53837,3107210534.4806967,8962530358.02384,NA,NA
7,323962.16584693594,416650.6076446668,212970.9537499303,405974.14795907435,NA,NA,43168710875.38851,81694838865.39836,5507041707.359706,15248489763.827475,158390081.1460214,500020631.16007894,NA,NA
8,170195.15527418785,198353.21323669568,212970.9537499303,405974.14795907435,NA,NA,25335871186.53566,63331256897.353676,762708765.9215755,896476910.7034305,69314.34248924025,199244.93497793798,NA,NA
9,695504.069083845,1699056.397639971,212921.38636068013,406000.1051558087,NA,NA,18977556262.75632,51813368771.89388,762708765.9215755,896476910.7034305,62689.566104554426,198182.7125722893,NA,NA
10,62677.085225697585,188016.7775076651,212915.1990736654,406003.3489896326,NA,NA,12065672252.051826,34134793231.804306,762708765.9215755,896476910.7034305,62681.66674399408,198185.4766532393,NA,NA
11,92733.08553947904,199284.3443319233,180274.60797763933,383950.8478446748,NA,NA,6049367442.556602,16597478314.700024,672824472.9110594,864092972.3738484,44769.86345668578,141562.50168981808,NA,NA
12,2.9826305812471716,2.6154048105685677,180274.60797763933,383950.8478446748,NA,NA,2560361039.8062916,4593709550.35394,658871468.1434534,874129978.1465228,35814.97527383883,113250.61543203288,62674.97801236224,198187.82539198047
13,1.382980384081944,0.9333837795564601,180274.60797763933,383950.8478446748,NA,NA,2232130505.332071,4325133386.698851,434469678.6234614,367074319.0882951,1.0724556042841602,0.21590090430819367,NA,NA
14,1.0274125164601102,0.08223754938033061,180274.60797763933,383950.8478446748,1.0274125164601102,0.08668598841080453,733981200.5161409,2497080068.292384,287888821.659726,405225142.0782056,1.0274125164601102,0.08668598841080453,1.1922267078961428,0.426102381230535
15,1,0,1,0,NA,NA,1,0,1,0,1,0,1.0900861756481002,0.28487750074199153
