Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,3920705179.330798,10633076222.26002,3590139970.387909,10710202565.814514,NA,NA,8886846787.68384,21440818314.984337,99481359.69142084,238542797.5300868,793518639.6064024,2381653871.781353,NA,NA
2,30088680.542303592,64220299.03138181,7866954.818521614,17199801.141807523,NA,NA,718305422.5554034,2321485266.8659554,67498327.98361368,186209816.47340631,21627114.47328621,32857832.378299966,NA,NA
3,6680891.364264542,17358167.98955517,7559100.514175428,17324824.381862123,NA,NA,235060189.93524286,464311904.9000473,21912732.199451078,57906030.57346151,7200736.923654487,18305619.73875729,NA,NA
4,1458187.652081049,1385292.9398055058,6319777.14455335,17465212.529634923,NA,NA,104794312.87245266,92401190.51551943,18022126.56932043,49013350.45147789,6301431.204712298,18415636.75472392,NA,NA
5,221214.901552878,297554.5022718789,6319777.14455335,17465212.529634923,NA,NA,103374748.36466855,93286978.77951357,13786262.405645406,39653134.92532898,6208422.196975716,18448102.260807373,NA,NA
6,520656.5406309293,869677.4181910901,6259370.369561201,17484558.024434175,NA,NA,76822235.80075787,90142841.84192897,10596078.415389875,30581352.065259665,6190690.936880536,18454261.440637138,NA,NA
7,303277.1801713032,457792.0881907636,6164756.280478965,17515588.312347263,NA,NA,63883609.75747463,83266396.71153244,9968915.676664542,29904136.52540243,5301287.386370064,15855161.63562561,NA,NA
8,264157.2928821268,465261.0642851026,6143483.283470566,17522930.29122675,NA,NA,49908652.66026204,75313266.43348622,9744374.463952633,29820562.919414457,4387639.655430994,13310891.695518356,NA,NA
9,59397.06391844804,124417.64295309011,234917.16240362992,470854.1499541585,NA,NA,27369114.908293847,58711623.20190952,3416061.436925882,10170655.366993828,2683561.987607455,8118076.209976892,NA,NA
10,67615.62968497525,146159.8718122144,234909.39568621307,470858.0241422114,NA,NA,20439388.374766722,47688953.53052752,251091.34534106767,343255.5569328233,1814958.7399739826,5552591.4609100595,NA,NA
11,21406.54882238951,64210.75215007359,28521.318171990664,84999.37514668563,NA,NA,14602841.716607237,38867759.079775356,179474.167650984,297490.7465494745,77699.60146533432,180833.26590446496,NA,NA
12,67615.52542618783,146159.92004295232,28521.052326857432,84999.464336836,NA,NA,14196278.417581176,41570793.28407597,163718.09202889085,280014.9394537933,46759.80907014254,108585.01008694696,NA,NA
13,67615.61493552924,146159.87864100252,169.48131203402687,403.57223867682035,NA,NA,6699981.80702897,24215001.76882887,121782.38100077161,185463.62553982006,15777.433098412563,41348.55224970096,NA,NA
14,67615.93134247103,146159.73227250483,169.48131203402687,403.57223867682035,NA,NA,3051531.064717991,13872459.242268888,75835.98417415225,123931.39750802249,15777.0768190549,41348.66056952303,21406.01492711901,67684.26327299947
15,21406.359820985293,64210.81515661382,169.05429447960515,403.74665167573954,NA,NA,2488918.175738654,9325997.439038727,19495.86125543424,52447.54752530566,9175.491617251068,29008.350291997678,NA,NA
16,21406.232111812977,64210.85772875867,168.6058311443027,403.93115839834326,NA,NA,176583.20275609478,235117.15196336142,19480.05049035241,52452.87874611899,3059.6487569926057,9670.074271693935,NA,NA
17,1.4026377463110191,1.0011630708786055,168.5394430676622,403.958641147157,NA,NA,76854.9601757081,149130.46945711473,3546.598439550762,11179.905862288952,1.3071138324407248,0.8155122024858436,NA,NA
18,1,0,1,0,1.068304047764989,0.21599636434629854,1,0,1,0,1,0,3058.93675255925,9669.598041154597
