Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,10000000000000,0,9010000000000,2970000000000,NA,NA,4503599627370496e9,0,4503599627370496e9,0,41819139397333435e8,1017259463610871e9,NA,NA
2,1003101960290.776,2998966736256.2417,1053250000000,2982401727215.836,NA,NA,4353479645343989e9,6788460883494114e8,4503599627370496e9,0,19944512643256968e8,17563987974789955e8,NA,NA
3,1001640828643.8381,2999453177225.8013,1053250000000,2982401727215.836,NA,NA,38173368824155627e8,16146432656686954e8,4503599627370496e9,0,6433713816565491e7,20345189378734393e7,NA,NA
4,146908172.28037325,190913662.09837776,33845752009.945824,37566763665.52162,NA,NA,3495651264424005e9,18521165572622497e8,3345531499055382e9,11177342159218011e8,626000348204499,1249177130093470.2,NA,NA
5,279565866.3328434,397014168.2343092,14217673192.211834,18855902875.230106,NA,NA,2573485580878488e9,22554803682022793e8,2187463159705449e9,14353630422677937e8,586111363749829.75,1259299001061076.7,NA,NA
6,146970268.1525902,190800231.73505992,12444945919.484564,19061142521.56398,NA,NA,23590284491553953e8,22481021263791837e8,1865777657130856e9,12602197034818423e8,576460847541518.9,1262012602664878,NA,NA
7,61538481.396409556,65679319.681809716,1306483142.5276468,930949637.7630521,NA,NA,19944513288408336e8,22355303810760044e8,1801440366939762e9,1463671667496808e9,575174091408906.6,1262603695008564,NA,NA
8,63025752.8874851,98536818.94584106,1282364094.5474274,958153733.1823722,NA,NA,15011999303489158e8,2118467339840519e9,16084287738763588e8,1288528496713977e9,555229497484729.25,1267464274725804.5,NA,NA
9,98156860.66111985,192402531.927051,1282364094.5474274,958153733.1823722,NA,NA,10293942420931102e8,19146662515695355e8,14797544250949982e8,10172593739918945e8,509550129992898.3,1280412977164983,NA,NA
10,33014978.494297266,62717692.77396507,1273080274.91878,962620469.6092966,NA,NA,10508399556179226e8,1917780959602374e9,14154172872690433e8,8138077959243766e8,448429849528893.06,1187742328827848.7,NA,NA
11,32940044.855178725,62759608.77136752,1273080274.91878,962620469.6092966,NA,NA,9007199460336749e8,17903820341933182e8,13510800762544477e8,6103558140330428e8,414974538594182.9,1131857890046509.5,NA,NA
12,33215922.594306372,62626244.18789478,1273080274.91878,962620469.6092966,NA,NA,49325140310403314e7,13682913881435948e8,13510799973552424e8,6103556427321418e8,382805969899187.6,1118288744658198.6,NA,NA
13,12893761.461612623,31524988.526799973,1273080274.91878,962620469.6092966,NA,NA,4074685583778464e8,12883785336256943e8,19301192228489993e7,6103555154573389e8,349350658091979.1,1017052667399101.9,NA,NA
14,1490279.2888839892,1264478.2479068828,1273080274.91878,962620469.6092966,NA,NA,4932514045621271e8,14078344030703748e8,1930119221961147e8,6103555154924794e8,342273583822349.3,1019401481006508.6,NA,NA
15,1335016.570602123,1150295.6892563102,1273080274.91878,962620469.6092966,NA,NA,3216856997419706e8,10659355215909384e8,6433723252057095e7,20345187218294634e7,335839875687141.9,1021560385618901.4,NA,NA
16,1232923.2420336115,1217004.0261681709,1273080274.91878,962620469.6092966,NA,NA,15012000105786129e7,6661630215376896e8,11941616419541190,26405745023895748,273432855126650.72,839991572799912.75,NA,NA
17,1232913.9920336115,1217013.3966845137,1273080274.91878,962620469.6092966,NA,NA,2144571365250022e8,8751571095822661e8,4986128480755129,9289602974823510,113233382742321.58,346886460253588.8,NA,NA
18,1232913.9920336115,1217013.3966845137,1273080274.91878,962620469.6092966,NA,NA,21445722758692886e6,11746301367534655e7,4773172555518038,8927256073172265,111946634314551.95,347296502856878.75,NA,NA
19,1060900.9241241284,1266869.743801003,1273080274.91878,962620469.6092966,NA,NA,10722857318472105e7,51561757687950397e7,4727493187868994,8840100267043067,111303262824036.36,347498579033628.06,NA,NA
20,1004539.5722861756,1312235.2716107648,1273080274.91878,962620469.6092966,NA,NA,42891432980222245e6,2349260163611377e8,4608469483431346,8586318311496989,57260067278016.3,178835584441443.28,NA,NA
21,691784.2209331364,1381220.3206883878,1273080274.91878,962620469.6092966,NA,NA,7383544374128326,9244603150859964,4529978094042408,8513603998114817,28951723957615.39,91553357805088.39,NA,NA
22,509806.2503107829,1100323.140248361,1273080274.91878,962620469.6092966,NA,NA,7479406709099831,9032606379895814,4311875197802607.5,8232725938484757,28951721010155.96,91553349160597.875,NA,NA
23,438338.0058298215,682721.7036444581,1273080274.91878,962620469.6092966,NA,NA,6065919797503291,8704293733849834,4183844189796965,8269750366461442,1286751906114.8206,4069045238598.4536,NA,NA
24,326619.8303472004,653268.1310139878,1255558404.928718,983427671.3496876,NA,NA,2144571630653586e7,1174630111649691e8,4073184313238718.5,8258906417069302,577678.4834876776,1174959.9631564387,NA,NA
25,326619.4411060725,653268.3256240268,1255558404.928718,983427671.3496876,NA,NA,3725549300101367,7265391936635321,4067393970860670.5,8261109768316627,518320.05274824885,1055950.8619019873,NA,NA
26,326609.9973560725,653273.046481244,1255558404.928718,983427671.3496876,NA,NA,3990618306924714.5,7476979378909899,3882103015590021,7917061004008634,368982.62448263704,784752.7962314165,NA,NA
27,2.059061079870701,1.0038340912324268,1255558404.928718,983427671.3496876,NA,NA,2566194122807435,5929693811300572,3536612587033170.5,7160132550893724,49928.1900004273,64463.54475392445,161123.35837935394,509509.93318486394
28,1.7002652041488346,0.6836248334522197,1255558404.928718,983427671.3496876,NA,NA,2270886634517815,5322977988551723,3366119037548138,7198374708674710,37334.63732416077,60119.80370006602,NA,NA
29,1.5410773538336962,0.6212309731414009,1255558404.928718,983427671.3496876,NA,NA,1486402443660136.7,4370543084093904.5,3361615436413796,7199893841402152,1.5533092553677126,0.6096238392748545,NA,NA
30,1.1020619641646143,0.12833097428161547,1255558404.928718,983427671.3496876,NA,NA,362218180159704.3,1398138466900870,3341027553706829,7210633102044923,1.3860946972253112,0.5586748132576893,1.2419373801376166,0.3684046591401448
31,1,0,1,0,1,0,1,0,1,0,1,0,1.0552826325175597,0.15849305604970232
