Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,40720329.489419594,37465348.5193504,3028628129713.576,4563960615423.236,NA,NA,36457711321154835e8,17446605505967645e8,4439262489897752e9,20345189254924002e7,833165931063541.75,980560500564061.4,NA,NA
2,30387694.434059598,29044057.67602762,15694971.505718056,27925981.989720296,NA,NA,2938062633784028e9,21663645539117437e8,42462510773225375e8,3322355495021229e8,234187180623265.8,158588107714696.16,NA,NA
3,26572777.171818085,31643245.765366547,15546361.134588018,28005041.44364426,NA,NA,20587884727320648e8,22430658430200036e8,4053239665452458e9,31077789902637215e7,94575594702198.56,88685214060182.33,NA,NA
4,11899061.494926156,18043974.135364827,5324571.409605446,6859321.499830628,NA,NA,1544091393281507e9,2136018841056352e9,40532396651372063e8,3107778992439166e8,22518000786828.48,31845256280611.37,NA,NA
5,11057211.11889426,18382293.028189123,3722614.6084965556,6823005.94660684,NA,NA,9436113973225308e8,18006612349524733e8,39889025276117056e8,27126919005344636e7,4503603349975.105,14241631183988.184,NA,NA
6,1514395.7396662473,3367231.866103469,3620201.768025329,6870263.817204137,NA,NA,8578285549907578e8,17202379740805856e8,39889025276117056e8,27126919005344636e7,3860231550146.4805,12207112985933.781,NA,NA
7,366571.5287412241,569982.8372806086,1263238.7093721558,3421999.275025999,NA,NA,6648171494692527e8,1541994406197734e9,34742054273691005e8,12207113574793873e8,1263238.7093721558,3607103.9535090355,NA,NA
8,102418.77590733432,307236.56384152663,1147716.2680474957,3443128.9703925196,NA,NA,3645772257322479e8,11134937822686977e8,34742054273691005e8,12207113574793873e8,1016763.722106624,3104532.648915152,NA,NA
9,1263237.1307298937,3421999.8577832375,5.926393587389378,12.604163070017846,NA,NA,10722861374328148e7,5873151553074847e8,34742054273691005e8,12207113574793873e8,33012.08861349116,104387.45917921423,NA,NA
10,1.63178537146286,0.8303072188585544,5.9243010442754604,12.604979879874135,NA,NA,1286743032920018e8,633080598221776e9,34742054273691005e8,12207113574793873e8,33011.995661960835,104387.4853144525,NA,NA
