Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,5614706658.073416,9605235698.836746,5614706658.073416,9605235698.836746,NA,NA,38828934577.16457,7669518152.861913,12871038813.256367,15356596114.692122,8366260859.50893,12496006939.654036,NA,NA
2,2313673114.4320755,6901904820.2666645,11984068.75255824,29709180.910100568,NA,NA,33639603104.46844,8124915636.837968,8264906380.710963,13186126533.592121,1660824470.0956354,2733365473.210294,NA,NA
3,10956530.429996744,29964990.367476963,953205.227130026,1040274.7750434392,NA,NA,28266524929.835514,7002939674.586496,8222014212.322438,13144476442.336926,9478791.577068597,27246491.43356588,NA,NA
4,2303117847.9022436,6905360671.71288,678067.5121797889,973498.9971214643,NA,NA,26410561171.961617,6268535326.797778,6742956843.693312,12414295032.305004,3628400.579480664,9802044.000641938,NA,NA
5,300836.0197619797,568054.2208610281,614631.7868129214,994718.4561299706,NA,NA,25373917078.73144,6021088028.929132,2146620650.2107744,6010152724.962835,611525.1660583776,1068479.6428691421,NA,NA
6,346988.3918401386,560435.6200940653,538211.3425510919,1009554.5528022455,NA,NA,22516679711.207424,9362217163.341894,2137908275.5999951,6006957382.580578,560011.6125823746,992800.0376200335,NA,NA
7,364270.41056370817,566333.6337514569,538211.3251503652,1009554.5620787552,NA,NA,18602657557.83883,11743795197.345085,1430151157.1747787,4521230712.097376,455126.3490360834,876736.362237147,NA,NA
8,150056.48844100846,235364.04206236472,538206.3847337322,1009557.1957385974,NA,NA,16352623029.190971,12254233138.675888,1430151067.2403674,4521230743.762545,365385.39906579454,722560.7526337678,NA,NA
9,224449.1089973341,551765.638446413,270591.2926638959,550367.325657502,NA,NA,15447192083.450432,12087002496.989637,1077791870.6120229,3408029877.265019,278011.53415510996,582329.1305748088,NA,NA
10,224448.4603985438,551765.902277577,270590.8700481193,550367.5334327386,NA,NA,14275457540.29651,12565479764.831064,419986282.57153964,1328044595.4489436,271416.1810773359,582541.7410025708,NA,NA
11,40478.075351788124,121386.90529340466,270590.8700481193,550367.5334327386,NA,NA,11386988645.877068,12445696881.331705,70899.56274027865,155826.4164719887,271409.9502812209,582544.7125129534,NA,NA
12,40467.02711930083,121390.58395249474,40469.16040888823,121389.87290028784,NA,NA,9258098255.18915,12126492365.116955,69396.50980106868,154718.95088182503,264813.0045976207,583550.0155267835,NA,NA
13,86623.6618134296,173697.19414578326,40469.16040888823,121389.87290028784,NA,NA,8056951506.626326,11365987665.606997,31130.11411145428,34007.600065349776,264812.61144020787,583550.1970309142,NA,NA
14,86623.94794846736,173697.0514544215,5.038162912902089,3.8203720017708376,NA,NA,6756539174.052392,11065789702.23829,23009.365814050365,20407.856410211196,211315.02965892135,521497.4297168081,NA,NA
15,63437.105934804815,190301.18679378234,4.668397308221115,3.9707014645862224,NA,NA,5603084390.494013,10209371875.49488,22931.05966635611,20424.012368785407,185032.90613481426,469592.2477546255,NA,NA
16,2.379472925149532,1.1595393162612115,4.529596597107612,4.051677836671423,NA,NA,4365400841.56521,9441502419.528433,20377.72472631814,18751.68157594916,166907.1113841415,454590.6478893172,40466.03632562614,127957.25872498211
17,1.9787581301535642,1.0336729043959485,4.529596597107612,4.051677836671423,NA,NA,3966278286.8127584,8845363597.142746,20278.000355397726,18680.692280434323,155345.4338957317,436332.2549397206,NA,NA
18,40465.481502022514,121391.09915792804,3.6669136953706136,3.990530631315989,NA,NA,1873816441.1067693,6527416769.903947,20070.44270557436,18405.336961203273,18157.039603331647,57410.32890016562,NA,NA
19,1.6639753475143615,1.0983110207165576,3.548400901129951,4.058518106317521,NA,NA,3268639990.7940125,7492366084.748249,20011.766814084123,18348.05358354179,5782.879388389283,18282.001454673562,1.7093485732765046,1.1360070404154394
20,1.6336074220355221,1.1128122568972496,2.2578684181356303,1.5696853822396724,NA,NA,1999063482.1442893,6090714842.095752,20000.479395640476,18360.339551147164,1.7762048090597249,1.4941675261493546,1.6354445417107617,1.1700846941905994
21,1.593630297168305,1.12042803084685,2.093080336163994,1.5149576637896178,NA,NA,1411186790.760304,4989113599.14339,17656.894748889055,17754.959423792312,1.5438647914210168,1.1932592034139893,NA,NA
22,1.0427265093858311,0.09949924207268683,2.076656976886339,1.5241446203250482,NA,NA,588106598.281818,2433909267.8677526,17656.894748889055,17754.959423792312,1.2225183109512865,0.5288750303210886,1.2958306976267127,0.8307431247825743
23,1.0103474581596943,0.013618866557877751,1.6959912999780649,1.2444836696953128,NA,NA,705579429.9524246,3470835221.4839654,16458.62777508435,18221.890747674996,1.0276446811794646,0.06631476684227085,NA,NA
24,1.006958787128301,0.013316169080579927,1.6959912999780649,1.2444836696953128,NA,NA,235237185.06125647,1288113035.6192892,16458.62777508435,18221.890747674996,1.0064612103835557,0.014099946973480099,NA,NA
