Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,7989602773.30554,17269120317.21468,13855097287.237171,14335520459.571577,NA,NA,53067568113.23454,9436925726.239075,17653759672.763287,21223514528.16476,13855097287.237171,15110965365.396645,NA,NA
2,327493049.6445464,409392171.93878055,13063749888.140245,14902049632.053339,NA,NA,45707820773.16715,15402298470.601635,17465239348.10237,21381612087.68621,2059374802.6961856,2595278011.9608326,NA,NA
3,219094091.9657611,426991545.7986133,12872300793.285496,15052708221.895906,NA,NA,38035033475.44781,17946392927.298622,11368906212.081144,17624488806.407948,103090182.96014647,298139252.8212711,NA,NA
4,177517512.72318488,349652753.6157041,12872300793.285496,15052708221.895906,NA,NA,34023669600.142662,19091351193.968678,6271522126.056871,12704832999.5784,70164902.97857277,200857277.65794945,NA,NA
5,175612395.2747137,350584423.61887425,12608070779.424454,15255300940.810663,NA,NA,27382743539.827847,18905572237.451633,5370012760.10407,12817778846.006899,67328634.6183253,198804108.34155986,NA,NA
6,843919.4686536199,1863141.0617429444,9338881589.130384,15540233422.693789,NA,NA,24955200919.149227,18112586579.918964,5211450421.348488,12861193831.889416,35015843.276807286,104618907.5758486,NA,NA
7,843918.74448689,1863141.3897548849,9178761818.29055,15626859463.025904,NA,NA,20684229962.873795,16629891924.536148,4659815850.678589,11230573858.045567,18367768.0076806,53627383.25186578,NA,NA
8,757651.2880805937,1880169.4124917334,4537785724.06452,12696331040.784784,NA,NA,17836604819.43123,15621299863.939537,4659815850.678589,11230573858.045567,1369141.1410834778,2335562.0618389803,NA,NA
9,843918.74448689,1863141.3897548849,279584677.70787126,609148049.9019715,NA,NA,15290162951.819483,14181025209.231445,4405403743.428725,11106761955.986435,945599.0584632568,1914188.713539924,NA,NA
10,757651.2880805937,1880169.4124917334,278483085.69949305,609645059.9302595,NA,NA,13838549002.152393,13362847486.27508,4259751961.687835,11146103785.930172,723967.1935749359,1765907.6594675328,NA,NA
11,843918.2237608179,1863141.625614276,278483085.69949305,609645059.9302595,NA,NA,11620921537.652357,12561103378.422531,3653583146.156954,9981956898.054098,723966.803517361,1765907.8301492182,NA,NA
12,757650.2781164559,1880169.8194689865,278483085.69949305,609645059.9302595,NA,NA,9647392246.39103,10087525623.028406,2340751062.399482,5944225281.061224,723966.0217515882,1765908.4053548162,NA,NA
13,843918.2237608179,1863141.625614276,278483085.69949305,609645059.9302595,NA,NA,8869657945.572132,10537161433.11772,142733921.53952867,293779059.7559838,723965.5031594005,1765908.650088568,NA,NA
14,757650.1943603521,1880169.853219212,278483085.69949305,609645059.9302595,NA,NA,8295637211.883087,9421734453.174833,139263376.7296068,294678753.379538,612646.4055248423,1460737.112594588,NA,NA
15,843916.8408172773,1863142.2520150773,202593343.7504068,592075146.6996883,NA,NA,6907329116.821338,8953461661.907623,79923797.16777498,166438672.11678284,606932.0333769666,1462945.3765597588,NA,NA
16,843916.8408172773,1863142.2520150773,5494173.871843854,9270211.24432932,NA,NA,4696601648.494856,7007102511.923793,51258306.32554039,118258578.72966103,477574.46407165955,1149863.1219300937,NA,NA
17,757648.8967970015,1880170.376088533,5494173.871843854,9270211.24432932,NA,NA,4860719838.49157,7953130691.777112,50947158.10458885,118381947.22205417,465249.7276271988,1140540.5799046282,NA,NA
18,843916.2254344436,1863142.5307532377,5494173.871843854,9270211.24432932,NA,NA,5052998590.016369,7312853643.122728,40099225.364716455,110887349.48366238,156297.2985797492,287054.8740485853,NA,NA
19,122600.77769468064,247366.0445789379,5494173.871843854,9270211.24432932,NA,NA,3927759837.459976,6738931831.67663,40099225.364716455,110887349.48366238,156297.05521913088,287055.02640855056,NA,NA
20,843914.2624570752,1863143.4198755103,3833498.8433395238,8554786.583498444,NA,NA,3376123874.496405,6240393162.9223175,39381697.68339866,110930761.99356084,156296.9950271115,287055.06236240716,NA,NA
21,757645.6145503937,1880171.6987099878,3833498.8433395238,8554786.583498444,NA,NA,3326736923.896001,6633474055.509628,38625370.042957336,111174510.28042603,149033.96242408067,283901.96444238786,NA,NA
22,102598.88410656345,248383.30794673236,3833498.8433395238,8554786.583498444,NA,NA,2571393961.998652,5796698692.356581,38514053.91436235,111228239.84054407,149033.93718746086,283901.9793940811,NA,NA
23,122598.62803953963,247367.10994521997,3055394.89835248,8513087.060815653,NA,NA,2340825537.28266,5476611689.007331,32738325.442080047,99174569.99010369,149033.8098787533,283902.0501834796,NA,NA
24,102598.98437625977,248383.39331008162,3055394.89835248,8513087.060815653,NA,NA,2257476616.9940214,5223394632.565234,1690508.7916778205,4020847.4181056684,133639.25233926685,246989.8106832572,NA,NA
25,82598.10910208107,247786.80763930993,3004611.01823978,8529627.968503471,NA,NA,1629538040.9322145,4720224720.938517,1668432.8233170705,4005155.9892978026,114576.80750100905,223999.8232088286,NA,NA
26,82597.64249142371,247786.96317486354,3004611.01823978,8529627.968503471,NA,NA,1472499283.7858915,4511383324.6006565,1668432.8233170705,4005155.9892978026,100540.80974676623,190854.9115159018,102598.86868387648,261819.1356467295
27,40001.53881483783,80000.02879565838,3004611.01823978,8529627.968503471,NA,NA,1002753056.6983559,3459343342.6655774,1668432.8233170705,4005155.9892978026,74147.98136551527,140296.23533488848,NA,NA
28,40001.529249499814,80000.03357837144,3004611.01823978,8529627.968503471,NA,NA,1236484178.61583,4073129773.0987544,1668432.8233170705,4005155.9892978026,69053.82219637296,132507.61955589475,102598.08782407243,261819.47562951385
29,40001.43428138814,80000.0810622112,2942015.204331829,8547664.38599126,NA,NA,551522881.9067544,2420090196.243775,1668432.8233170705,4005155.9892978026,69053.70465523908,132507.68415700388,NA,NA
30,40001.315214427115,80000.1405956918,2942015.204331829,8547664.38599126,NA,NA,618747531.4103582,2559451246.1768446,1658703.9199739776,4008702.4917947026,61790.48312780166,120462.72323688399,NA,NA
31,40001.146913395685,80000.2247451174,2942015.204331829,8547664.38599126,NA,NA,398497161.5389194,2107427844.3230832,1643647.2584239044,4012702.6839694125,54527.3772697561,108417.69381101338,NA,NA
32,40001.15019759098,80000.22310301867,2922016.843693136,8554287.660073016,NA,NA,9275044.236218281,30121873.782262757,1643647.2584239044,4012702.6839694125,54527.327737263746,108417.71991663503,NA,NA
33,40001.15019759098,80000.22310301867,2922016.843693136,8554287.660073016,NA,NA,233310031.99033403,1256799583.4515967,1634932.1840562746,4015470.6618184806,47264.23496895094,96372.68257258365,40001.17139815102,84327.6282687538
34,40001.14435084658,80000.2260263926,2920404.883086548,8554836.05014075,NA,NA,79314340.18577918,419490455.5111816,1634932.1840562746,4015470.6618184806,40001.14413889739,84327.64263560122,1.5830946393743501,1.7824777162279235
35,20001.2278064718,60000.524024292135,2900393.403131704,8561407.745914552,40001.14323598543,84327.64311147794,2112654.4331038566,5844619.913322641,1634932.1840562746,4015470.6618184806,22858.358582116605,66257.7537931869,40001.152771797686,84327.63808568602
36,20000.93929207719,59999.81787623158,2900393.403131704,8561407.745914552,NA,NA,1080865.982683893,3616234.4259469924,1431027.8870725888,4079172.970808084,1,0,NA,NA
37,1,0,1,0,NA,NA,1,0,1,0,1,0,1.0017944559962624,0.005322863468691853
