Cardinality,MIP_mean_regret,MIP_std_regret,TOPK_mean_regret,TOPK_std_regret,BP_mean_regret,BP_std_regret,RND_mean_regret,RND_std_regret,SB_mean_regret,SB_std_regret,SF_mean_regret,SF_std_regret,ICARUS_mean_regret,ICARUS_std_regret
1,313553191.2795208,631538075.8708898,5912254949.544611,17031381124.473358,NA,NA,71911702119.26347,20641925546.035854,22652867030.31222,27974852089.14673,5877665076.466274,17963964524.61684,NA,NA
2,5752427644.146664,17081631782.731096,5771693559.983068,17075364789.672321,NA,NA,60206911792.915955,21515884440.928257,22641877459.45949,27984238616.851917,5766507234.8908415,18000790590.622322,NA,NA
3,5734646445.948068,17087541053.05697,5735184556.799694,17087361486.65836,NA,NA,52675785999.06863,26306572141.639587,22641877459.45949,27984238616.851917,4935258008.33523,15453270160.151882,NA,NA
4,32275234.956786573,87703193.06435727,5733957780.649735,17087772787.912472,NA,NA,53364582785.138176,23949307345.813293,20080036508.08775,27364570808.374992,2482722406.3315372,7768957224.964309,NA,NA
5,5733494037.210052,17087927890.757933,5731480685.598434,17088601883.32025,NA,NA,45176421673.4563,26703199381.388493,15958898903.294764,25684349552.731613,2481163168.308238,7768919701.566677,NA,NA
6,522467.7626091405,715747.3376781254,155325742.2744209,370528641.7447078,NA,NA,39868938130.21138,27852677431.04803,15845597557.20711,25757697250.294445,861115330.0336512,2687935696.360545,NA,NA
7,442048.0811971881,724638.5346721751,30891778.30061415,88043751.88426143,NA,NA,39143194582.528015,28430153578.746174,13899591039.287668,24732586499.009254,24529204.666576795,72620188.51778017,NA,NA
8,522467.24505447334,715747.7154488921,30338056.959372185,88203700.00914885,NA,NA,33747518388.939747,28648140164.398052,12828745717.043959,23404409594.650887,24260826.0389416,72696333.2150306,NA,NA
9,1010739.0866797601,1700668.3790941664,30226977.69801826,88241115.90338378,NA,NA,35994348127.77812,28088308337.03417,9616037712.907368,19484208278.219772,23973669.289341237,72444078.63666813,NA,NA
10,990754.3930629978,1711218.8255925367,30226977.69801826,88241115.90338378,NA,NA,31329051757.598167,28191621089.56208,8684823263.466661,19460253815.231308,23855876.28795424,72479908.96498394,NA,NA
11,990754.9106176648,1711218.5259507094,30143302.69887172,88269337.81392941,NA,NA,26679268427.29618,28369523719.96709,6612364895.909227,15653378677.909813,23801252.543134987,72461497.92803124,NA,NA
12,1024307.3018052488,1694684.7022078806,30143302.69887172,88269337.81392941,NA,NA,24538378228.331898,28372447620.412437,6612364895.909227,15653378677.909813,19532924.26335801,59364056.677093185,NA,NA
13,1024252.0878727182,1694718.0591021588,30109691.652112894,88280744.59782442,NA,NA,26309342596.430042,28537036450.16658,6594818558.8643055,15661740451.426857,10891654.030317247,32955561.74216245,NA,NA
14,502381.00185816066,727239.8379807908,30109690.71677475,88280744.9168376,NA,NA,15961099397.088799,25362653066.498566,6591989673.179199,15663085188.324018,6656871.0191254765,19781767.033927064,NA,NA
15,468769.6798803105,741769.4159417977,29997951.4481214,88317508.78120154,NA,NA,19531785438.263386,27145247570.731888,6591965787.373666,15663096646.64122,6652068.702738016,19783478.16238487,NA,NA
16,436481.8796929579,547384.7429208418,29997951.016082883,88317508.92794785,NA,NA,18064329721.027534,25878238986.32743,6591958504.53301,15663099239.79212,4707659.646736672,13802988.00945363,NA,NA
17,436481.8315922002,547384.7812758287,29997951.016082883,88317508.92794785,NA,NA,17159310041.667704,25712880261.4556,5106491729.444399,15394189955.233122,4685915.202489857,13807909.868484588,NA,NA
18,385451.7067386591,561722.3702964466,29997951.002026368,88317508.93272227,NA,NA,13967960885.674795,24297994194.07,5106491729.444399,15394189955.233122,4562236.6354299355,13724637.269818306,NA,NA
19,385451.6259343881,561722.4257418221,29802354.488048732,88380577.08870104,NA,NA,11810825691.912582,22919372212.381245,5091434847.785523,15399271679.659124,4520775.751637424,13737420.44084619,NA,NA
20,385451.6259343881,561722.4257418221,29802354.482466698,88380577.09058334,NA,NA,12586332647.146973,22885009066.581444,4277205846.799493,12851028286.775007,305654.58794260304,497172.9432542413,NA,NA
21,385451.16665939393,561722.7408909973,29802354.482466698,88380577.09058334,NA,NA,11780879031.920345,22934870950.651947,3458471993.5204296,10338229214.842487,282867.7995708704,453010.6141029847,NA,NA
22,311902.3170495799,582729.4198586204,29802354.1108212,88380577.21590391,NA,NA,11225546469.050812,22110537173.924114,3458471993.2682204,10338229214.932331,261165.62143272674,447986.1436817213,NA,NA
23,231428.76590553037,564391.7325212755,308266.380349605,446648.55036081607,NA,NA,8783861314.78217,20518615075.34053,3442904465.90332,10343808726.572184,258307.5571697046,449166.86901947286,NA,NA
24,231428.68510125927,564391.7656528688,283625.726491553,456078.8377854579,NA,NA,11476396705.9294,22804143240.362316,3424392354.6709213,10323777770.947504,240549.79362278013,411951.7586797595,NA,NA
25,91614.16760091537,183502.74385620086,263620.23788514256,463630.8059071119,NA,NA,5523578842.624924,15866442256.1584,3407383421.086729,10283558542.866425,200837.23674994605,409882.6398861409,NA,NA
26,91614.08679664425,183502.78419118494,263620.23788514256,463630.8059071119,NA,NA,5798334293.600262,16876012687.873426,3403139537.7606306,10270400954.83022,193943.35531469662,412567.22351960524,NA,NA
27,65422.66999817515,139435.59544889492,263620.23788514256,463630.8059071119,NA,NA,7776781129.162857,19522311981.00183,3305514552.566042,10284669601.930347,159082.288750302,352562.62495374907,231428.76590553042,594921.1224452526
28,91611.15275295347,183504.24866877537,187662.64131121675,437648.22677099565,NA,NA,6846045832.38393,18251031420.27214,3305465161.510039,10284683696.670135,146496.7234332949,346511.6347179185,NA,NA
29,65422.55205648835,139435.65078484,187662.64131121675,437648.22677099565,NA,NA,6579202464.891531,17756634895.880238,3305429249.506577,10284687648.027992,132775.1827459491,308241.4073907396,NA,NA
30,65422.471252217234,139435.6886889622,187662.64131121675,437648.22677099565,NA,NA,4937562929.007672,15870850026.36927,3305429239.359628,10284687651.61399,119053.81820972424,269971.0997996152,NA,NA
31,91611.1419670932,183504.25405333188,187662.64066170302,437648.2270495035,NA,NA,5740485614.55546,16861874985.894865,3292793918.467512,10289025369.79527,119053.72791368251,269971.14731418894,65422.378901352364,146978.16680035455
32,65422.54127062807,139435.65584539954,187662.63405800235,437648.22988113045,NA,NA,4662197786.471907,15366296470.400135,3292793918.3207736,10289025369.87544,87869.83442559499,186794.4512309945,NA,NA
33,91611.14131757944,183504.25437758418,187662.63405800235,437648.22988113045,NA,NA,5485999723.996011,15976728466.865164,3292781332.8523417,10289030483.002813,87869.66972286745,186794.5377283063,NA,NA
34,91611.1419670932,183504.25405333188,43496.34496278419,130467.83292918681,NA,NA,3027958329.703383,11501537137.620298,35740114.31323571,98398290.27763197,87869.6404584912,186794.5531278316,NA,NA
35,91611.06415207447,183504.29289434734,43496.307125951294,130467.84554267235,NA,NA,1132498305.0167165,4200650511.442984,35740105.07476397,98398295.843967,87869.60876209279,186794.56980720902,NA,NA
36,91611.14495634558,183504.25256102585,43496.307125951294,130467.84554267235,NA,NA,2751273097.2600656,10180271679.173561,4607677.611460387,13818324.708199834,87869.58169997159,186794.58401763058,NA,NA
37,91611.02355558316,183504.31316095887,43496.307125951294,130467.84554267235,NA,NA,1664413892.6962318,7133907027.718334,4596662.64529494,13822210.0069819,87869.51788956882,186794.617596122,NA,NA
38,91611.03944927928,183504.30523197883,43496.307125951294,130467.84554267235,NA,NA,1116371138.968985,5073079597.07554,4590555.41477419,13823327.443151405,87869.47197674743,186794.64175640335,NA,NA
39,91611.03944927928,183504.30523197883,43496.307125951294,130467.84554267235,NA,NA,1384593315.9249976,7439972695.197888,4590555.209260828,13823327.545056546,84736.82791635979,185444.32505998889,65422.03255038707,146978.33808842386
40,91610.81650158108,183504.41652574413,43496.307125951294,130467.84554267235,NA,NA,291911611.12709856,1531310124.7678604,4571628.315528179,13826226.732342206,84736.80929133044,185444.33486079206,NA,NA
41,91610.83542882775,183504.40708271603,43496.307125951294,130467.84554267235,NA,NA,568013759.2908615,2128692322.3593311,344451.7283508348,591923.1301161656,84736.78516732651,185444.34750923293,NA,NA
42,91610.77525557602,183504.43711653788,43496.307125951294,130467.84554267235,NA,NA,1108357771.470081,5981118931.066204,338236.1779261469,593749.6706316638,84736.77224046917,185444.35345035442,NA,NA
43,91610.83335890906,183504.40811621034,43496.307125951294,130467.84554267235,NA,NA,1373047999.0255444,5642771378.184605,338236.1779261469,593749.6706316638,84736.55660043794,185444.46691650985,NA,NA
44,91609.39309768021,183505.1270639078,43496.307125951294,130467.84554267235,NA,NA,567360821.2964605,3023573332.3285384,332023.76603674336,582662.0338770762,84736.24566362162,185444.63053473167,65420.25583003564,146979.21668937104
45,91608.83178635334,183505.40726951274,43496.307125951294,130467.84554267235,NA,NA,827330241.599918,3587585774.282855,332023.4049428975,582662.2444825281,84735.18528378103,185445.18848605998,NA,NA
