Scenario,Cardinality,Best_regret,Best_method_regret,entropy
ASP-POTASSCO,5,5509034.766489679,TOPK,0.8581454412354028
BNSL-2016,4,12867434790842.488,SB,0.7620252855102024
CPMP-2015,2,2581022669.5601854,MIP,0.9021065733695497
CSP-2010,1,391990811.2814542,MIP,NA
CSP-Minizinc-Obj-2016,11,1.06571850619148,TOPK,0.8952829705388669
CSP-Minizinc-Time-2016,10,1.0717206751230262,TOPK,0.5221498006310029
CSP-MZN-2013,5,1677021105.0669465,MIP,0.7406195347013589
GLUHACK-18,4,880717.4666576411,SF,0.9505977855316005
GRAPHS-2015,3,43234556422756760,TOPK,0.9755826509516006
MAXSAT-PMS-2016,9,2.046510618665864,MIP,0.6867031982337003
MAXSAT-WPMS-2016,9,256958.65388487355,TOPK,0.815458637188456
MAXSAT12-PMS,3,54043360811630.67,SF,0.9309942751947687
MAXSAT15-PMS-INDU,14,1.3716423406876612,TOPK,0.6459715220718965
MAXSAT19-UCMS,3,146449.47373397095,MIP,0.8318606987477712
MIP-2016,2,65680.77657949252,TOPK,0.6661523455768009
OPENML-WEKA-2017,15,1.234926987064213,SF,1.1938413390496352
PROTEUS-2014,11,2331933469.6389127,MIP,1.050559264036345
QBF-2011,2,234187322295319.22,SF,1.0147602852985806
QBF-2014,7,74456227647226.28,MIP,0.7741441503251956
QBF-2016,12,4503600187221.904,TOPK,0.9386304727086487
SAT03-16_INDU,5,15663042.87673607,TOPK,0.9293316908051055
SAT11-HAND,7,248743.08976225898,MIP,0.7431291784678001
SAT11-INDU,9,59397.06391844804,MIP,1.109230550581901
SAT11-RAND,4,34.135318848388636,MIP,0.8045747352731177
SAT12-ALL,15,335839875687141.9,SF,1.1390766639132384
SAT12-HAND,15,3860237657084.512,SF,1.2070708247491158
SAT12-INDU,15,2081274.0882523449,SF,1.3549434944068524
SAT12-RAND,15,1.5274383649700323,MIP,0.03252009281132215
SAT15-INDU,14,23009.365814050365,SB,0.8764108756879435
SAT18-EXP,18,156297.2985797492,SF,1.128932389296075
SAT20-MAIN,33,87869.66972286745,SF,1.663064301080828
TSP-LION2015,2,582803.9331402963,MIP,0.878533986760844
TTP-2016,10,1790104199263034.5,TOPK,0.048795368923744795
