MIP_mean_regret,TOPK_mean_regret,BP_mean_regret,RND_mean_regret,SB_mean_regret,SF_mean_regret,ICARUS_mean_regret,MIP_mean_entropy,TOPK_mean_entropy,BP_mean_entropy,RND_mean_entropy,SB_mean_entropy,SF_mean_entropy,ICARUS_mean_entropy,scenario,full_dim
9,11,11,11,11,11,11,1.1424342840962871,1.276298893611777,1.276298893611777,1.288315148128449,1.276298893611777,1.276298893611777,1.2751926537674452,ASP-POTASSCO,11
8,8,8,8,8,8,Inf,1.096877289921605,1.096877289921605,1.0968241892349997,1.110056039656624,1.0968241892349997,1.0968241892349997,NA,BNSL-2016,8
4,4,4,4,4,4,4,0.9341417446540078,0.9341417446540078,0.9341417446540078,0.9572486222008796,0.9341417446540078,0.9341417446540078,0.9341417446540078,CPMP-2015,4
2,2,2,2,2,2,2,0.6421634851530604,0.6421634851530604,0.6421634851530604,0.6444984394718457,0.6421634851530604,0.6421634851530604,0.6421634851530604,CSP-2010,2
7,10,13,21,22,10,8,0.702691197248758,0.8457051901918301,1.1569552653794815,1.6141360720956421,1.3616655058556746,1.0856161450640958,1.0920557282990997,CSP-Minizinc-Obj-2016,22
10,9,12,20,20,10,11,0.5221498006310029,0.5471877384060341,0.8293094495613001,0.9758738278325295,0.7438757117045247,0.8060009913040889,0.7226596702546599,CSP-Minizinc-Time-2016,20
10,10,11,11,11,10,11,0.9613835114593061,0.9613835114593061,1.0745187994362928,1.0787621943499324,1.0745187994362928,1.0729680254135119,1.073182054222973,CSP-MZN-2013,11
8,8,8,8,8,8,8,1.0950017202554523,1.0950017202554523,1.0950017202554523,1.1401439679017498,1.0950017202554523,1.0950017202554523,1.093668913732458,GLUHACK-18,8
6,6,7,7,7,6,6,1.0233040078581859,1.0233040078581859,0.9777764016607033,0.9799921607898229,0.9777764016607033,1.023259953747089,1.1090416137605947,GRAPHS-2015,7
9,10,15,19,18,10,11,0.6867031982337003,0.7990338050614466,1.157766345013707,1.1081025008040504,0.9717850515627855,1.1491723457869634,1.4766108891897558,MAXSAT-PMS-2016,19
12,13,13,18,18,12,13,0.8276621463938268,0.8563308209107735,1.1365461340855771,1.0487360921739701,1.013695654661433,1.1157124037784696,0.9308277399512502,MAXSAT-WPMS-2016,18
5,6,6,6,6,5,5,0.9199759995705313,1.0142468569760055,1.0142468569760055,1.0274891284687178,1.0142468569760055,0.9306025655763879,0.946941802158316,MAXSAT12-PMS,6
15,14,18,29,29,15,15,0.6356132772450671,0.6459715220718965,1.2176875240110112,1.1067321386147346,1.0621090278923353,1.2096991957862808,1.459401063807094,MAXSAT15-PMS-INDU,29
6,6,7,7,7,6,6,0.9816189027318293,0.9816189027318293,1.0382557561627195,1.0679461425928092,1.0382557561627195,1.0033609810937254,1.1087184824198595,MAXSAT19-UCMS,7
3,3,5,5,5,3,3,0.7188760984397727,0.7188760984397727,0.6944425937066878,0.7266057800698508,0.6938213759187768,0.8457492483983405,0.5703625481537575,MIP-2016,5
1,1,13,16,11,1,3,NA,NA,1.1373505868273297,1.367509180313418,0.9095711884350415,NA,65535,OPENML-WEKA-2017,30
20,21,22,22,22,22,Inf,1.4073731577009092,1.4467955621111646,1.4801095119839303,1.488061105958465,1.4801095119839303,1.4801095119839303,NA,PROTEUS-2014,22
5,5,5,5,5,5,5,0.9731411658243555,0.9731411658243555,0.9731411658243555,0.981475390825951,0.9731411658243555,0.9731411658243555,0.9731411658243555,QBF-2011,5
13,13,14,14,14,13,13,1.0883665447964495,1.0883665447964495,1.1132289469239165,1.1333355709841602,1.1132289469239165,1.099529993994364,1.1370425291389115,QBF-2014,14
17,21,21,24,24,19,19,1.186235033375014,1.3915761722213493,1.485446310465918,1.556079611280578,1.518868454257179,1.3156690227440835,1.3183413854011707,QBF-2016,24
10,10,10,10,10,10,10,1.2820221801033924,1.2820221801033924,1.282011061115441,1.2916655558735084,1.282011061115441,1.282011061115441,1.282011061115441,SAT03-16_INDU,10
12,12,14,15,15,13,14,0.8338724134426,0.8338724134426,1.043085805776638,1.1272607721433947,1.024269144927832,1.0372226652596164,0.9625938797988197,SAT11-HAND,15
17,12,18,18,18,17,Inf,1.4580789419657736,1.229538318266013,1.5200308637096336,1.6275248431164941,1.525050058773297,1.5029066568427634,NA,SAT11-INDU,18
6,8,9,9,9,8,8,0.8061065415742684,0.9947747505873277,1.0697340195882756,1.1004037886150255,1.0697340195882756,0.997578711280442,1.0933793000976242,SAT11-RAND,9
