scenario,MIP,TOPK,BP,RND,SB,SF,ICARUS
ASP-POTASSCO,0.6327244616330807,0.6327244616330807,NA,0.628461499630911,0.6076919423527194,0.6753953637534362,NA
BNSL-2016,0.5517777437223323,0.5517777437223323,NA,0.5868246592770818,0.5528153276349455,0.6310696330836556,NA
CPMP-2015,0.459691777110509,0.459691777110509,NA,0.47822912488089975,0.46056160499187193,0.47362753398912716,NA
CSP-2010,0,0,0,0,0,0,0
CSP-Minizinc-Obj-2016,0.5187309093586667,0.43241845788864675,NA,0.6147124940988853,0.4665618945243044,0.6026434944694343,NA
CSP-Minizinc-Time-2016,0.543475912776104,0.48771156507571556,NA,0.6060725491296814,0.3536542732810175,0.704427560726951,NA
CSP-MZN-2013,0.6095765777585429,0.6095765777585429,NA,0.6275397596096624,0.5189578475752996,0.7617202549242763,NA
GLUHACK-18-ALGO,0.6135760800362191,0.6135760800362191,NA,0.6175130690085568,0.5754049241287382,0.6502263950149638,NA
GLUHACK-18,0.6135760800362191,0.6135760800362191,NA,0.6202734465992275,0.5754049241287382,0.6502263950149638,NA
GRAPHS-2015-ALGO,0.6563490760757025,0.6563490760757025,NA,0.5405196615998002,0.4921643491585046,0.6561342506352144,NA
GRAPHS-2015,0.6563490760757025,0.6563490760757025,NA,0.5379116161164332,0.4921643491585046,0.6561342506352144,NA
MAXSAT-PMS-2016,0.4423318461940524,0.4336261283507561,NA,0.46468248812224333,0.3579278944815383,0.653973373408963,NA
MAXSAT-WPMS-2016,0.5552865114106176,0.5334697394490568,NA,0.5147267394019548,0.45907777972266217,0.7310027157585925,NA
MAXSAT12-PMS,0.5865113362552508,0.5865113362552508,NA,0.5865750397986478,0.553651692360017,0.6166701545340796,NA
MAXSAT15-PMS-INDU,0.4091191107645944,0.34370880798562187,NA,0.4213152871672272,0.3801761264594119,0.635174709326769,NA
MAXSAT19-UCMS-ALGO,0.5862453409375756,0.5862453409375756,NA,0.5840401348611304,0.5478237003338917,0.6294729966942816,NA
MAXSAT19-UCMS,0.5862453409375756,0.5862453409375756,NA,0.584554237949009,0.5478237003338917,0.6294729966942816,NA
MIP-2016,0.4600630744522112,0.4578811399802589,NA,0.4655113703501982,0.40536547694838165,0.5547197991352881,NA
OPENML-WEKA-2017-ALGO,1.66749580283866e-5,1.2094484408466948e-5,NA,1.9297800898547448e-5,1.6223337966448498e-5,1.7143468285434066e-5,NA
OPENML-WEKA-2017,1.66749580283866e-5,1.2094484408466948e-5,NA,1.930962066223527e-5,1.6223337966448498e-5,1.7143468285434066e-5,NA
PROTEUS-2014,0.47511538035246614,0.47511538035246614,NA,0.44215229337556305,0.43704950668219356,0.5045113276287556,NA
QBF-2011,0.5005401988482993,0.5005401988482993,NA,0.5361899575619828,0.5006606456210669,0.5737678294721618,NA
QBF-2014,0.6337417253762583,0.6337417253762583,NA,0.6223790692361315,0.5359902183299674,0.7468699059543975,NA
QBF-2016,0.5310223012828454,0.525301564720984,NA,0.5413238526074085,0.4632375203858885,0.6130851758669928,NA
SAT03-16_INDU-ALGO,0.6259012247549292,0.6259012247549292,NA,0.6270683459622124,0.6296478817708344,0.6575510476417743,NA
SAT03-16_INDU,0.6259012247549292,0.6259012247549292,NA,0.626843205926485,0.6296478817708344,0.6575510476417743,NA
SAT11-HAND-ALGO,0.4691603359132026,0.46554333081043975,NA,0.5166066573051542,0.447141775685,0.597882594730216,NA
SAT11-HAND,0.4691603359132026,0.46554333081043975,NA,0.5143832401810755,0.447141775685,0.597882594730216,NA
SAT11-INDU-ALGO,0.5526475288235382,0.5525220815151313,NA,0.563546383121508,0.5292188978978949,0.5634641843908454,NA
SAT11-INDU,0.5526475288235382,0.5525220815151313,NA,0.563695615618895,0.5292188978978949,0.5634641843908454,NA
SAT11-RAND-ALGO,0.6180767497841058,0.6180767497841058,NA,0.6237179681947485,0.587789491593574,0.6884875416258063,NA
SAT11-RAND,0.6180767497841058,0.6180767497841058,NA,0.624430501680117,0.587789491593574,0.6884875416258063,NA
SAT12-ALL,0.4305159733840602,0.4305159733840602,NA,0.4247587857123918,0.41243403973747483,0.4693505946151415,NA
SAT12-HAND,0.445434132506084,0.4453931822540351,NA,0.5035476805288859,0.4423280628887607,0.547651704794915,NA
SAT12-INDU,0.5358577526929054,0.5236764173290185,NA,0.4485813838588335,0.450236639190587,0.587050614913263,NA
SAT12-RAND,0.25433051395612605,0.022785373150677968,NA,0.389329007580256,0.2127376174771718,0.7394600452112314,NA
SAT15-INDU,0.38088077419669597,0.3790293164519194,NA,0.3946905942811272,0.3567313577098892,0.4407890512420889,NA
SAT18-EXP-ALGO,0.3542610620333235,0.3527662597184875,NA,0.3885453500042839,0.3340938556282036,0.41274940220584533,NA
SAT18-EXP,0.3542610620333235,0.3527662597184875,NA,0.3885453500042839,0.3340938556282036,0.41274940220584533,NA
SAT20-MAIN,0.3598458184937634,0.34594861602031646,NA,0.3757552115120477,0.3467720780210666,0.4077001774396134,NA
TSP-LION2015-ALGO,6.532614253256406e-6,6.532614253256406e-6,NA,6.633255456381833e-6,NA,NA,NA
TSP-LION2015,6.532614253256406e-6,6.532614253256406e-6,NA,6.633255456381833e-6,NA,NA,NA
TTP-2016,0.43182388143724904,0.40435237984562367,NA,NA,NA,NA,NA
