Cardinality,Meta,Regretlog10,scenario
0.09090909090909091,MIP,9.479181781643941,ASP-POTASSCO
0.09090909090909091,TOPK,9.314698413134847,ASP-POTASSCO
0.09090909090909091,BP,NA,ASP-POTASSCO
0.09090909090909091,RND,10.411602870155308,ASP-POTASSCO
0.09090909090909091,SB,10.183490285155182,ASP-POTASSCO
0.09090909090909091,SF,9.331104812650715,ASP-POTASSCO
0.09090909090909091,ICARUS,NA,ASP-POTASSCO
0.18181818181818182,MIP,7.704129322703365,ASP-POTASSCO
0.18181818181818182,TOPK,7.358900501040895,ASP-POTASSCO
0.18181818181818182,BP,NA,ASP-POTASSCO
0.18181818181818182,RND,9.679207792896955,ASP-POTASSCO
0.18181818181818182,SB,9.510185954612098,ASP-POTASSCO
0.18181818181818182,SF,7.358900501040895,ASP-POTASSCO
0.18181818181818182,ICARUS,NA,ASP-POTASSCO
0.2727272727272727,MIP,7.630226098609727,ASP-POTASSCO
0.2727272727272727,TOPK,7.302582949954848,ASP-POTASSCO
0.2727272727272727,BP,NA,ASP-POTASSCO
0.2727272727272727,RND,9.282674187733738,ASP-POTASSCO
0.2727272727272727,SB,9.479537035465423,ASP-POTASSCO
0.2727272727272727,SF,7.302537988489936,ASP-POTASSCO
0.2727272727272727,ICARUS,NA,ASP-POTASSCO
0.36363636363636365,MIP,7.569934668993204,ASP-POTASSCO
0.36363636363636365,TOPK,7.181156314922669,ASP-POTASSCO
0.36363636363636365,BP,NA,ASP-POTASSCO
0.36363636363636365,RND,8.83321749399125,ASP-POTASSCO
0.36363636363636365,SB,8.78643538706799,ASP-POTASSCO
0.36363636363636365,SF,7.1407149770579315,ASP-POTASSCO
0.36363636363636365,ICARUS,NA,ASP-POTASSCO
0.45454545454545453,MIP,7.549239883800115,ASP-POTASSCO
0.45454545454545453,TOPK,6.741075513133347,ASP-POTASSCO
0.45454545454545453,BP,NA,ASP-POTASSCO
0.45454545454545453,RND,8.40199107167309,ASP-POTASSCO
0.45454545454545453,SB,7.607569606058566,ASP-POTASSCO
0.45454545454545453,SF,6.853682500424494,ASP-POTASSCO
0.45454545454545453,ICARUS,NA,ASP-POTASSCO
0.5454545454545454,MIP,7.500448842328099,ASP-POTASSCO
0.5454545454545454,TOPK,6.6760099163156,ASP-POTASSCO
0.5454545454545454,BP,NA,ASP-POTASSCO
0.5454545454545454,RND,7.919375379931609,ASP-POTASSCO
0.5454545454545454,SB,7.372316354161799,ASP-POTASSCO
0.5454545454545454,SF,6.705912669655308,ASP-POTASSCO
0.5454545454545454,ICARUS,NA,ASP-POTASSCO
0.6363636363636364,MIP,7.490373035757679,ASP-POTASSCO
0.6363636363636364,TOPK,6.676009743813177,ASP-POTASSCO
0.6363636363636364,BP,NA,ASP-POTASSCO
0.6363636363636364,RND,7.70837749661486,ASP-POTASSCO
0.6363636363636364,SB,6.902695775580609,ASP-POTASSCO
0.6363636363636364,SF,6.682315286235133,ASP-POTASSCO
0.6363636363636364,ICARUS,NA,ASP-POTASSCO
0.7272727272727273,MIP,5.884519904378187,ASP-POTASSCO
0.7272727272727273,TOPK,6.161122356784523,ASP-POTASSCO
0.7272727272727273,BP,NA,ASP-POTASSCO
0.7272727272727273,RND,7.439050977931743,ASP-POTASSCO
0.7272727272727273,SB,6.078837206425763,ASP-POTASSCO
0.7272727272727273,SF,6.560512039589142,ASP-POTASSCO
0.7272727272727273,ICARUS,NA,ASP-POTASSCO
0.8181818181818182,MIP,0.813923960039904,ASP-POTASSCO
0.8181818181818182,TOPK,6.161121663714888,ASP-POTASSCO
0.8181818181818182,BP,NA,ASP-POTASSCO
0.8181818181818182,RND,7.084970303780816,ASP-POTASSCO
0.8181818181818182,SB,6.078836808550427,ASP-POTASSCO
0.8181818181818182,SF,6.543969578266981,ASP-POTASSCO
0.8181818181818182,ICARUS,NA,ASP-POTASSCO
0.9090909090909091,MIP,5.88451939047119,ASP-POTASSCO
0.9090909090909091,TOPK,6.161121237074163,ASP-POTASSCO
0.9090909090909091,BP,NA,ASP-POTASSCO
0.9090909090909091,RND,6.778753291127066,ASP-POTASSCO
0.9090909090909091,SB,6.078836340336305,ASP-POTASSCO
0.9090909090909091,SF,5.98798304173612,ASP-POTASSCO
0.9090909090909091,ICARUS,NA,ASP-POTASSCO
1,MIP,0,ASP-POTASSCO
1,TOPK,0,ASP-POTASSCO
1,BP,0,ASP-POTASSCO
1,RND,0,ASP-POTASSCO
1,SB,0,ASP-POTASSCO
1,SF,0,ASP-POTASSCO
1,ICARUS,0.03866871956115218,ASP-POTASSCO
0.125,MIP,15.467140955963053,BNSL-2016
0.125,TOPK,15.425881694579685,BNSL-2016
0.125,BP,NA,BNSL-2016
0.125,RND,24.047343832174676,BNSL-2016
0.125,SB,23.954589849004606,BNSL-2016
0.125,SF,15.425881694579685,BNSL-2016
0.125,ICARUS,NA,BNSL-2016
0.25,MIP,13.954589868155496,BNSL-2016
0.25,TOPK,15.425881694579685,BNSL-2016
0.25,BP,NA,BNSL-2016
0.25,RND,23.28558302837394,BNSL-2016
0.25,SB,13.628005769787233,BNSL-2016
0.25,SF,15.193710625226787,BNSL-2016
0.25,ICARUS,NA,BNSL-2016
0.375,MIP,13.95458977866298,BNSL-2016
0.375,TOPK,13.954589780418019,BNSL-2016
0.375,BP,NA,BNSL-2016
0.375,RND,15.385263632089213,BNSL-2016
0.375,SB,13.10949209245401,BNSL-2016
0.375,SF,13.825495086903667,BNSL-2016
0.375,ICARUS,NA,BNSL-2016
0.5,MIP,13.954589771789815,BNSL-2016
0.5,TOPK,13.954589770338984,BNSL-2016
0.5,BP,NA,BNSL-2016
0.5,RND,14.955106484620549,BNSL-2016
0.5,SB,13.109491976024671,BNSL-2016
0.5,SF,13.313611739844937,BNSL-2016
0.5,ICARUS,NA,BNSL-2016
